question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,short_answer
149,Can you introduce yourself?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Self-introduction; communication,"Context: Set the frame with one-sentence situation. One-sentence situation: what changed, why now, what's at stake? Set the frame: business goal (revenue, growth, risk, efficiency). Decision owner / timeline.

Insight: Share 2-3 facts only (no analysis dump). 2-3 facts only: data signal, user/market signal, constraint or risk. Translate data → meaning: 'This means...' 'The implication is...'

Recommendation: Clear decision with rationale. Clear decision: do X, do X over Y, do X now. Why this is right: upside, risk (acknowledged), why alternatives are worse.

Next Steps: Immediate actions with ownership and metrics. Immediate actions: 30-60-90 day plan. Owner(s): who is responsible. Success metric: how we measure success. Decision checkpoints / update cadence: when we review progress."
243,Describe your communication style when working with C-suite executives.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Executive communication; behavioral question,"Context: Set the frame with one-sentence situation. One-sentence situation: what changed, why now, what's at stake? Set the frame: business goal (revenue, growth, risk, efficiency). Decision owner / timeline.

Insight: Share 2-3 facts only (no analysis dump). 2-3 facts only: data signal, user/market signal, constraint or risk. Translate data → meaning: 'This means...' 'The implication is...'

Recommendation: Clear decision with rationale. Clear decision: do X, do X over Y, do X now. Why this is right: upside, risk (acknowledged), why alternatives are worse.

Next Steps: Immediate actions with ownership and metrics. Immediate actions: 30-60-90 day plan. Owner(s): who is responsible. Success metric: how we measure success. Decision checkpoints / update cadence: when we review progress."
246,Describe your experience with board meeting preparation and follow-up.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Board communication; behavioral question,"Context: Set the frame with one-sentence situation. One-sentence situation: what changed, why now, what's at stake? Set the frame: business goal (revenue, growth, risk, efficiency). Decision owner / timeline.

Insight: Share 2-3 facts only (no analysis dump). 2-3 facts only: data signal, user/market signal, constraint or risk. Translate data → meaning: 'This means...' 'The implication is...'

Recommendation: Clear decision with rationale. Clear decision: do X, do X over Y, do X now. Why this is right: upside, risk (acknowledged), why alternatives are worse.

Next Steps: Immediate actions with ownership and metrics. Immediate actions: 30-60-90 day plan. Owner(s): who is responsible. Success metric: how we measure success. Decision checkpoints / update cadence: when we review progress."
791,Explain Deep Learning to a non-technical audience.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Technical communication; explanation,"Context: Set the frame with one-sentence situation. What needs to be explained? Why does the audience need to understand this? What's at stake? (decision-making, alignment, buy-in). Set the frame: business goal (decision support, alignment, education). Decision owner / timeline: who needs to understand and by when?

Insight: Share 2-3 facts only (no analysis dump). Data signal: what the concept is, why it matters. User / market signal: how it applies to business context. Constraint or risk: what limitations or considerations exist. Translate data → meaning: 'This means...' 'The implication is...'

Recommendation: Clear decision with rationale. Clear decision: how to explain the concept (analogy, simple terms, visual). Why this is right: connects to audience's context, builds understanding. Upside: enables decision-making, alignment, buy-in. Risk: acknowledge complexity, potential misunderstandings. Why alternatives are worse: too technical, too abstract, missing context.

Next Steps: Immediate actions with ownership and metrics. Immediate actions: 30-60-90 day plan. Owner(s): who is responsible. Success metric: how we measure success. Decision checkpoints / update cadence: when we review progress."
814,Explain precision and recall to a non technical stakeholder,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Technical communication; explanation,"Context: Set the frame with one-sentence situation. What needs to be explained? Why does the audience need to understand this? What's at stake? (decision-making, alignment, buy-in). Set the frame: business goal (decision support, alignment, education). Decision owner / timeline: who needs to understand and by when?

Insight: Share 2-3 facts only (no analysis dump). Data signal: what the concept is, why it matters. User / market signal: how it applies to business context. Constraint or risk: what limitations or considerations exist. Translate data → meaning: 'This means...' 'The implication is...'

Recommendation: Clear decision with rationale. Clear decision: how to explain the concept (analogy, simple terms, visual). Why this is right: connects to audience's context, builds understanding. Upside: enables decision-making, alignment, buy-in. Risk: acknowledge complexity, potential misunderstandings. Why alternatives are worse: too technical, too abstract, missing context.

Next Steps: Immediate actions with ownership and metrics. Immediate actions: 30-60-90 day plan. Owner(s): who is responsible. Success metric: how we measure success. Decision checkpoints / update cadence: when we review progress."
844,Explain what a blockchain is as if to a five-year-old.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Technical communication; explanation,"Context: Set the frame with one-sentence situation. What needs to be explained? Why does the audience need to understand this? What's at stake? (decision-making, alignment, buy-in). Set the frame: business goal (decision support, alignment, education). Decision owner / timeline: who needs to understand and by when?

Insight: Share 2-3 facts only (no analysis dump). Data signal: what the concept is, why it matters. User / market signal: how it applies to business context. Constraint or risk: what limitations or considerations exist. Translate data → meaning: 'This means...' 'The implication is...'

Recommendation: Clear decision with rationale. Clear decision: how to explain the concept (analogy, simple terms, visual). Why this is right: connects to audience's context, builds understanding. Upside: enables decision-making, alignment, buy-in. Risk: acknowledge complexity, potential misunderstandings. Why alternatives are worse: too technical, too abstract, missing context.

Next Steps: Immediate actions with ownership and metrics. Immediate actions: 30-60-90 day plan. Owner(s): who is responsible. Success metric: how we measure success. Decision checkpoints / update cadence: when we review progress."
845,Explain what Twitter is and its benefits to someone who isn't familiar with technology and social media.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Product communication; explanation,"Context: Set the frame with one-sentence situation. What needs to be explained? Why does the audience need to understand this? What's at stake? (decision-making, alignment, buy-in). Set the frame: business goal (decision support, alignment, education). Decision owner / timeline: who needs to understand and by when?

Insight: Share 2-3 facts only (no analysis dump). Data signal: what the concept is, why it matters. User / market signal: how it applies to business context. Constraint or risk: what limitations or considerations exist. Translate data → meaning: 'This means...' 'The implication is...'

Recommendation: Clear decision with rationale. Clear decision: how to explain the concept (analogy, simple terms, visual). Why this is right: connects to audience's context, builds understanding. Upside: enables decision-making, alignment, buy-in. Risk: acknowledge complexity, potential misunderstandings. Why alternatives are worse: too technical, too abstract, missing context.

Next Steps: Immediate actions with ownership and metrics. Immediate actions: 30-60-90 day plan. Owner(s): who is responsible. Success metric: how we measure success. Decision checkpoints / update cadence: when we review progress."
1064,How do you communicate technical project needs to non-technical teams?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Technical communication; cross-functional,"Context: Set the frame with one-sentence situation. What needs to be explained? Why does the audience need to understand this? What's at stake? (decision-making, alignment, buy-in). Set the frame: business goal (decision support, alignment, education). Decision owner / timeline: who needs to understand and by when?

Insight: Share 2-3 facts only (no analysis dump). Data signal: what the concept is, why it matters. User / market signal: how it applies to business context. Constraint or risk: what limitations or considerations exist. Translate data → meaning: 'This means...' 'The implication is...'

Recommendation: Clear decision with rationale. Clear decision: how to explain the concept (analogy, simple terms, visual). Why this is right: connects to audience's context, builds understanding. Upside: enables decision-making, alignment, buy-in. Risk: acknowledge complexity, potential misunderstandings. Why alternatives are worse: too technical, too abstract, missing context.

Next Steps: Immediate actions with ownership and metrics. Immediate actions: 30-60-90 day plan. Owner(s): who is responsible. Success metric: how we measure success. Decision checkpoints / update cadence: when we review progress."
1098,How do you explain difficult technical concepts to layman?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Technical communication; explanation,"Context: Set the frame with one-sentence situation. What needs to be explained? Why does the audience need to understand this? What's at stake? (decision-making, alignment, buy-in). Set the frame: business goal (decision support, alignment, education). Decision owner / timeline: who needs to understand and by when?

Insight: Share 2-3 facts only (no analysis dump). Data signal: what the concept is, why it matters. User / market signal: how it applies to business context. Constraint or risk: what limitations or considerations exist. Translate data → meaning: 'This means...' 'The implication is...'

Recommendation: Clear decision with rationale. Clear decision: how to explain the concept (analogy, simple terms, visual). Why this is right: connects to audience's context, builds understanding. Upside: enables decision-making, alignment, buy-in. Risk: acknowledge complexity, potential misunderstandings. Why alternatives are worse: too technical, too abstract, missing context.

Next Steps: Immediate actions with ownership and metrics. Immediate actions: 30-60-90 day plan. Owner(s): who is responsible. Success metric: how we measure success. Decision checkpoints / update cadence: when we review progress."
1136,How do you present insights to non-technical stakeholders?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Insight presentation; communication,"Context: Set the frame with one-sentence situation. What needs to be explained? Why does the audience need to understand this? What's at stake? (decision-making, alignment, buy-in). Set the frame: business goal (decision support, alignment, education). Decision owner / timeline: who needs to understand and by when?

Insight: Share 2-3 facts only (no analysis dump). Data signal: what the concept is, why it matters. User / market signal: how it applies to business context. Constraint or risk: what limitations or considerations exist. Translate data → meaning: 'This means...' 'The implication is...'

Recommendation: Clear decision with rationale. Clear decision: how to explain the concept (analogy, simple terms, visual). Why this is right: connects to audience's context, builds understanding. Upside: enables decision-making, alignment, buy-in. Risk: acknowledge complexity, potential misunderstandings. Why alternatives are worse: too technical, too abstract, missing context.

Next Steps: Immediate actions with ownership and metrics. Immediate actions: 30-60-90 day plan. Owner(s): who is responsible. Success metric: how we measure success. Decision checkpoints / update cadence: when we review progress."
