question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,short_answer
179,Create a simple model to forecast our headcount needs for the next 12-weeks as we scale up.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Headcount forecasting; scaling model,"Current Load: Understand what we run today. Traffic: QPS / RPS: queries/requests per second. Concurrent users: how many users active simultaneously. Peak vs average: understand traffic patterns. Data: Rows/day: data ingestion rate. Storage size: current data volume. Read/write ratio: access patterns. Resources: CPU / Memory: compute utilization. Network: bandwidth usage. Third-party quotas: external service limits.

10× Projection: Model what changes at 10× scale. Linear growth assumptions: Traffic ×10: requests, users, sessions. Data ×10: storage, ingestion, processing. Cost ×10: infrastructure, services, operations. Non-linear risks: Lock contention: database locks become bottleneck. Hot keys / hot shards: uneven distribution causes hotspots. Fan-out explosions: one request triggers many downstream calls. Tail latency: p99/p999 latency degrades faster than average.

Bottlenecks: Identify what fails first. Compute: Single-threaded services: can't parallelize. GC pressure: garbage collection overhead. Cold starts: latency spikes from initialization. Storage: Index bloat: indexes grow, queries slow. Write amplification: writes trigger more I/O. Slow scans: full table scans become expensive. Network: Chatty services: too many small requests. Cross-AZ traffic: inter-region latency and cost. External deps: Rate limits: third-party API throttling. SLA violations: external service degradation. Vendor outages: dependency failures.

Mitigation: Design solutions to survive 10× growth. Architectural: Caching: reduce load on backend systems. Async / queues: decouple and buffer requests. Sharding / partitioning: distribute load across nodes. Backpressure: slow down producers when consumers are overwhelmed. Operational: Load shedding: drop low-priority requests during overload. Graceful degradation: reduce features to maintain core functionality. Feature flags: disable non-critical features under load. Economic: Cost caps: limit spending to prevent runaway costs. Tiered SLAs: different service levels for different users. Kill switches: emergency shutdowns for cost control. Remember: Scaling isn't 'can it run?' It's 'what fails first, and is that acceptable?'"
473,"Design a scalable system for a token-generation service used by an LLM that needs to handle up to 100,000 requests per second.",🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,System design; high-scale token service,"Current Load: Understand what we run today. Traffic: QPS / RPS: queries/requests per second. Concurrent users: how many users active simultaneously. Peak vs average: understand traffic patterns. Data: Rows/day: data ingestion rate. Storage size: current data volume. Read/write ratio: access patterns. Resources: CPU / Memory: compute utilization. Network: bandwidth usage. Third-party quotas: external service limits.

10× Projection: Model what changes at 10× scale. Linear growth assumptions: Traffic ×10: requests, users, sessions. Data ×10: storage, ingestion, processing. Cost ×10: infrastructure, services, operations. Non-linear risks: Lock contention: database locks become bottleneck. Hot keys / hot shards: uneven distribution causes hotspots. Fan-out explosions: one request triggers many downstream calls. Tail latency: p99/p999 latency degrades faster than average.

Bottlenecks: Identify what fails first. Compute: Single-threaded services: can't parallelize. GC pressure: garbage collection overhead. Cold starts: latency spikes from initialization. Storage: Index bloat: indexes grow, queries slow. Write amplification: writes trigger more I/O. Slow scans: full table scans become expensive. Network: Chatty services: too many small requests. Cross-AZ traffic: inter-region latency and cost. External deps: Rate limits: third-party API throttling. SLA violations: external service degradation. Vendor outages: dependency failures.

Mitigation: Design solutions to survive 10× growth. Architectural: Caching: reduce load on backend systems. Async / queues: decouple and buffer requests. Sharding / partitioning: distribute load across nodes. Backpressure: slow down producers when consumers are overwhelmed. Operational: Load shedding: drop low-priority requests during overload. Graceful degradation: reduce features to maintain core functionality. Feature flags: disable non-critical features under load. Economic: Cost caps: limit spending to prevent runaway costs. Tiered SLAs: different service levels for different users. Kill switches: emergency shutdowns for cost control. Remember: Scaling isn't 'can it run?' It's 'what fails first, and is that acceptable?'"
742,Estimate how much bandwidth is needed for launching YouTube TV.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Bandwidth estimation; capacity planning,"Current Load: Understand what we run today. Traffic: QPS / RPS: queries/requests per second. Concurrent users: how many users active simultaneously. Peak vs average: understand traffic patterns. Data: Rows/day: data ingestion rate. Storage size: current data volume. Read/write ratio: access patterns. Resources: CPU / Memory: compute utilization. Network: bandwidth usage. Third-party quotas: external service limits.

10× Projection: Model what changes at 10× scale. Linear growth assumptions: Traffic ×10: requests, users, sessions. Data ×10: storage, ingestion, processing. Cost ×10: infrastructure, services, operations. Non-linear risks: Lock contention: database locks become bottleneck. Hot keys / hot shards: uneven distribution causes hotspots. Fan-out explosions: one request triggers many downstream calls. Tail latency: p99/p999 latency degrades faster than average.

Bottlenecks: Identify what fails first. Compute: Single-threaded services: can't parallelize. GC pressure: garbage collection overhead. Cold starts: latency spikes from initialization. Storage: Index bloat: indexes grow, queries slow. Write amplification: writes trigger more I/O. Slow scans: full table scans become expensive. Network: Chatty services: too many small requests. Cross-AZ traffic: inter-region latency and cost. External deps: Rate limits: third-party API throttling. SLA violations: external service degradation. Vendor outages: dependency failures.

Mitigation: Design solutions to survive 10× growth. Architectural: Caching: reduce load on backend systems. Async / queues: decouple and buffer requests. Sharding / partitioning: distribute load across nodes. Backpressure: slow down producers when consumers are overwhelmed. Operational: Load shedding: drop low-priority requests during overload. Graceful degradation: reduce features to maintain core functionality. Feature flags: disable non-critical features under load. Economic: Cost caps: limit spending to prevent runaway costs. Tiered SLAs: different service levels for different users. Kill switches: emergency shutdowns for cost control. Remember: Scaling isn't 'can it run?' It's 'what fails first, and is that acceptable?'"
745,Estimate the amount of storage needed for Google Photos.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Storage estimation; capacity planning,"Current Load: Understand what we run today. Traffic: QPS / RPS: queries/requests per second. Concurrent users: how many users active simultaneously. Peak vs average: understand traffic patterns. Data: Rows/day: data ingestion rate. Storage size: current data volume. Read/write ratio: access patterns. Resources: CPU / Memory: compute utilization. Network: bandwidth usage. Third-party quotas: external service limits.

10× Projection: Model what changes at 10× scale. Linear growth assumptions: Traffic ×10: requests, users, sessions. Data ×10: storage, ingestion, processing. Cost ×10: infrastructure, services, operations. Non-linear risks: Lock contention: database locks become bottleneck. Hot keys / hot shards: uneven distribution causes hotspots. Fan-out explosions: one request triggers many downstream calls. Tail latency: p99/p999 latency degrades faster than average.

Bottlenecks: Identify what fails first. Compute: Single-threaded services: can't parallelize. GC pressure: garbage collection overhead. Cold starts: latency spikes from initialization. Storage: Index bloat: indexes grow, queries slow. Write amplification: writes trigger more I/O. Slow scans: full table scans become expensive. Network: Chatty services: too many small requests. Cross-AZ traffic: inter-region latency and cost. External deps: Rate limits: third-party API throttling. SLA violations: external service degradation. Vendor outages: dependency failures.

Mitigation: Design solutions to survive 10× growth. Architectural: Caching: reduce load on backend systems. Async / queues: decouple and buffer requests. Sharding / partitioning: distribute load across nodes. Backpressure: slow down producers when consumers are overwhelmed. Operational: Load shedding: drop low-priority requests during overload. Graceful degradation: reduce features to maintain core functionality. Feature flags: disable non-critical features under load. Economic: Cost caps: limit spending to prevent runaway costs. Tiered SLAs: different service levels for different users. Kill switches: emergency shutdowns for cost control. Remember: Scaling isn't 'can it run?' It's 'what fails first, and is that acceptable?'"
748,Estimate the bandwidth required to support Spotify.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Bandwidth estimation; capacity planning,"Current Load: Understand what we run today. Traffic: QPS / RPS: queries/requests per second. Concurrent users: how many users active simultaneously. Peak vs average: understand traffic patterns. Data: Rows/day: data ingestion rate. Storage size: current data volume. Read/write ratio: access patterns. Resources: CPU / Memory: compute utilization. Network: bandwidth usage. Third-party quotas: external service limits.

10× Projection: Model what changes at 10× scale. Linear growth assumptions: Traffic ×10: requests, users, sessions. Data ×10: storage, ingestion, processing. Cost ×10: infrastructure, services, operations. Non-linear risks: Lock contention: database locks become bottleneck. Hot keys / hot shards: uneven distribution causes hotspots. Fan-out explosions: one request triggers many downstream calls. Tail latency: p99/p999 latency degrades faster than average.

Bottlenecks: Identify what fails first. Compute: Single-threaded services: can't parallelize. GC pressure: garbage collection overhead. Cold starts: latency spikes from initialization. Storage: Index bloat: indexes grow, queries slow. Write amplification: writes trigger more I/O. Slow scans: full table scans become expensive. Network: Chatty services: too many small requests. Cross-AZ traffic: inter-region latency and cost. External deps: Rate limits: third-party API throttling. SLA violations: external service degradation. Vendor outages: dependency failures.

Mitigation: Design solutions to survive 10× growth. Architectural: Caching: reduce load on backend systems. Async / queues: decouple and buffer requests. Sharding / partitioning: distribute load across nodes. Backpressure: slow down producers when consumers are overwhelmed. Operational: Load shedding: drop low-priority requests during overload. Graceful degradation: reduce features to maintain core functionality. Feature flags: disable non-critical features under load. Economic: Cost caps: limit spending to prevent runaway costs. Tiered SLAs: different service levels for different users. Kill switches: emergency shutdowns for cost control. Remember: Scaling isn't 'can it run?' It's 'what fails first, and is that acceptable?'"
749,Estimate the bandwidth requirements for Google Maps.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Bandwidth estimation; capacity planning,"Current Load: Understand what we run today. Traffic: QPS / RPS: queries/requests per second. Concurrent users: how many users active simultaneously. Peak vs average: understand traffic patterns. Data: Rows/day: data ingestion rate. Storage size: current data volume. Read/write ratio: access patterns. Resources: CPU / Memory: compute utilization. Network: bandwidth usage. Third-party quotas: external service limits.

10× Projection: Model what changes at 10× scale. Linear growth assumptions: Traffic ×10: requests, users, sessions. Data ×10: storage, ingestion, processing. Cost ×10: infrastructure, services, operations. Non-linear risks: Lock contention: database locks become bottleneck. Hot keys / hot shards: uneven distribution causes hotspots. Fan-out explosions: one request triggers many downstream calls. Tail latency: p99/p999 latency degrades faster than average.

Bottlenecks: Identify what fails first. Compute: Single-threaded services: can't parallelize. GC pressure: garbage collection overhead. Cold starts: latency spikes from initialization. Storage: Index bloat: indexes grow, queries slow. Write amplification: writes trigger more I/O. Slow scans: full table scans become expensive. Network: Chatty services: too many small requests. Cross-AZ traffic: inter-region latency and cost. External deps: Rate limits: third-party API throttling. SLA violations: external service degradation. Vendor outages: dependency failures.

Mitigation: Design solutions to survive 10× growth. Architectural: Caching: reduce load on backend systems. Async / queues: decouple and buffer requests. Sharding / partitioning: distribute load across nodes. Backpressure: slow down producers when consumers are overwhelmed. Operational: Load shedding: drop low-priority requests during overload. Graceful degradation: reduce features to maintain core functionality. Feature flags: disable non-critical features under load. Economic: Cost caps: limit spending to prevent runaway costs. Tiered SLAs: different service levels for different users. Kill switches: emergency shutdowns for cost control. Remember: Scaling isn't 'can it run?' It's 'what fails first, and is that acceptable?'"
760,Estimate the number of Instagram posts per day.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Volume estimation; capacity planning,"Current Load: Understand what we run today. Traffic: QPS / RPS: queries/requests per second. Concurrent users: how many users active simultaneously. Peak vs average: understand traffic patterns. Data: Rows/day: data ingestion rate. Storage size: current data volume. Read/write ratio: access patterns. Resources: CPU / Memory: compute utilization. Network: bandwidth usage. Third-party quotas: external service limits.

10× Projection: Model what changes at 10× scale. Linear growth assumptions: Traffic ×10: requests, users, sessions. Data ×10: storage, ingestion, processing. Cost ×10: infrastructure, services, operations. Non-linear risks: Lock contention: database locks become bottleneck. Hot keys / hot shards: uneven distribution causes hotspots. Fan-out explosions: one request triggers many downstream calls. Tail latency: p99/p999 latency degrades faster than average.

Bottlenecks: Identify what fails first. Compute: Single-threaded services: can't parallelize. GC pressure: garbage collection overhead. Cold starts: latency spikes from initialization. Storage: Index bloat: indexes grow, queries slow. Write amplification: writes trigger more I/O. Slow scans: full table scans become expensive. Network: Chatty services: too many small requests. Cross-AZ traffic: inter-region latency and cost. External deps: Rate limits: third-party API throttling. SLA violations: external service degradation. Vendor outages: dependency failures.

Mitigation: Design solutions to survive 10× growth. Architectural: Caching: reduce load on backend systems. Async / queues: decouple and buffer requests. Sharding / partitioning: distribute load across nodes. Backpressure: slow down producers when consumers are overwhelmed. Operational: Load shedding: drop low-priority requests during overload. Graceful degradation: reduce features to maintain core functionality. Feature flags: disable non-critical features under load. Economic: Cost caps: limit spending to prevent runaway costs. Tiered SLAs: different service levels for different users. Kill switches: emergency shutdowns for cost control. Remember: Scaling isn't 'can it run?' It's 'what fails first, and is that acceptable?'"
772,Estimate the time to move 100 petabytes of data from the East Coast to the West Coast.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Data transfer estimation; capacity planning,"Current Load: Understand what we run today. Traffic: QPS / RPS: queries/requests per second. Concurrent users: how many users active simultaneously. Peak vs average: understand traffic patterns. Data: Rows/day: data ingestion rate. Storage size: current data volume. Read/write ratio: access patterns. Resources: CPU / Memory: compute utilization. Network: bandwidth usage. Third-party quotas: external service limits.

10× Projection: Model what changes at 10× scale. Linear growth assumptions: Traffic ×10: requests, users, sessions. Data ×10: storage, ingestion, processing. Cost ×10: infrastructure, services, operations. Non-linear risks: Lock contention: database locks become bottleneck. Hot keys / hot shards: uneven distribution causes hotspots. Fan-out explosions: one request triggers many downstream calls. Tail latency: p99/p999 latency degrades faster than average.

Bottlenecks: Identify what fails first. Compute: Single-threaded services: can't parallelize. GC pressure: garbage collection overhead. Cold starts: latency spikes from initialization. Storage: Index bloat: indexes grow, queries slow. Write amplification: writes trigger more I/O. Slow scans: full table scans become expensive. Network: Chatty services: too many small requests. Cross-AZ traffic: inter-region latency and cost. External deps: Rate limits: third-party API throttling. SLA violations: external service degradation. Vendor outages: dependency failures.

Mitigation: Design solutions to survive 10× growth. Architectural: Caching: reduce load on backend systems. Async / queues: decouple and buffer requests. Sharding / partitioning: distribute load across nodes. Backpressure: slow down producers when consumers are overwhelmed. Operational: Load shedding: drop low-priority requests during overload. Graceful degradation: reduce features to maintain core functionality. Feature flags: disable non-critical features under load. Economic: Cost caps: limit spending to prevent runaway costs. Tiered SLAs: different service levels for different users. Kill switches: emergency shutdowns for cost control. Remember: Scaling isn't 'can it run?' It's 'what fails first, and is that acceptable?'"
773,Estimate the total internet bandwidth required for a campus of 1000 graduate students.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Bandwidth estimation; capacity planning,"Current Load: Understand what we run today. Traffic: QPS / RPS: queries/requests per second. Concurrent users: how many users active simultaneously. Peak vs average: understand traffic patterns. Data: Rows/day: data ingestion rate. Storage size: current data volume. Read/write ratio: access patterns. Resources: CPU / Memory: compute utilization. Network: bandwidth usage. Third-party quotas: external service limits.

10× Projection: Model what changes at 10× scale. Linear growth assumptions: Traffic ×10: requests, users, sessions. Data ×10: storage, ingestion, processing. Cost ×10: infrastructure, services, operations. Non-linear risks: Lock contention: database locks become bottleneck. Hot keys / hot shards: uneven distribution causes hotspots. Fan-out explosions: one request triggers many downstream calls. Tail latency: p99/p999 latency degrades faster than average.

Bottlenecks: Identify what fails first. Compute: Single-threaded services: can't parallelize. GC pressure: garbage collection overhead. Cold starts: latency spikes from initialization. Storage: Index bloat: indexes grow, queries slow. Write amplification: writes trigger more I/O. Slow scans: full table scans become expensive. Network: Chatty services: too many small requests. Cross-AZ traffic: inter-region latency and cost. External deps: Rate limits: third-party API throttling. SLA violations: external service degradation. Vendor outages: dependency failures.

Mitigation: Design solutions to survive 10× growth. Architectural: Caching: reduce load on backend systems. Async / queues: decouple and buffer requests. Sharding / partitioning: distribute load across nodes. Backpressure: slow down producers when consumers are overwhelmed. Operational: Load shedding: drop low-priority requests during overload. Graceful degradation: reduce features to maintain core functionality. Feature flags: disable non-critical features under load. Economic: Cost caps: limit spending to prevent runaway costs. Tiered SLAs: different service levels for different users. Kill switches: emergency shutdowns for cost control. Remember: Scaling isn't 'can it run?' It's 'what fails first, and is that acceptable?'"
776,Estimate the total storage used by Dropbox.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Storage estimation; capacity planning,"Current Load: Understand what we run today. Traffic: QPS / RPS: queries/requests per second. Concurrent users: how many users active simultaneously. Peak vs average: understand traffic patterns. Data: Rows/day: data ingestion rate. Storage size: current data volume. Read/write ratio: access patterns. Resources: CPU / Memory: compute utilization. Network: bandwidth usage. Third-party quotas: external service limits.

10× Projection: Model what changes at 10× scale. Linear growth assumptions: Traffic ×10: requests, users, sessions. Data ×10: storage, ingestion, processing. Cost ×10: infrastructure, services, operations. Non-linear risks: Lock contention: database locks become bottleneck. Hot keys / hot shards: uneven distribution causes hotspots. Fan-out explosions: one request triggers many downstream calls. Tail latency: p99/p999 latency degrades faster than average.

Bottlenecks: Identify what fails first. Compute: Single-threaded services: can't parallelize. GC pressure: garbage collection overhead. Cold starts: latency spikes from initialization. Storage: Index bloat: indexes grow, queries slow. Write amplification: writes trigger more I/O. Slow scans: full table scans become expensive. Network: Chatty services: too many small requests. Cross-AZ traffic: inter-region latency and cost. External deps: Rate limits: third-party API throttling. SLA violations: external service degradation. Vendor outages: dependency failures.

Mitigation: Design solutions to survive 10× growth. Architectural: Caching: reduce load on backend systems. Async / queues: decouple and buffer requests. Sharding / partitioning: distribute load across nodes. Backpressure: slow down producers when consumers are overwhelmed. Operational: Load shedding: drop low-priority requests during overload. Graceful degradation: reduce features to maintain core functionality. Feature flags: disable non-critical features under load. Economic: Cost caps: limit spending to prevent runaway costs. Tiered SLAs: different service levels for different users. Kill switches: emergency shutdowns for cost control. Remember: Scaling isn't 'can it run?' It's 'what fails first, and is that acceptable?'"
