question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,design_subtype
135,Build a sushi factory that sells wholesale sushi boxes.,🟢,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; food service,P13B_Digital_Consumer
261,Design a better grocery shopping experience.,🟢,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; grocery shopping,P13B_Digital_Consumer
385,Design a payment screen mockup with virtual card numbers.,🟢,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature design; payment UI,P13B_Digital_Consumer
386,Design a payment system for teenage boys in Italy.,🟢,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; payment system,P13B_Digital_Consumer
390,"Design a personalized user experience for Paytm, a payments and financial services app.",🟢,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; personalization,P13B_Digital_Consumer
425,Design a product for retailers with the aim of increasing advertiser ROI.,🟢,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; advertising ROI,P13B_Digital_Consumer
574,Design an app for buying and selling antiques.,🟢,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; marketplace,P13B_Digital_Consumer
598,Design an e-commerce website for SLR cameras.,🟢,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; e-commerce,P13B_Digital_Consumer
1029,How could e-commerce platforms enhance the shopping experience to be more inspirational?,🟢,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product improvement; e-commerce,P13B_Digital_Consumer
1165,How does Capital One Shopping create value for Capital One?,🟢,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Value creation; business model,P13B_Digital_Consumer
1306,How would you design a Web browser to increase the sales of your ecommerce company?,🟢,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; revenue optimization,
1424,"How would you improve the customer satisfaction rating (CSAT) for Costco, a membership-only retail store?",🟢,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,CSAT improvement; metrics,P13B_Digital_Consumer
801,Explain how to train and deploy an ML model for license plate detection for customer pick-up orders at a retail store. How do you decide between on-premise versus cloud deployment?,🟡,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,ML deployment decision; system design,
1038,How do Amazon price tracker tools like Aarabuy work?,🟡,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,System explanation; price tracking,
1842,SQL Stored Procedures,🟡,P13B_Ecommerce_Shopping,Consumer Platforms - E-commerce/Shopping,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,SQL procedures; system design,
