question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
146,Can you explain how 15-minute speedy delivery apps operate?,🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,System explanation; delivery app architecture
230,Describe an endpoint and provide two examples.,🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,API design; technical explanation
240,"Describe three behavioral leadership principles, two functional competencies, and one technical system design.",🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,Leadership and system design; mixed question
242,Describe what happens when you type a URL into your browser and press Enter.,🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,System explanation; web architecture
245,Describe your experience with AWS for machine learning projects.,🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,AWS ML experience; technical background
247,Describe your experience with PyTorch.,🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,ML framework experience; technical background
249,Describe your GPU programming experience.,🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,GPU programming; technical background
251,Describe your machine learning experience.,🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,ML experience; technical background
254,"Design a 5:1 audio system for WhatsApp, Instagram, and Messenger, including hardware interfaces, codecs, API endpoints, and the value proposition for Meta.",🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,Audio system design; technical architecture
256,"Design a banking system to facilitate account creation, deposits, transfers, and listing the most active accounts by total monetary activity, with commands entered via parsing CSV/JSON.",🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,Banking system design; technical architecture
283,Design a currency exchange system.,🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,System design; currency exchange
287,"Design a data pipeline that updates hourly and powers a dashboard showing the most common Alexa user requests, broken down by country.",🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,Data pipeline design; ETL system
299,Design a denoising system for sounds.,🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,System design; audio processing
302,"Design a distributed database system, for example, Kafka.",🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,System design; distributed database
303,Design a distributed file system.,🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,System design; distributed file system
304,Design a distributed logging system.,🟡,L14,System Design (Conceptual),Components → Data Flow → Boundaries → Scale Considerations,System design; logging system
