question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
12,"A leading Canadian grocery chain is considering opening its first store in Montreal. Should they? If yes, what should be the ratio of self-checkout kiosks to cashier counters?",🟢,P9,Decision Under Uncertainty,Clarify Assumptions → Identify Risks → Validation Plan → Decide,Market entry decision; multiple unknowns
16,A potential client asks for a guarantee on a feature's delivery date. Your team hasn't considered this feature before. What would you do?,🟢,P9,Decision Under Uncertainty,Clarify Assumptions → Identify Risks → Validation Plan → Decide,Commitment under uncertainty; risk management
91,"As a VC offering you $20M to build any technology-enabled product/service, how would you get started?",🟢,P9,Decision Under Uncertainty,Clarify Assumptions → Identify Risks → Validation Plan → Decide,Startup ideation; market opportunity
150,"Can you outline a framework for a go/no-go decision? For example, you are a PM who just onboarded and need to decide whether to ship a feature that the previous PM worked on.",🟢,P9,Decision Under Uncertainty,Clarify Assumptions → Identify Risks → Validation Plan → Decide,Go/no-go framework; decision making
185,Decide product-market fit for sticky post-its.,🟢,P9,Decision Under Uncertainty,Clarify Assumptions → Identify Risks → Validation Plan → Decide,PMF assessment; product validation
215,Describe a time when a project lacked key information.,🟢,P9,Decision Under Uncertainty,Clarify Assumptions → Identify Risks → Validation Plan → Decide,Information gaps; behavioral question
1040,How do we increase revenue (based on favorite product)?,🟢,P9,Revenue Optimization,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Revenue increase; optimization
1156,How do you think TikTok should monetize?,🟢,P9,Revenue Optimization,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Monetization strategy; revenue optimization
1235,How would you 10x Duolingo?,🟢,P9,Revenue Optimization,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Growth strategy; revenue optimization
1236,How would you 10x Google Cloud IoT?,🟢,P9,Revenue Optimization,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Growth strategy; revenue optimization
1251,How would you approach pricing for a new product?,🟢,P9,Revenue Optimization,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Pricing strategy; revenue optimization
1279,How would you convince Facebook-only users to also use Instagram?,🟢,P9,Revenue Optimization,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",User acquisition; growth strategy
1283,How would you create a marketing strategy for a Google bus,🟢,P9,Revenue Optimization,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Marketing strategy; growth strategy
1324,How would you develop a strategy to acquire more users for Uber?,🟢,P9,Revenue Optimization,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",User acquisition; growth strategy
1360,How would you get more drivers to use the red food bag provided by DoorDash over a weekend?,🟢,P9,Revenue Optimization,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Driver adoption; growth strategy
