question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,design_subtype
84,"As a Product Manager for Meta, what product would you create to address climate change?",🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Product design; climate focus,P13E_Strategy_Vision
186,Define a 1-year roadmap for WhatsApp in India.,🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Roadmap planning; market strategy,P13E_Strategy_Vision
187,Define a 10-year roadmap for Google Maps.,🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Long-term roadmap; strategic planning,P13E_Strategy_Vision
432,Design a product roadmap for Flipkart's Seller Hub mobile app.,🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Roadmap planning; seller platform,P13E_Strategy_Vision
704,Develop a roadmap to drive engagement from small business owners for Apple Maps.,🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Roadmap planning; engagement strategy,P13C_B2B_Enterprise
1605,"If the CEO of Google asks for a product that allows meetings in person, what would you create for the next 5-10 years?",🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Product design; new product,
2226,What are the most important industry trends right now? What strategy would you pursue if you were leading Voodoo in the next 5 years?,🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Industry trends; product strategy,
2425,What product should Apple announce at their next Keynote?,🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Product ideation; product design,
2426,What product should Google build next?,🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Product ideation; product design,
2775,You're a PM at Wikipedia. What product should you build next?,🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Product design,
2796,You're a PM for Gmail. Design a three-year product roadmap.,🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Product design,
2799,You're a PM for Google Chrome on large screens. Build the three-year innovation roadmap.,🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Product design,
2834,"You're a PM with two engineers, and enterprise customers won't adopt your product due to an unclear roadmap. Your engineers are already working hard on a task outlined. What would you do?",🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Product design,
2884,Your largest customer is advocating for a new feature not in your roadmap. What do you do?,🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Product design,
2885,"Your recently launched feature isn't meeting customer expectations, but your engineering team and roadmap are at capacity. How would you address this?",🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Product design,
2890,You’re launching a new feature—how would you measure its strategic impact on growth?,🟢,P13E_Strategy_Vision,Strategy / Vision / Roadmapping,Vision → User Segments → Strategic Bets → Phasing → Risks,Product design,
