question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
2254,"What challenge do you anticipate in this role, and what excites you most about it?",🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2284,What excites you most about technology?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2300,What got you interested in technology?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2412,What motivates you to get up from the bed?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2413,What motivates you?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2418,What part of our mission resonates the most with you?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2543,Why are you interested in becoming a Chief of Staff?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2544,Why are you interested in FinTech?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2545,Why are you interested in working at Bloomberg?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2546,Why are you interested in working at MongoDB?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2573,Why do you want to be a PM? What aspects of product management are you most passionate about?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2574,Why do you want to be a PM? What experiences have pointed to this being the right role for you?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2575,Why do you want to be a Product Manager?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2576,Why do you want to be a product manager?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
2577,Why do you want to join a Graduate Scheme?,🟢,P16,Intent / Motivation,Company → Role → Mission → Personal Fit → Why Now,Intent question; motivation; company fit
