question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
21,Amazon has noticed that many merchants list products but do not deliver them. How would you solve this problem?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Merchant reliability; operational problem
26,An important feature of a product fails on the release day at a conference. What would you do?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Crisis management; release failure
43,"As a PM at Exponent, how would you design a system to prevent multiple users from sharing the same account or encourage unique accounts?",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Account sharing problem; operational + product
80,"As a Product Manager for a calendar application working on better error handling, how would you prepare this user story for the backlog? 'As a user, I want to see when my changes haven't been synch...",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,User story writing; error handling feature
86,"As a product manager ready for launch, what is a good go-to-market strategy?",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,GTM strategy; launch planning
89,"As a product marketing manager, how would you launch the new waitlist appointment feature for a salon? What process would you follow?",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Feature launch; GTM execution
99,"As part of the Udemy product team, write 2 to 3 agile user stories for a new feature allowing learners to submit and view short videos under 2 minutes in courses.",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,User story writing; feature specification
338,Design a GTM strategy for our web-based Documents Processor App.,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,GTM strategy; go-to-market
339,Design a GTM strategy for taking a brick-and-mortar rug store online.,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,GTM strategy; e-commerce transition
472,Design a roadmap for adding or integrating purchase requests to an existing invoice management system.,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Roadmap planning; system integration
1162,How do you write your PRDs?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,PRD writing; process
1238,How would you address a late delivery by a supplier?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Supplier management; operational issue
1346,How would you execute the change of moving the 'like' button in photos to a menu under three dots on the picture?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Change execution; operational excellence
1375,How would you help a CEO scale from 50 to 500 employees?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Scaling; operational excellence
1468,How would you initiate a new program from scratch?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Program initiation; operational excellence
1529,How would you prepare a program to fix city roads?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Program planning; operational excellence
1554,How would you rollout a new feature for Perplexity?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Feature rollout; operational excellence
1568,How would you simplify the in-person interview process during a global pandemic when you have to visit the recruiter's office?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Process simplification; operational excellence
1626,"If you launched in a new market today and none of your drivers showed up, what would you do?",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Crisis management; operational excellence
1714,LinkedIn Stories is a failed product. What would you have done differently?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Product failure; operational excellence
2444,What systems or processes would you implement to improve organizational efficiency?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Organizational efficiency; operational excellence
2470,What would you do if the timelines of a product are scattered?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Timeline management; operational excellence
2662,You are a PM for a grocery delivery app and need to launch the first version of the app in 3 months. How would you approach this go-to-market strategy?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Go-to-market; product launch
2672,"You are launching a strategic app. One month out, internal feedback suggests it isn't ready, with below target metrics including CSAT. What do you do?",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Launch readiness; operational excellence
2677,You are tasked to launch a RFI (Request for Information) Tool. How would you plan to develop and launch this product?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Product launch; operational excellence
2697,You need 1000 conversions by next week. What would you do?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Urgent goal; operational excellence
2705,You were hired by an airline consortium to improve the perception of air travel. What would you do with a budget of $10M in one year?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2707,"You work at Swiggy (3-sided marketplace - consumer, rider, restaurant). How would you create a tool to enable restaurants to create and fund their own promotional offers (% discounts, etc.) on Swiggy?",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2712,You're a leader at Google and they've built a bridge from Africa to the United States. What should Google do next?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,General question
2729,You're a PM at Booking.com. A sales manager reports that the app is returning a 404 error. How would you investigate the issue?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2733,You're a PM at Google. How would you sunset Gmail?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2734,You're a PM at Google. How would you sunset YouTube?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2736,You're a PM at Google. Your tech lead always plays devil's advocate. How would you handle it?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2739,You're a PM at Instagram Reels. How would you measure the success of introducing ads?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2741,You're a PM at Instagram. How would you diagnose a 10% drop in impressions?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2742,"You're a PM at LinkedIn in 2018, launching LinkedIn Live Video. How would you determine success?",🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2746,You're a PM at Meta. DAU for Instagram is down while MAU is constant. How do you solve for this?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,General question
2752,You're a PM at Meta. How would you measure the success of Facebook's notification bell and its drop-down menu?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2753,You're a PM at Meta. How would you measure the success of Instagram Live?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
2757,You're a PM at Netflix tasked with launching their first ads program. How would you approach this?,🟢,P12,Operational Excellence,Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor,Operational question
