question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
3.1,What is the cost for a new Facebook customer acquisition?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,CAC calculation; financial analysis
108,"As the new CEO of Blue Origin, what actions would you take to make the company break even?",🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Financial strategy; break-even analysis
124,"Assuming AR-enabled glasses exist in 2031, how many do you think will ship that year? What factors will you consider in your estimation?",🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; AR adoption forecast
219,Describe a time when you identified a cost-saving opportunity.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Cost optimization; behavioral question
739,Estimate Airbnb's Revenue,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Revenue estimation; market sizing
740,Estimate Facebook's yearly advertising revenue.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Revenue estimation; market sizing
741,Estimate how many productivity hours are lost per year due to traffic.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Productivity estimation; cost analysis
743,Estimate how much it costs to run Youtube for a day,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Cost estimation; infrastructure
744,Estimate Self-Driving Cars,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; technology adoption
746,Estimate the annual cost of managing Google Photos. What factors would you consider in your calculation?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Cost estimation; infrastructure
751,Estimate the daily number of transactions in the US.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Transaction volume estimation; market sizing
752,Estimate the market size for Google Fi.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market size estimation; TAM
753,Estimate the market size of the bike market in the United States.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market size estimation; TAM
755,Estimate the number of apps available in the Play Store.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; app count
756,Estimate the number of cinema tickets sold in the US in one year.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; ticket sales
757,Estimate the number of credit card users in India.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; user base
758,Estimate the number of daily flights from London to Dubai.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; flight volume
759,Estimate the number of high school students in the US.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; demographics
761,Estimate the number of mutual follows an average TikTok user has.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,User behavior estimation; engagement metrics
762,Estimate the number of people who use Google Search to find a new job.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,User behavior estimation; search volume
765,"Estimate the number of restaurants in Bengaluru, India.",🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; restaurant count
766,Estimate the number of restaurants in San Francisco.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; restaurant count
767,"Estimate the number of tires purchased annually by a large car dealership in San Jose, California.",🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; tire sales
769,"Estimate the number of Zomato food delivery drivers in Bangalore, India.",🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; driver count
770,Estimate the potential number of rides per month for e-scooter rentals in San Francisco.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; ride volume
771,Estimate the TAM for electric scooters in San Francisco.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market size estimation; TAM
775,Estimate the total number of annual hotel bookings made globally on Expedia.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; booking volume
1000,"Has the work-from-home model and COVID-19 impacted workforce productivity, and by how much?",🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Productivity analysis; impact assessment
1020,How big is the market for Dropbox for SMBs?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market sizing; TAM
1030,How did COVID-19 affect Amazon?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Impact analysis; external factors
1031,How did COVID-19 affect HelloFresh?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Impact analysis; external factors
1032,How did COVID-19 affect Uber?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Impact analysis; external factors
1096,How do you evaluate the ROI of a strategic bet?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,ROI evaluation; strategic decision
1170,How does the US-China trade war affect Apple?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,External impact; business analysis
1194,How many grocery stores are required in a metropolitan city?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; capacity planning
1195,How many Hershey's chocolate bars were sold in the US last year?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; sales volume
1214,How much does it cost Google to run Google Photos?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Cost estimation; business analysis
1215,How much does Meta (Facebook) spend to acquire one new user?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,CAC estimation; business analysis
1318,How would you determine the pay structure for data labeling teams?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Compensation structure; cost analysis
1328,How would you distribute sales reps across the country?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Resource allocation; cost optimization
1339,How would you estimate the total addressable market (TAM) for a new product?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market sizing; business analysis
1341,How would you evaluate our pricing compared to competitors using publicly available data?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Competitive pricing; cost analysis
1518,How would you model the expected ROI of a new product launch?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,ROI modeling; cost analysis
1569,How would you size the opportunity for launching a grocery delivery service in a new city?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market sizing; business analysis
1580,"How would you use a $100M investment from a venture capital firm to build an OLTP database product, making it cost-neutral and generating growth within 5 years?",🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Investment strategy; cost analysis
1606,"If the US government legalized marijuana, estimate the impact on consumption.",🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market impact estimation; business analysis
1761,Pick a Capital One product. Estimate the monthly revenue per customer.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Revenue estimation; cost analysis
1813,Should Google create a new GCP region in Portugal?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Infrastructure decision; cost analysis
2149,Tell me what you know about Hubspot and its market share.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market knowledge; business analysis
2156,The leadership team wants to understand the ROI of a new feature—how would you structure that analysis?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,ROI analysis; cost analysis
2182,Walk me through how you would build a financial model for a subscription business.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Financial modeling; cost analysis
2204,What are some reasons why Google acquired Fitbit?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Acquisition analysis; business analysis
2207,What are the business benefits and strategic reasons for a bank to develop a banking app?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Business strategy; cost analysis
2256,What competitive advantage does LinkedIn gain from users completing their profiles?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Competitive advantage; business analysis
2264,What do you know about Qualcomm?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Company knowledge; business analysis
2272,"What do you think the global booking cancellation rate is at Booking.com, and why?",🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; business analysis
2330,What is the customer and business value of Capital One shopping?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Value analysis; business analysis
2342,What is the market size for driverless cars in 2025?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market sizing; business analysis
2350,What is the potential market size for a better debit card?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market sizing; business analysis
2353,What is the size of the micromobility market in the United States?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market sizing; business analysis
2354,What is the total addressable market (TAM) for Google Translate?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market sizing; business analysis
2356,What is the value of a Google Photos user to Google?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,User value; business analysis
2357,What is the value of moving all Capital One customers to use the mobile app?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Migration value; business analysis
2410,What might be two macroeconomic trends impacting Uber Eats supply or demand in the near future?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Macro trends; business analysis
2433,What role does Nvidia play in shaping the tech industry?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Industry analysis; business analysis
2460,What value do virtual card numbers bring to Capital One?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Value analysis; business analysis
2492,What's the size of the food delivery market in the United States?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market sizing; business analysis
2524,"When managing a budget, what are some ways you get more out of less?",🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Budget optimization; cost analysis
