question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,design_subtype
53,"As a PM at Slack, how would you redesign the product to enter the education sector?",🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Market expansion; education sector pivot,P13B_Digital_Consumer
314,Design a file upload feature for an AI chat application.,🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature design; file upload,P13B_Digital_Consumer
337,Design a group chat application.,🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; messaging app,P13B_Digital_Consumer
359,Design a messaging platform.,🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; messaging,P13B_Digital_Consumer
374,Design a new feature for WhatsApp group messages.,🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature design; messaging,P13B_Digital_Consumer
428,Design a product for the Department of Motor Vehicles (DMV).,🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; government services,P13B_Digital_Consumer
661,Design price alert notifications for the Coinbase app.,🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature design; price alerts,P13B_Digital_Consumer
1383,How would you implement safety features for Roblox's private messaging between players?,🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Safety features; product design,
1439,How would you improve the Spotlight feature at Snapchat?,🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature improvement; product design,
1784,Redesign a DMV system.,🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,System redesign; product design,
2373,What is your favorite Slack feature?,🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature analysis; product design,
2773,You're a PM at WhatsApp tasked with increasing user engagement. What features will you build and how will you prioritize and evaluate them?,🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design,
2851,"You're redesigning Capital One's Instant Push Notifications (IPN) system, moving from multiple screens to a single view. How would you improve the user experience?",🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design,
2879,You're the Product Manager at Beacon. What would you do to build an in-app chat feature?,🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design,
690,"Design Whatsapp for either one of 3 segments: senior citizens, families, or businesses.",🟢,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; segmented messaging,P13B_Digital_Consumer
2626,Why use a message queue?,🟡,P13B_Messaging_Communication,Consumer Platforms - Messaging/Communication,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,System design; conceptual question,
