question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,design_subtype
3.3,How would you improve the LinkedIn home page?,🟢,P13B_Consumer_Platform,Consumer Platforms (Engagement-Driven),Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product improvement; homepage optimization,P13B_Digital_Consumer
31,"As a Facebook PM, what would you do to design a product for hobbies?",🟢,P13B_Consumer_Platform,Consumer Platforms (Engagement-Driven),Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; hobbies focus,P13B_Digital_Consumer
32,"As a Google PM, how would you design a solution to enhance financial savviness for users?",🟢,P13B_Consumer_Platform,Consumer Platforms (Engagement-Driven),Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; financial education,P13B_Digital_Consumer
38,"As a PM at a teleconferencing company, design a product for working from home.",🟢,P13B_Consumer_Platform,Consumer Platforms (Engagement-Driven),Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; WFH focus,P13B_Digital_Consumer
50,"As a PM at Netflix, design something for kids.",🟢,P13B_Consumer_Platform,Consumer Platforms (Engagement-Driven),Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; kids focus,P13B_Digital_Consumer
53,"As a PM at Slack, how would you redesign the product to enter the education sector?",🟢,P13B_Consumer_Platform,Consumer Platforms (Engagement-Driven),Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Market expansion; education sector pivot,P13B_Digital_Consumer
70,"As a PM for the health team at Meta, design a product for tissue donation.",🟢,P13B_Consumer_Platform,Consumer Platforms (Engagement-Driven),Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; healthcare focus,P13B_Digital_Consumer
71,"As a PM for TikTok, design the user journey for third-party services (e.g., restaurants and shops) integrated into the app.",🟢,P13B_Consumer_Platform,Consumer Platforms (Engagement-Driven),Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,User journey design; third-party integration,P13B_Digital_Consumer
126,"Based on the latest AI news, what ideas do you have that are one step beyond what exists today?",🟢,P13B_Consumer_Platform,Consumer Platforms (Engagement-Driven),Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product ideation; AI innovation,P13B_Digital_Consumer
127,Brainstorm a product idea with the help of AI.,🟢,P13B_Consumer_Platform,Consumer Platforms (Engagement-Driven),Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product ideation; AI-assisted brainstorming,P13B_Digital_Consumer
134,Build a product for art lovers.,🟢,P13B_Consumer_Platform,Consumer Platforms (Engagement-Driven),Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product ideation; art platform,P13B_Digital_Consumer
135,Build a sushi factory that sells wholesale sushi boxes.,🟢,P13B_Consumer_Platform,Consumer Platforms (Engagement-Driven),Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; food service,P13B_Digital_Consumer
