question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
4,55% of users do not complete the application from the application page to the submission page. Why do you think this is the case?,🟢,P3,Funnel Analysis,Define Funnel Steps → Measure Drop-off → Identify Friction → Hypothesize Fix → Test,Application funnel; 55% drop = major friction
13,A newly launched mobile app has a 25% drop-off during sign-up. How would you investigate the issue?,🟢,P3,Funnel Analysis,Define Funnel Steps → Measure Drop-off → Identify Friction → Hypothesize Fix → Test,Sign-up funnel; 25% drop-off
252,Describe your preferred e-commerce platform and walk me through the user journey.,🟢,P3,Funnel Analysis,Define Funnel Steps → Measure Drop-off → Identify Friction → Hypothesize Fix → Test,User journey; e-commerce analysis
985,"Given this user funnel, how would you prioritize addressing drop-off points? Come up with design solutions to increase conversion.",🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Funnel optimization; conversion
1256,How would you boost retention for DashPass?,🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Retention improvement; funnel analysis
1315,How would you determine if launching a new product is worthwhile?,🟢,P3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Product launch decision; ROI analysis
1391,How would you improve engagement for a real estate app like Redfin or Zillow?,🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Engagement improvement; funnel analysis
1392,How would you improve engagement on the Venmo Social Feed?,🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Engagement improvement; funnel analysis
1406,How would you improve our hiring conversion and time to hire from application to offer rollout?,🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Hiring funnel; process improvement
1409,How would you improve retention for the Adobe Mobile Scan app?,🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Retention improvement; funnel analysis
1410,How would you improve retention on LinkedIn?,🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Retention improvement; funnel analysis
1445,How would you improve user engagement on Netflix?,🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Engagement improvement; funnel analysis
1456,How would you increase engagement for Google Maps?,🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Engagement improvement; funnel analysis
1457,How would you increase engagement for Spotify?,🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Engagement improvement; funnel analysis
1465,How would you increase the conversion rate for YouTube Premium?,🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Conversion improvement; funnel analysis
1466,How would you increase the frequency of user sessions on YouTube?,🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Session frequency; funnel analysis
1467,How would you increase user engagement as a PM for Spotify?,🟢,P3,Funnel Analysis,Define Funnel → Drop-off → Diagnose Friction → Test Fix,Engagement improvement; funnel analysis
