question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,short_answer
24,An amusement park has a ride with a long queue that is a growing concern. How would you address this issue?,🟡,L10,Process Optimization,Map Workflow → Identify Bottlenecks → Optimize → Measure,Queue = bottleneck; process optimization,"Map Workflow: Document the current process end-to-end. Identify all steps: from start to finish, map every stage. Sequence: order of operations, dependencies between steps. Stakeholders: who is involved at each step. Time: how long each step takes, total cycle time. Handoffs: where work transfers between people/systems. Create a visual flow: step 1 → step 2 → step 3 → completion.

Identify Bottlenecks: Find where the process slows down. Time analysis: which step takes longest? Wait time: where is work waiting (queues, approvals, dependencies)? Resource constraints: limited capacity, single-threaded steps. Rework: steps that require repetition, errors, corrections. Manual steps: human-dependent processes that could be automated. Dependencies: steps blocked by other processes or approvals. Focus on: highest time impact, most frequent delays, biggest pain points.

Optimize: Design improvements to eliminate bottlenecks. Increase capacity: add resources, parallel processing. Reduce demand: batch processing, off-peak scheduling. Optimize flow: reduce wait time, improve routing. Eliminate waste: remove unnecessary steps, streamline. Prioritize: focus on highest-impact bottlenecks first.

Measure: Track impact of optimizations. Before metrics: baseline cycle time, throughput, error rate. After metrics: improved cycle time, throughput, error rate. Key metrics: time saved, capacity increase, quality improvement. Continuous monitoring: track metrics over time, identify new bottlenecks. Iterate: if optimization didn't work, try different approach. Document learnings: what worked, what didn't, why."
76,"As a PM, how would you name conference rooms for a new office so newcomers can easily navigate?",🟡,L10,Process Optimization,Map Workflow → Identify Bottlenecks → Optimize → Measure,Wayfinding problem; process design,"Map Workflow: Document the current process end-to-end. Identify all steps: from start to finish, map every stage. Sequence: order of operations, dependencies between steps. Stakeholders: who is involved at each step. Time: how long each step takes, total cycle time. Handoffs: where work transfers between people/systems. Create a visual flow: step 1 → step 2 → step 3 → completion.

Identify Bottlenecks: Find where the process slows down. Time analysis: which step takes longest? Wait time: where is work waiting (queues, approvals, dependencies)? Resource constraints: limited capacity, single-threaded steps. Rework: steps that require repetition, errors, corrections. Manual steps: human-dependent processes that could be automated. Dependencies: steps blocked by other processes or approvals. Focus on: highest time impact, most frequent delays, biggest pain points.

Optimize: Design improvements to eliminate bottlenecks. Eliminate waste: remove unnecessary steps, reduce handoffs. Automate: replace manual work with systems. Parallelize: run steps concurrently. Standardize: create consistent processes. Increase capacity: add resources where bottlenecked. Prioritize: focus on highest-impact bottlenecks first.

Measure: Track impact of optimizations. Before metrics: baseline cycle time, throughput, error rate. After metrics: improved cycle time, throughput, error rate. Key metrics: time saved, capacity increase, quality improvement. Continuous monitoring: track metrics over time, identify new bottlenecks. Iterate: if optimization didn't work, try different approach. Document learnings: what worked, what didn't, why."
147,Can you explain the Agile methodology and its key principles?,🟡,L10,Process Optimization,Map Workflow → Identify Bottlenecks → Optimize → Measure,Methodology explanation; process framework,"Map Workflow: Document the current process end-to-end. Identify all steps: from start to finish, map every stage. Sequence: order of operations, dependencies between steps. Stakeholders: who is involved at each step. Time: how long each step takes, total cycle time. Handoffs: where work transfers between people/systems. Create a visual flow: step 1 → step 2 → step 3 → completion.

Identify Bottlenecks: Find where the process slows down. Time analysis: which step takes longest? Wait time: where is work waiting (queues, approvals, dependencies)? Resource constraints: limited capacity, single-threaded steps. Rework: steps that require repetition, errors, corrections. Manual steps: human-dependent processes that could be automated. Dependencies: steps blocked by other processes or approvals. Focus on: highest time impact, most frequent delays, biggest pain points.

Optimize: Design improvements to eliminate bottlenecks. Eliminate waste: remove unnecessary steps, reduce handoffs. Automate: replace manual work with systems. Parallelize: run steps concurrently. Standardize: create consistent processes. Increase capacity: add resources where bottlenecked. Prioritize: focus on highest-impact bottlenecks first.

Measure: Track impact of optimizations. Before metrics: baseline cycle time, throughput, error rate. After metrics: improved cycle time, throughput, error rate. Key metrics: time saved, capacity increase, quality improvement. Continuous monitoring: track metrics over time, identify new bottlenecks. Iterate: if optimization didn't work, try different approach. Document learnings: what worked, what didn't, why."
182,Debug a build/CI system for a particular scenario or slow builds.,🟡,L10,Process Optimization,Map Workflow → Identify Bottlenecks → Optimize → Measure,CI/CD optimization; build system,"Map Workflow: Document the current process end-to-end. Identify all steps: from start to finish, map every stage. Sequence: order of operations, dependencies between steps. Stakeholders: who is involved at each step. Time: how long each step takes, total cycle time. Handoffs: where work transfers between people/systems. Create a visual flow: step 1 → step 2 → step 3 → completion.

Identify Bottlenecks: Find where the process slows down. Time analysis: which step takes longest? Wait time: where is work waiting (queues, approvals, dependencies)? Resource constraints: limited capacity, single-threaded steps. Rework: steps that require repetition, errors, corrections. Manual steps: human-dependent processes that could be automated. Dependencies: steps blocked by other processes or approvals. Focus on: highest time impact, most frequent delays, biggest pain points.

Optimize: Design improvements to eliminate bottlenecks. Eliminate waste: remove unnecessary steps, reduce handoffs. Automate: replace manual work with systems. Parallelize: run steps concurrently. Standardize: create consistent processes. Increase capacity: add resources where bottlenecked. Prioritize: focus on highest-impact bottlenecks first.

Measure: Track impact of optimizations. Before metrics: baseline cycle time, throughput, error rate. After metrics: improved cycle time, throughput, error rate. Key metrics: time saved, capacity increase, quality improvement. Continuous monitoring: track metrics over time, identify new bottlenecks. Iterate: if optimization didn't work, try different approach. Document learnings: what worked, what didn't, why."
196,"Define the flow from order booking to delivery, including installation, for a customized drinking water purifier.",🟡,L10,Process Optimization,Map Workflow → Identify Bottlenecks → Optimize → Measure,Process definition; order-to-delivery flow,"Map Workflow: Document the current process end-to-end. Identify all steps: from start to finish, map every stage. Sequence: order of operations, dependencies between steps. Stakeholders: who is involved at each step. Time: how long each step takes, total cycle time. Handoffs: where work transfers between people/systems. Create a visual flow: step 1 → step 2 → step 3 → completion.

Identify Bottlenecks: Find where the process slows down. Time analysis: which step takes longest? Wait time: where is work waiting (queues, approvals, dependencies)? Resource constraints: limited capacity, single-threaded steps. Rework: steps that require repetition, errors, corrections. Manual steps: human-dependent processes that could be automated. Dependencies: steps blocked by other processes or approvals. Focus on: highest time impact, most frequent delays, biggest pain points.

Optimize: Design improvements to eliminate bottlenecks. Route optimization: efficient paths, minimize travel time. Batch processing: group deliveries, optimize stops. Resource allocation: right capacity at right time. Automation: reduce manual work, improve accuracy. Prioritize: focus on highest-impact bottlenecks first.

Measure: Track impact of optimizations. Before metrics: baseline cycle time, throughput, error rate. After metrics: improved cycle time, throughput, error rate. Key metrics: time saved, capacity increase, quality improvement. Continuous monitoring: track metrics over time, identify new bottlenecks. Iterate: if optimization didn't work, try different approach. Document learnings: what worked, what didn't, why."
236,"Describe the differences between a product manager, project manager, and scrum master.",🟡,L10,Process Optimization,Map Workflow → Identify Bottlenecks → Optimize → Measure,Role definitions; process understanding,"Map Workflow: Document the current process end-to-end. Identify all steps: from start to finish, map every stage. Sequence: order of operations, dependencies between steps. Stakeholders: who is involved at each step. Time: how long each step takes, total cycle time. Handoffs: where work transfers between people/systems. Create a visual flow: step 1 → step 2 → step 3 → completion.

Identify Bottlenecks: Find where the process slows down. Time analysis: which step takes longest? Wait time: where is work waiting (queues, approvals, dependencies)? Resource constraints: limited capacity, single-threaded steps. Rework: steps that require repetition, errors, corrections. Manual steps: human-dependent processes that could be automated. Dependencies: steps blocked by other processes or approvals. Focus on: highest time impact, most frequent delays, biggest pain points.

Optimize: Design improvements to eliminate bottlenecks. Eliminate waste: remove unnecessary steps, reduce handoffs. Automate: replace manual work with systems. Parallelize: run steps concurrently. Standardize: create consistent processes. Increase capacity: add resources where bottlenecked. Prioritize: focus on highest-impact bottlenecks first.

Measure: Track impact of optimizations. Before metrics: baseline cycle time, throughput, error rate. After metrics: improved cycle time, throughput, error rate. Key metrics: time saved, capacity increase, quality improvement. Continuous monitoring: track metrics over time, identify new bottlenecks. Iterate: if optimization didn't work, try different approach. Document learnings: what worked, what didn't, why."
723,Discuss your release and branching strategy.,🟡,L10,Process Optimization,Map Workflow → Identify Bottlenecks → Optimize → Measure,Process explanation; release strategy,"Map Workflow: Document the current process end-to-end. Identify all steps: from start to finish, map every stage. Sequence: order of operations, dependencies between steps. Stakeholders: who is involved at each step. Time: how long each step takes, total cycle time. Handoffs: where work transfers between people/systems. Create a visual flow: step 1 → step 2 → step 3 → completion.

Identify Bottlenecks: Find where the process slows down. Time analysis: which step takes longest? Wait time: where is work waiting (queues, approvals, dependencies)? Resource constraints: limited capacity, single-threaded steps. Rework: steps that require repetition, errors, corrections. Manual steps: human-dependent processes that could be automated. Dependencies: steps blocked by other processes or approvals. Focus on: highest time impact, most frequent delays, biggest pain points.

Optimize: Design improvements to eliminate bottlenecks. Eliminate waste: remove unnecessary steps, reduce handoffs. Automate: replace manual work with systems. Parallelize: run steps concurrently. Standardize: create consistent processes. Increase capacity: add resources where bottlenecked. Prioritize: focus on highest-impact bottlenecks first.

Measure: Track impact of optimizations. Before metrics: baseline cycle time, throughput, error rate. After metrics: improved cycle time, throughput, error rate. Key metrics: time saved, capacity increase, quality improvement. Continuous monitoring: track metrics over time, identify new bottlenecks. Iterate: if optimization didn't work, try different approach. Document learnings: what worked, what didn't, why."
1091,How do you ensure code quality?,🟡,L10,Process Optimization,Map Workflow → Identify Bottlenecks → Optimize → Measure,Code quality; process optimization,"Map Workflow: Document the current process end-to-end. Identify all steps: from start to finish, map every stage. Sequence: order of operations, dependencies between steps. Stakeholders: who is involved at each step. Time: how long each step takes, total cycle time. Handoffs: where work transfers between people/systems. Create a visual flow: step 1 → step 2 → step 3 → completion.

Identify Bottlenecks: Find where the process slows down. Time analysis: which step takes longest? Wait time: where is work waiting (queues, approvals, dependencies)? Resource constraints: limited capacity, single-threaded steps. Rework: steps that require repetition, errors, corrections. Manual steps: human-dependent processes that could be automated. Dependencies: steps blocked by other processes or approvals. Focus on: highest time impact, most frequent delays, biggest pain points.

Optimize: Design improvements to eliminate bottlenecks. Eliminate waste: remove unnecessary steps, reduce handoffs. Automate: replace manual work with systems. Parallelize: run steps concurrently. Standardize: create consistent processes. Increase capacity: add resources where bottlenecked. Prioritize: focus on highest-impact bottlenecks first.

Measure: Track impact of optimizations. Before metrics: baseline cycle time, throughput, error rate. After metrics: improved cycle time, throughput, error rate. Key metrics: time saved, capacity increase, quality improvement. Continuous monitoring: track metrics over time, identify new bottlenecks. Iterate: if optimization didn't work, try different approach. Document learnings: what worked, what didn't, why."
1154,How do you test mobile phones?,🟡,L10,Process Optimization,Map Workflow → Identify Bottlenecks → Optimize → Measure,Testing process; quality assurance,"Map Workflow: Document the current process end-to-end. Identify all steps: from start to finish, map every stage. Sequence: order of operations, dependencies between steps. Stakeholders: who is involved at each step. Time: how long each step takes, total cycle time. Handoffs: where work transfers between people/systems. Create a visual flow: step 1 → step 2 → step 3 → completion.

Identify Bottlenecks: Find where the process slows down. Time analysis: which step takes longest? Wait time: where is work waiting (queues, approvals, dependencies)? Resource constraints: limited capacity, single-threaded steps. Rework: steps that require repetition, errors, corrections. Manual steps: human-dependent processes that could be automated. Dependencies: steps blocked by other processes or approvals. Focus on: highest time impact, most frequent delays, biggest pain points.

Optimize: Design improvements to eliminate bottlenecks. Eliminate waste: remove unnecessary steps, reduce handoffs. Automate: replace manual work with systems. Parallelize: run steps concurrently. Standardize: create consistent processes. Increase capacity: add resources where bottlenecked. Prioritize: focus on highest-impact bottlenecks first.

Measure: Track impact of optimizations. Before metrics: baseline cycle time, throughput, error rate. After metrics: improved cycle time, throughput, error rate. Key metrics: time saved, capacity increase, quality improvement. Continuous monitoring: track metrics over time, identify new bottlenecks. Iterate: if optimization didn't work, try different approach. Document learnings: what worked, what didn't, why."
1337,How would you ensure a delivery driver delivers over 200 packages in an 8-hour day?,🟡,L10,Process Optimization,Map Workflow → Identify Bottlenecks → Optimize → Measure,Process optimization; operational efficiency,"Map Workflow: Document the current process end-to-end. Identify all steps: from start to finish, map every stage. Sequence: order of operations, dependencies between steps. Stakeholders: who is involved at each step. Time: how long each step takes, total cycle time. Handoffs: where work transfers between people/systems. Create a visual flow: step 1 → step 2 → step 3 → completion.

Identify Bottlenecks: Find where the process slows down. Time analysis: which step takes longest? Wait time: where is work waiting (queues, approvals, dependencies)? Resource constraints: limited capacity, single-threaded steps. Rework: steps that require repetition, errors, corrections. Manual steps: human-dependent processes that could be automated. Dependencies: steps blocked by other processes or approvals. Focus on: highest time impact, most frequent delays, biggest pain points.

Optimize: Design improvements to eliminate bottlenecks. Route optimization: efficient paths, minimize travel time. Batch processing: group deliveries, optimize stops. Resource allocation: right capacity at right time. Automation: reduce manual work, improve accuracy. Prioritize: focus on highest-impact bottlenecks first.

Measure: Track impact of optimizations. Before metrics: baseline cycle time, throughput, error rate. After metrics: improved cycle time, throughput, error rate. Key metrics: time saved, capacity increase, quality improvement. Continuous monitoring: track metrics over time, identify new bottlenecks. Iterate: if optimization didn't work, try different approach. Document learnings: what worked, what didn't, why."
