question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
1939,Tell me about a time when you had to make a decision quickly.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Quick decision; behavioral question
1942,Tell me about a time when you had to make a significant decision without your manager.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Independent decision; behavioral question
1948,Tell me about a time when you had to say no to someone.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Saying no; behavioral question
1951,Tell me about a time when you had two deadlines at the same time. How did you manage the situation?,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Deadline management; behavioral question
1954,Tell me about a time when you influenced a product roadmap.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Roadmap influence; behavioral question
1955,Tell me about a time when you influenced the roadmap for a team and brought about a shift in thought.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Roadmap influence; behavioral question
1965,Tell me about a time when you made a prioritization tradeoff.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Prioritization tradeoff; behavioral question
1967,Tell me about a time when you made an important decision without your boss's approval.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Independent decision; behavioral question
2007,Tell me about a time when you were forced to prioritize multiple projects.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Multi-project prioritization; behavioral question
2024,"Tell me about a time when your technical judgment influenced a program, leading to a change in project scope or roadmap.",🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Technical judgment; behavioral question
1901,Tell me about a time when you chose one solution from many possible solutions.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Solution selection; behavioral question
215,Describe a time when a project lacked key information.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Information gaps; behavioral question
1918,Tell me about a time when you failed to pitch something to leadership.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Pitch failure; behavioral question
1929,Tell me about a time when you had to break a complex problem down for different cross-functional teams.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Problem breakdown; behavioral question
218,Describe a time when you discovered inefficiency midway through a project. What did you do?,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Process improvement; behavioral question
220,"Describe a time when you played to win, did the right thing, and were entrepreneurial.",🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Entrepreneurship; behavioral question
222,Describe a time when your project failed.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Failure handling; behavioral question
224,Describe a time where a project didn't meet the client's expectations.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Expectation management; behavioral question
225,Describe a time you displayed 'Googlyness' in your work.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Company culture; behavioral question
226,Describe a time you had a software release that negatively affected another team.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Impact management; behavioral question
902,Give me an example of a time when you had to work outside your comfort zone. How did you gain expertise in that area?,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Learning agility; behavioral question
903,Give me an example of a time when you were unable to meet a commitment. What was the impact?,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Accountability; behavioral question
904,Give me an example of a time you used technical judgment.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Technical decision; behavioral question
1892,Tell me about a time in your career when you faced ambiguity.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Ambiguity; behavioral question
1893,Tell me about a time the business problem wasn't clearly defined. How did you handle it?,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Ambiguity; behavioral question
1894,Tell me about a time when a program you were managing was not meeting committed timelines. How did you handle it?,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Timeline issue; behavioral question
1895,Tell me about a time when a project did not go as expected.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Project issue; behavioral question
1898,Tell me about a time when project goals changed and how you handled it.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Goal change; behavioral question
1899,Tell me about a time when you built out a process.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Process building; behavioral question
1902,Tell me about a time when you conceived an innovative solution to a problem.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Innovation; behavioral question
1909,Tell me about a time when you delivered over and above customer expectations.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Exceeding expectations; behavioral question
1912,Tell me about a time when you encountered obstacles in your plan. How did you address them?,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Obstacles; behavioral question
1914,"Tell me about a time when you faced significant unexpected obstacles while working toward a key goal. How did you overcome them, and what would you do differently now?",🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Unexpected obstacles; behavioral question
1915,Tell me about a time when you faced technical and people challenges simultaneously.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Dual challenges; behavioral question
1916,Tell me about a time when you failed as a people manager.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Management failure; behavioral question
1917,Tell me about a time when you failed to launch a product.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Product failure; behavioral question
1920,Tell me about a time when you felt the most challenged.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Challenge; behavioral question
1922,Tell me about a time when you gave a simple solution to a complex problem.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Problem solving; behavioral question
1930,Tell me about a time when you had to change the direction of a project that was 70% complete.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Project pivot; behavioral question
1936,Tell me about a time when you had to find a simple solution to solve a very complex problem.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Problem solving; behavioral question
1937,Tell me about a time when you had to handle pressure.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Pressure handling; behavioral question
1949,Tell me about a time when you had to solve a difficult problem.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Problem solving; behavioral question
1956,Tell me about a time when you knew you weren't going to meet a goal.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Goal failure; behavioral question
1957,Tell me about a time when you launched a product.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Product launch; behavioral question
1958,Tell me about a time when you led a project from start to finish.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Project leadership; behavioral question
1963,Tell me about a time when you made a mistake and how you handled it.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Mistake handling; behavioral question
1964,"Tell me about a time when you made a poor decision, and learned from it to make a better decision after.",🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Decision learning; behavioral question
1966,Tell me about a time when you made an error in judgment in the last year or two. What did you do and what was the impact?,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Judgment error; behavioral question
1969,Tell me about a time when you managed a project without having the title of a project manager.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Project management; behavioral question
1970,Tell me about a time when you managed an end-to-end program.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Program management; behavioral question
1971,Tell me about a time when you missed a deadline.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Deadline miss; behavioral question
1979,Tell me about a time when you questioned the status quo.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Status quo challenge; behavioral question
1982,Tell me about a time when you redesigned a process and the reasoning behind it.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Process redesign; behavioral question
1985,Tell me about a time when you resolved a problem that was outside your team's scope.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Scope expansion; behavioral question
1986,Tell me about a time when you significantly exceeded expectations on a project or task.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Exceeding expectations; behavioral question
1987,Tell me about a time when you solved a complex problem and how you went about it.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Complex problem; behavioral question
1988,Tell me about a time when you solved a difficult problem; managed a project not going well; were unhappy with the status quo; faced competing priorities or had disagreements with management; had to...,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Multiple challenges; behavioral question
1989,Tell me about a time when you solved a problem innovatively.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Innovative solution; behavioral question
1991,Tell me about a time when you succeeded as a product manager.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),PM success; behavioral question
1992,Tell me about a time when you taught yourself a skill.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Self-learning; behavioral question
1993,Tell me about a time when you took on a task outside your job description.,🟢,P15A,Situational Behavioral (STAR),Situation → Task → Action → Result (STAR),Scope expansion; behavioral question
