question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
1601,"If I know coding.",🔴,N/A,N/A,N/A,"Incomplete question; unclear"
1602,"If Mark Zuckerberg asked you to create a product for athletes, what would you build?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product design; new product"
1603,"If Meta Pay did not exist, would you recommend that Meta develop its own payment solution internally or seek a partnership? Justify your decision.",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Build vs buy; tradeoff analysis"
1604,"If rider price changed, what should a ride-sharing app use and/or analyze to maximize revenue?",🟢,P9,Revenue Optimization,"Levers (Price, Volume, Mix) → Test → Measure → Iterate","Price optimization; revenue optimization"
1605,"If the CEO of Google asks for a product that allows meetings in person, what would you create for the next 5-10 years?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product design; new product"
1606,"If the US government legalized marijuana, estimate the impact on consumption.",🟡,L3,Cost / ROI,"Cost Drivers → Benefits → Breakeven → Decide","Market impact estimation; business analysis"
1607,"If there is one Google product you would sunset, what would it be and why?",🟢,P6,Prioritization,"Impact × Confidence × Ease → RICE Score → Decide + Communicate","Product sunset; prioritization"
1608,"If there was another team building something that directly competed with your product, what would you do?",🟢,P11,Stakeholder Alignment,"Understand Incentives → Address Concerns → Build Coalition → Decide","Competitive response; stakeholder management"
1609,"If WhatsApp becomes the default OS communication layer, how should Android respond?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Strategic response; product strategy"
1610,"If you could choose 5 metrics for TikTok's customer service platform, what would they be?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Metrics selection; metrics definition"
1611,"If you could float on water, like a boat, what would you be and why?",🔴,N/A,N/A,N/A,"Creative/abstract question; brain teaser"
1612,"If you could go to anywhere in the world, where would you go?",🔴,N/A,N/A,N/A,"Personal question; not relevant"
1613,"If you could only talk to one customer of your product, who would you pick to learn feedback from and why?",🟢,P11,Stakeholder Alignment,"Understand Incentives → Address Concerns → Build Coalition → Decide","Customer selection; stakeholder management"
1614,"If you discovered a colleague's actions were unethical, how would you handle it?",🟢,P11,Stakeholder Alignment,"Understand Incentives → Address Concerns → Build Coalition → Decide","Ethics handling; stakeholder management"
1615,"If you discovered that your model was exposing sensitive data from its training set, what would you do next?",🔴,N/A,N/A,N/A,"ML security; technical question"
1616,"If you had $1 billion, what would you build using generative AI?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product ideation; product design"
1617,"If you had $1M to allocate to grow market share in the city, what would you focus on?",🟢,P6,Prioritization,"Impact × Confidence × Ease → RICE Score → Decide + Communicate","Budget allocation; prioritization"
1618,"If you had a teleportation device, how would you build a product from it?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product ideation; product design"
1619,"If you had access to 20 years of geo-related data, such as street view and satellite imagery, what product would you build?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product ideation; product design"
1620,"If you had to create a dashboard for Netflix with only 3 metrics, what would they be?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Dashboard design; metrics definition"
1621,"If you had to work on five different projects, how would you prioritize them?",🟢,P6,Prioritization,"Impact × Confidence × Ease → RICE Score → Decide + Communicate","Project prioritization; prioritization"
1622,"If you had unlimited resources at Google, what would you build and why?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product ideation; product design"
1623,"If you have 2 clients requesting very different features for the same product, how would you prioritize them?",🟢,P6,Prioritization,"Impact × Confidence × Ease → RICE Score → Decide + Communicate","Client prioritization; prioritization"
1624,"If you have allocated budget, how would you solve the climate crisis problem?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Problem solving; product strategy"
1625,"If you join a project that is 25% complete and has used 85% of resources, what would be your next steps?",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Project recovery; operational excellence"
1626,"If you launched in a new market today and none of your drivers showed up, what would you do?",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Crisis management; operational excellence"
1627,"If you noticed a 10% decrease in an app's conversion rate, what steps would you take to investigate and resolve the issue?",🟢,P1,Metric Drop Diagnosis,"Metric → Segment → Hypothesis → Data Check → Action","Conversion drop; metric analysis"
1628,"If you were a PM for Workplace, what metrics would you use to define success?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Success metrics; metrics definition"
1629,"If you were PM for a workplace chat app, what metrics would you use to measure its success?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Success metrics; metrics definition"
1630,"If you were PM for Twitter Spaces, how would you improve it?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product improvement; product design"
1631,"If you were the PM for Google Drive, what metrics would you prioritize?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Metrics prioritization; metrics definition"
1632,"If you were the PM for the search results page, how would you design the relevance?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Search design; product design"
1633,"If you were to eliminate one USD bill, which would it be and why?",🔴,N/A,N/A,N/A,"Hypothetical policy; brain teaser"
