question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
3.3,How would you improve the LinkedIn home page?,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product improvement; homepage optimization
17,"A user advocacy group raises concerns about accessibility for individuals with hearing disabilities. What are some product improvements for Facebook Live and Videos, and how would you define success?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Accessibility feature; define success metrics
19,"After launching a new recommendation engine, how would you measure its impact on revenue?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Revenue impact measurement; tie to business goal
20,Airbnb made a feature to increase business travel. How would you measure its success?,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Feature success metrics; business travel focus
31,"As a Facebook PM, what would you do to design a product for hobbies?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; hobbies focus
32,"As a Google PM, how would you design a solution to enhance financial savviness for users?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; financial education
33,"As a Home Page PM at Netflix, how would you measure the success of your product?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Homepage success metrics
38,"As a PM at a teleconferencing company, design a product for working from home.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; WFH focus
39,"As a PM at a vending machine company, design a new line of vending machines for hotels and motels.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; vending machines
42,"As a PM at DoorDash, define some goals and metrics for the business.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Business metrics definition
44,"As a PM at Meta launching a new video conference product, define the success metrics.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Success metrics for new product
45,"As a PM at Meta, design a product for making restaurant reservations.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; reservations
47,"As a PM at Meta, what key metrics would you track for Meta's Workplace Chat?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Metrics for Workplace Chat
48,"As a PM at Meta, why is it critical to address ads that violate community guidelines and regulations? What metrics would you use to track success in this area?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Content moderation metrics; ads compliance
49,"As a PM at Microsoft, design a B2B customer support product for them.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; B2B support
50,"As a PM at Netflix, design something for kids.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; kids focus
53,"As a PM at Slack, how would you redesign the product to enter the education sector?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Market expansion; education sector pivot
55,"As a PM at Uber, what key metrics would you track to measure its success in a new city?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,New market metrics; city launch
57,"As a PM for a gaming console, why would you decide to build the next-generation console, and how would you measure its success?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product strategy + success metrics
59,"As a PM for an elevator company, how would you design new features to adapt your elevators for skyscrapers, distinguishing them from competitors?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product differentiation; competitive positioning
63,"As a PM for Instagram stories, how would you set the goal for the team?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Team goal setting; success metrics
65,"As a PM for JPMorgan Chase's Payments Developer Portal, design a new feature to improve customer adoption.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Feature design; adoption focus
66,"As a PM for Mastercard, design a product for restaurants to switch to a purchase order system that reduces labor costs.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,B2B product design; cost reduction
67,"As a PM for Meta, how would you measure the success of launching a job marketplace?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,New product launch metrics
70,"As a PM for the health team at Meta, design a product for tissue donation.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; healthcare focus
71,"As a PM for TikTok, design the user journey for third-party services (e.g., restaurants and shops) integrated into the app.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,User journey design; third-party integration
78,"As a product manager at OpenAI, build an enterprise product.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Enterprise product design
83,"As a product manager for Meta, design a product for volunteers.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; volunteer platform
84,"As a Product Manager for Meta, what product would you create to address climate change?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; climate focus
85,"As a product manager for Uber Eats, what goals do you set?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Goal setting; team alignment
87,"As a Product Manager, how would you measure the success of Toshiba's self-checkout systems used by millions of grocery store shoppers daily?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Success metrics; self-checkout systems
88,"As a product manager, what KPIs matter most to you?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,KPI definition; general PM practice
93,"As an Admin, what key metrics would you consider crucial for evaluating Uber's success in a newly launched city?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,New market metrics; city launch
96,"As Google, how would you disrupt the movie industry?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Market disruption; strategic product
100,"As Robinhood, how would you disrupt the mortgage industry?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Market disruption; fintech strategy
103,"As the CEO of WhatsApp, what are the top 5 metrics you should focus on to measure the app's success?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Success metrics; KPI definition
104,"As the CPO of ChatGPT, what will your strategy for the next 2 years be?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product strategy; roadmap planning
107,"As the Head of Product for a travel incubator, what would you build?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product ideation; travel industry
109,"As the new head of the Google Hardware division, what is the next big product we're going to build and why? How does this fit into the Google ecosystem? Estimate how many units you will sell in the...",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product strategy; hardware roadmap
113,"As the PM at Netflix, after launching Netflix Podcasts 6 months ago, how do you define and measure the success of this initiative?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Success metrics; podcast launch
114,"As the PM for Ads in Facebook Reels, how would you measure success?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Ad success metrics; Reels platform
116,"As the PM for Instagram Reels, how would you set goals for monetization?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Monetization goals; revenue strategy
119,"As the PM of a startup that matches people for music collaborations, how would you measure success?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Success metrics; music collaboration platform
126,"Based on the latest AI news, what ideas do you have that are one step beyond what exists today?",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product ideation; AI innovation
127,Brainstorm a product idea with the help of AI.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product ideation; AI-assisted brainstorming
130,Build a celebrity engagement marketplace product.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; marketplace platform
133,"Build a product automating a three-way matching system for the Procure-to-Pay process, including exceptions handling.",🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; B2B automation
134,Build a product for art lovers.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product ideation; art platform
135,Build a sushi factory that sells wholesale sushi boxes.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; food service
136,Build a table management system.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; restaurant system
138,Build your own customer service AI agent for a hypothetical outdoors company.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product design; AI customer service
157,Choose a meaningful metric to measure the success of launching bikes as a form of transport for Dashers.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Success metrics; bike launch
180,Create an app to increase reading.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Product ideation; reading app
186,Define a 1-year roadmap for WhatsApp in India.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Roadmap planning; market strategy
187,Define a 10-year roadmap for Google Maps.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Long-term roadmap; strategic planning
188,Define a north star metric for Airbnb.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,North star metric; success definition
189,Define a north star metric for Stripe Connect.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,North star metric; B2B platform
191,Define relevant metrics for COVID-related searches on Google.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Metrics definition; search relevance
192,Define success for Meta's local awareness ads.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Success metrics; local advertising
193,Define success for TikTok.,🟢,P2,NSM + KPI Ladder,Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard,Success metrics; social platform
