question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,design_subtype
334,Design a Google-branded inflight entertainment system.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; inflight entertainment,P13B_Digital_Consumer
360,Design a Meta product for space travel.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; space travel,P13B_Digital_Consumer
382,Design a parking garage for a high-tech shopping center.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; parking system,P13B_Digital_Consumer
383,Design a parking lot.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; parking,P13B_Digital_Consumer
384,Design a parking solution for one of your favourite navigation apps.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; parking integration,P13B_Digital_Consumer
400,Design a product for air travelers.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; travel,P13B_Digital_Consumer
415,Design a product for house-switching when traveling.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; travel accommodation,P13B_Digital_Consumer
420,Design a product for managing parking (not limited to cars).,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; parking management,P13B_Digital_Consumer
444,Design a product to help flightless birds navigate a big city.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; creative problem,P13B_Digital_Consumer
449,Design a product to help travelers at airports. How would you go about building it?,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; airport services,P13B_Digital_Consumer
492,Design a solution to map unmapped places in Google Maps.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; mapping,P13B_Digital_Consumer
526,Design a travel app experience for Meta.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; travel app,P13B_Digital_Consumer
539,Design a virtual travel product.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; virtual travel,P13B_Digital_Consumer
642,Design E2E experience for elderly travelling through Flights.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; travel for elderly,P13B_Digital_Consumer
647,Design Google Maps for kids.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; maps for kids,P13B_Digital_Consumer
1023,How can Lyft build a product to improve transportation for patients and how will you monetize it?,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; healthcare transportation,P13B_Digital_Consumer
1310,How would you design parking features on Google Maps?,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature design; product improvement,
1786,Redesign Google Maps to increase engagement with small businesses.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product redesign; product design,
2462,What would be your strategy to improve Google Maps as a product?,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product improvement; product design,
2666,You are at a well-funded startup. Design a solution to solve the problem of parking.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; new product,
2810,You're a PM for Maps. What product would you build in Maps specifically for farmers?,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design,
2815,You're a PM for Meta. Design a product for group travel.,🟢,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design,
1166,How does Google Maps compute ETA?,🟡,P13B_Travel_Transportation,Consumer Platforms - Travel/Transportation,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,System explanation; ETA calculation,
