question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,salvageable,simple_explanation
3.2,How would you do a database migration?,🔴,N/A,N/A,N/A,Technical implementation; likely coding,YES,"Understand the concept, break into steps, use appropriate data structure (hash map, array, tree, etc.)"
5,A $5 discount coupon is given to N riders. The probability of using a coupon is P. What is the expected cost for the company?,🔴,N/A,N/A,N/A,Math calculation; probability theory,YES,"Expected value = sum of (probability × value). For each outcome, multiply chance by cost, add them up"
8,A discount coupon is given to N riders. The probability of using a coupon is P. What is the probability that one of the coupons will be used?,🔴,N/A,N/A,N/A,Math calculation; probability theory,YES,Probability = favorable outcomes / total outcomes. Calculate chance of something happening
10,A knapsack has a maximum capacity C and there are n items each with weight w[i] and value v[i]. Maximize the knapsack value without exceeding capacity.,🔴,N/A,N/A,N/A,Algorithm puzzle; classic knapsack problem,YES,"DP: For each item, decide take or skip. Build table: capacity × items. Remember best value for each capacity"
14,A PM at Google asked you to describe the distribution of daily search queries per user. How would you describe it?,🔴,N/A,N/A,N/A,Statistics theory; distribution description,YES,"Distribution = how values are spread. Describe shape: normal (bell curve), skewed, uniform, etc."
15,A PM at Meta asked you to describe the distribution of daily minutes spent on Facebook per user. How would you describe it?,🔴,N/A,N/A,N/A,Statistics theory; distribution description,YES,"Distribution = how values are spread. Describe shape: normal (bell curve), skewed, uniform, etc."
18,Abbreviate an array of strings.,🔴,N/A,N/A,N/A,Coding problem; string manipulation,YES,"Work with text. Compare characters, find patterns, extract parts"
23,"Among the following PM traits, which is your greatest strength and which is your greatest weakness: working with engineering, execution, ideation and visioning, working with design, working with metrics?",🔴,N/A,N/A,N/A,Behavioral self-assessment,NO,N/A - Too complex or not relevant
27,Analyze Monthly Customer Transactions,🔴,N/A,N/A,N/A,Vague; likely SQL or coding task,NO,N/A - Too complex or not relevant
28,Apply the quadratic formula to a sorted array such that the resulting array is still sorted.,🔴,N/A,N/A,N/A,Algorithm problem; math + sorting,YES,"Binary search: cut problem in half each time. Compare middle with target, eliminate half"
29,"Are you familiar with AI prototyping? Which tools or platforms have you used, and what has your experience been with them so far?",🔴,N/A,N/A,N/A,Behavioral; tool familiarity,NO,N/A - Too complex or not relevant
30,"Array Manipulation: Given an array, implement functions to perform add, remove, update operations and return the resulting array.",🔴,N/A,N/A,N/A,Coding problem; array operations,YES,"Loop through items, check conditions, collect results. Basic: for each item → if condition → act"
36,"As a manager, how do you handle trade-offs?",🔴,N/A,N/A,N/A,Abstract behavioral; no specific scenario,NO,N/A - Too complex or not relevant
128,Build a Basic Regex Parser,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,NO,N/A - Too complex or not relevant
129,Build a Calculator,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,Break into steps. Identify data structures needed. Write functions for each operation
131,Build a hash tree algorithm.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,Use a lookup table - store things by name so you can find them instantly. Like a phone book: name → number
137,Build a web crawler with multi-threading.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,NO,N/A - Too complex or not relevant
139,Calculate Test Scores,🔴,N/A,N/A,N/A,Math calculation; coding question,NO,N/A - Too complex or not relevant
140,Calculate the height of a binary tree.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,Visit nodes in order (left → root → right or root → left → right). Use recursion or stack
141,Calculate the number of times a pattern appears in a string.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,"Work with text. Compare characters, find patterns, extract parts"
142,Calculate the result of a mathematical expression written as a string.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,"Work with text. Compare characters, find patterns, extract parts"
143,Calculate the trapped rainwater between bars in a given array.,🔴,N/A,N/A,N/A,Algorithm implementation; LeetCode problem,YES,"Loop through items, check conditions, collect results. Basic: for each item → if condition → act"
145,"Can Jump - Given an array of non-negative integers, you're initially at the first index. Each element represents your maximum jump length at that position. Determine if you can reach the last index.",🔴,N/A,N/A,N/A,Algorithm implementation; LeetCode problem,YES,"Greedy: pick best option at each step. Don't look back, just take what's best now"
148,Can you implement batch normalization using NumPy?,🔴,N/A,N/A,N/A,Algorithm implementation; ML coding question,NO,N/A - Too complex or not relevant
155,Check if a given binary tree is a complete binary tree.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,Visit nodes in order (left → root → right or root → left → right). Use recursion or stack
156,Check the correct placement of parentheses in a string.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,"Use a stack - last opened must be first closed. Like stacking plates: last in, first out"
163,Climbing Stairs,🔴,N/A,N/A,N/A,Algorithm implementation; LeetCode problem,YES,"Break into smaller problems. Solve each once, remember answers. Build up from small to big"
164,Clone a linked list with a random pointer.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,"Chain of nodes. Each node points to next. Easy to add/remove, but must traverse to find"
165,Closest Subarray Sum to Target.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,"Use sliding window - expand right until condition met, then shrink left. Like a rubber band"
166,"Code an image-processing pipeline that reads per-image instruction files and applies ordered transformations (e.g., rotate, invert, crop, convert) to large sets of images of varying sizes across mu...",🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,"Understand the concept, break into steps, use appropriate data structure (hash map, array, tree, etc.)"
167,Coin Change,🔴,N/A,N/A,N/A,Algorithm implementation; LeetCode problem,YES,"Break into smaller problems. Solve each once, remember answers. Build up from small to big"
169,Compute the binary representation of an integer.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,"Understand the concept, break into steps, use appropriate data structure (hash map, array, tree, etc.)"
171,Construct a binary tree given its preorder and inorder traversals.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,Visit nodes in order (left → root → right or root → left → right). Use recursion or stack
172,Convert a matrix to a quad tree.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,Visit nodes in order (left → root → right or root → left → right). Use recursion or stack
173,Convert Biased Coin to Fair Coin,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,"Understand the concept, break into steps, use appropriate data structure (hash map, array, tree, etc.)"
174,Count items within compartments between specific indices of an array.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,"Loop through items, check conditions, collect results. Basic: for each item → if condition → act"
175,Count the number of ways to split a string.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,"Work with text. Compare characters, find patterns, extract parts"
