question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,short_answer
230,Describe an endpoint and provide two examples.,🟡,L14_General,System Design - General,Components → Data Flow → Boundaries → Scale Considerations,API design; technical explanation,"🎯 Define the GOAL: Clarify what problem we're solving
  👥 Primary user goal: what is the main user need or business objective?
  📊 Success metric: latency, reliability, accuracy, cost, what defines success?
  🚫 Non-goals: explicitly say what's out of scope, what we're NOT building
  ⚠️ Rule: If the goal isn't clear, architecture will be wrong

🧩 Identify CORE COMPONENTS: Define what blocks exist
  📱 Clients: web, mobile, internal tools, what are the entry points?
  📥 Ingestion: APIs, SDKs, event collectors, how does data enter?
  ⚙️ Processing: sync vs async, how is data processed?
  💾 Storage: hot / warm / cold, where is data stored?
  🖥️ Compute: stateless vs stateful, how is computation handled?
  ⚠️ Rule: Name boxes before wiring arrows

🔄 Data FLOW: Describe how data moves end-to-end
  📖 Request path (read): how do read requests flow through the system?
  ✍️ Write path (create/update): how do write requests flow through?
  ⏳ Async paths: queues, streams, retries, how are async ops handled?
  ❌ Failure paths: timeouts, backpressure, how are failures handled?
  ⚠️ Rule: Always describe the happy path first

🚧 Boundaries & CONSTRAINTS: Identify what limits us
  ⏱️ Latency SLOs: what are the latency requirements?
  🔒 Consistency: strong vs eventual consistency?
  📈 Throughput: how many requests per second must we handle?
  💰 Cost ceilings: what are the budget constraints?
  ⚠️ Rule: Constraints shape architecture more than features

📈 Scale & FAILURE MODES: Consider what breaks at 10×
  🐌 Bottlenecks: DB, network, fan-out, where will it slow down?
  ⚠️ Single points of failure: what components have no redundancy?
  🚦 Backpressure: how do we handle overload?
  💨 Caching: where can we cache to reduce load?
  🔀 Sharding / partitioning: how do we distribute data?
  ⚠️ Rule: Talk about failure BEFORE optimization"
240,"Describe three behavioral leadership principles, two functional competencies, and one technical system design.",🟡,L14_General,System Design - General,Components → Data Flow → Boundaries → Scale Considerations,Leadership and system design; mixed question,"🎯 Define the GOAL: Clarify what problem we're solving
  👥 Primary user goal: what is the main user need or business objective?
  📊 Success metric: latency, reliability, accuracy, cost, what defines success?
  🚫 Non-goals: explicitly say what's out of scope, what we're NOT building
  ⚠️ Rule: If the goal isn't clear, architecture will be wrong

🧩 Identify CORE COMPONENTS: Define what blocks exist
  📱 Clients: web, mobile, internal tools, what are the entry points?
  📥 Ingestion: APIs, SDKs, event collectors, how does data enter?
  ⚙️ Processing: sync vs async, how is data processed?
  💾 Storage: hot / warm / cold, where is data stored?
  🖥️ Compute: stateless vs stateful, how is computation handled?
  ⚠️ Rule: Name boxes before wiring arrows

🔄 Data FLOW: Describe how data moves end-to-end
  📖 Request path (read): how do read requests flow through the system?
  ✍️ Write path (create/update): how do write requests flow through?
  ⏳ Async paths: queues, streams, retries, how are async ops handled?
  ❌ Failure paths: timeouts, backpressure, how are failures handled?
  ⚠️ Rule: Always describe the happy path first

🚧 Boundaries & CONSTRAINTS: Identify what limits us
  ⏱️ Latency SLOs: what are the latency requirements?
  🔒 Consistency: strong vs eventual consistency?
  📈 Throughput: how many requests per second must we handle?
  💰 Cost ceilings: what are the budget constraints?
  ⚠️ Rule: Constraints shape architecture more than features

📈 Scale & FAILURE MODES: Consider what breaks at 10×
  🐌 Bottlenecks: DB, network, fan-out, where will it slow down?
  ⚠️ Single points of failure: what components have no redundancy?
  🚦 Backpressure: how do we handle overload?
  💨 Caching: where can we cache to reduce load?
  🔀 Sharding / partitioning: how do we distribute data?
  ⚠️ Rule: Talk about failure BEFORE optimization"
242,Describe what happens when you type a URL into your browser and press Enter.,🟡,L14_General,System Design - General,Components → Data Flow → Boundaries → Scale Considerations,System explanation; web architecture,"🎯 Define the GOAL: Clarify what problem we're solving
  👥 Primary user goal: what is the main user need or business objective?
  📊 Success metric: latency, reliability, accuracy, cost, what defines success?
  🚫 Non-goals: explicitly say what's out of scope, what we're NOT building
  ⚠️ Rule: If the goal isn't clear, architecture will be wrong

🧩 Identify CORE COMPONENTS: Define what blocks exist
  📱 Clients: web, mobile, internal tools, what are the entry points?
  📥 Ingestion: APIs, SDKs, event collectors, how does data enter?
  ⚙️ Processing: sync vs async, how is data processed?
  💾 Storage: hot / warm / cold, where is data stored?
  🖥️ Compute: stateless vs stateful, how is computation handled?
  ⚠️ Rule: Name boxes before wiring arrows

🔄 Data FLOW: Describe how data moves end-to-end
  📖 Request path (read): how do read requests flow through the system?
  ✍️ Write path (create/update): how do write requests flow through?
  ⏳ Async paths: queues, streams, retries, how are async ops handled?
  ❌ Failure paths: timeouts, backpressure, how are failures handled?
  ⚠️ Rule: Always describe the happy path first

🚧 Boundaries & CONSTRAINTS: Identify what limits us
  ⏱️ Latency SLOs: what are the latency requirements?
  🔒 Consistency: strong vs eventual consistency?
  📈 Throughput: how many requests per second must we handle?
  💰 Cost ceilings: what are the budget constraints?
  ⚠️ Rule: Constraints shape architecture more than features

📈 Scale & FAILURE MODES: Consider what breaks at 10×
  🐌 Bottlenecks: DB, network, fan-out, where will it slow down?
  ⚠️ Single points of failure: what components have no redundancy?
  🚦 Backpressure: how do we handle overload?
  💨 Caching: where can we cache to reduce load?
  🔀 Sharding / partitioning: how do we distribute data?
  ⚠️ Rule: Talk about failure BEFORE optimization"
245,Describe your experience with AWS for machine learning projects.,🟡,L14_General,System Design - General,Components → Data Flow → Boundaries → Scale Considerations,AWS ML experience; technical background,"🎯 Define the GOAL: Clarify what problem we're solving
  👥 Primary user goal: serve ML models with low latency and high accuracy
  📊 Success metric: inference latency, model accuracy, throughput, cost per prediction
  🚫 Non-goals: model training, feature engineering, A/B testing (initially)
  ⚠️ Rule: If the goal isn't clear, architecture will be wrong

🧩 Identify CORE COMPONENTS: Define what blocks exist
  📱 Clients: applications making inference requests
  🤖 Model serving: load models, handle inference requests
  📊 Feature store: serve features for model input
  ⚙️ Preprocessing: data transformation, feature engineering
  📈 Monitoring: track model performance, drift, latency
  ⚠️ Rule: Name boxes before wiring arrows

🔄 Data FLOW: Describe how data moves end-to-end
  📖 Request path (read): how do read requests flow through the system?
  ✍️ Write path (create/update): how do write requests flow through?
  ⏳ Async paths: queues, streams, retries, how are async ops handled?
  ❌ Failure paths: timeouts, backpressure, how are failures handled?
  ⚠️ Rule: Always describe the happy path first

🚧 Boundaries & CONSTRAINTS: Identify what limits us
  ⏱️ Latency SLOs: what are the latency requirements?
  🔒 Consistency: strong vs eventual consistency?
  📈 Throughput: how many requests per second must we handle?
  💰 Cost ceilings: what are the budget constraints?
  ⚠️ Rule: Constraints shape architecture more than features

📈 Scale & FAILURE MODES: Consider what breaks at 10×
  🐌 Bottlenecks: DB, network, fan-out, where will it slow down?
  ⚠️ Single points of failure: what components have no redundancy?
  🚦 Backpressure: how do we handle overload?
  💨 Caching: where can we cache to reduce load?
  🔀 Sharding / partitioning: how do we distribute data?
  ⚠️ Rule: Talk about failure BEFORE optimization"
247,Describe your experience with PyTorch.,🟡,L14_General,System Design - General,Components → Data Flow → Boundaries → Scale Considerations,ML framework experience; technical background,"🎯 Define the GOAL: Clarify what problem we're solving
  👥 Primary user goal: what is the main user need or business objective?
  📊 Success metric: latency, reliability, accuracy, cost, what defines success?
  🚫 Non-goals: explicitly say what's out of scope, what we're NOT building
  ⚠️ Rule: If the goal isn't clear, architecture will be wrong

🧩 Identify CORE COMPONENTS: Define what blocks exist
  📱 Clients: web, mobile, internal tools, what are the entry points?
  📥 Ingestion: APIs, SDKs, event collectors, how does data enter?
  ⚙️ Processing: sync vs async, how is data processed?
  💾 Storage: hot / warm / cold, where is data stored?
  🖥️ Compute: stateless vs stateful, how is computation handled?
  ⚠️ Rule: Name boxes before wiring arrows

🔄 Data FLOW: Describe how data moves end-to-end
  📖 Request path (read): how do read requests flow through the system?
  ✍️ Write path (create/update): how do write requests flow through?
  ⏳ Async paths: queues, streams, retries, how are async ops handled?
  ❌ Failure paths: timeouts, backpressure, how are failures handled?
  ⚠️ Rule: Always describe the happy path first

🚧 Boundaries & CONSTRAINTS: Identify what limits us
  ⏱️ Latency SLOs: what are the latency requirements?
  🔒 Consistency: strong vs eventual consistency?
  📈 Throughput: how many requests per second must we handle?
  💰 Cost ceilings: what are the budget constraints?
  ⚠️ Rule: Constraints shape architecture more than features

📈 Scale & FAILURE MODES: Consider what breaks at 10×
  🐌 Bottlenecks: DB, network, fan-out, where will it slow down?
  ⚠️ Single points of failure: what components have no redundancy?
  🚦 Backpressure: how do we handle overload?
  💨 Caching: where can we cache to reduce load?
  🔀 Sharding / partitioning: how do we distribute data?
  ⚠️ Rule: Talk about failure BEFORE optimization"
249,Describe your GPU programming experience.,🟡,L14_General,System Design - General,Components → Data Flow → Boundaries → Scale Considerations,GPU programming; technical background,"🎯 Define the GOAL: Clarify what problem we're solving
  👥 Primary user goal: what is the main user need or business objective?
  📊 Success metric: latency, reliability, accuracy, cost, what defines success?
  🚫 Non-goals: explicitly say what's out of scope, what we're NOT building
  ⚠️ Rule: If the goal isn't clear, architecture will be wrong

🧩 Identify CORE COMPONENTS: Define what blocks exist
  📱 Clients: web, mobile, internal tools, what are the entry points?
  📥 Ingestion: APIs, SDKs, event collectors, how does data enter?
  ⚙️ Processing: sync vs async, how is data processed?
  💾 Storage: hot / warm / cold, where is data stored?
  🖥️ Compute: stateless vs stateful, how is computation handled?
  ⚠️ Rule: Name boxes before wiring arrows

🔄 Data FLOW: Describe how data moves end-to-end
  📖 Request path (read): how do read requests flow through the system?
  ✍️ Write path (create/update): how do write requests flow through?
  ⏳ Async paths: queues, streams, retries, how are async ops handled?
  ❌ Failure paths: timeouts, backpressure, how are failures handled?
  ⚠️ Rule: Always describe the happy path first

🚧 Boundaries & CONSTRAINTS: Identify what limits us
  ⏱️ Latency SLOs: what are the latency requirements?
  🔒 Consistency: strong vs eventual consistency?
  📈 Throughput: how many requests per second must we handle?
  💰 Cost ceilings: what are the budget constraints?
  ⚠️ Rule: Constraints shape architecture more than features

📈 Scale & FAILURE MODES: Consider what breaks at 10×
  🐌 Bottlenecks: DB, network, fan-out, where will it slow down?
  ⚠️ Single points of failure: what components have no redundancy?
  🚦 Backpressure: how do we handle overload?
  💨 Caching: where can we cache to reduce load?
  🔀 Sharding / partitioning: how do we distribute data?
  ⚠️ Rule: Talk about failure BEFORE optimization"
251,Describe your machine learning experience.,🟡,L14_General,System Design - General,Components → Data Flow → Boundaries → Scale Considerations,ML experience; technical background,"🎯 Define the GOAL: Clarify what problem we're solving
  👥 Primary user goal: serve ML models with low latency and high accuracy
  📊 Success metric: inference latency, model accuracy, throughput, cost per prediction
  🚫 Non-goals: model training, feature engineering, A/B testing (initially)
  ⚠️ Rule: If the goal isn't clear, architecture will be wrong

🧩 Identify CORE COMPONENTS: Define what blocks exist
  📱 Clients: applications making inference requests
  🤖 Model serving: load models, handle inference requests
  📊 Feature store: serve features for model input
  ⚙️ Preprocessing: data transformation, feature engineering
  📈 Monitoring: track model performance, drift, latency
  ⚠️ Rule: Name boxes before wiring arrows

🔄 Data FLOW: Describe how data moves end-to-end
  📖 Request path (read): how do read requests flow through the system?
  ✍️ Write path (create/update): how do write requests flow through?
  ⏳ Async paths: queues, streams, retries, how are async ops handled?
  ❌ Failure paths: timeouts, backpressure, how are failures handled?
  ⚠️ Rule: Always describe the happy path first

🚧 Boundaries & CONSTRAINTS: Identify what limits us
  ⏱️ Latency SLOs: what are the latency requirements?
  🔒 Consistency: strong vs eventual consistency?
  📈 Throughput: how many requests per second must we handle?
  💰 Cost ceilings: what are the budget constraints?
  ⚠️ Rule: Constraints shape architecture more than features

📈 Scale & FAILURE MODES: Consider what breaks at 10×
  🐌 Bottlenecks: DB, network, fan-out, where will it slow down?
  ⚠️ Single points of failure: what components have no redundancy?
  🚦 Backpressure: how do we handle overload?
  💨 Caching: where can we cache to reduce load?
  🔀 Sharding / partitioning: how do we distribute data?
  ⚠️ Rule: Talk about failure BEFORE optimization"
254,"Design a 5:1 audio system for WhatsApp, Instagram, and Messenger, including hardware interfaces, codecs, API endpoints, and the value proposition for Meta.",🟡,L14_General,System Design - General,Components → Data Flow → Boundaries → Scale Considerations,Audio system design; technical architecture,"🎯 Define the GOAL: Clarify what problem we're solving
  👥 Primary user goal: enable real-time communication between users reliably
  📊 Success metric: message delivery latency, delivery guarantees, availability
  🚫 Non-goals: video calls, file sharing, group management (initially)
  ⚠️ Rule: If the goal isn't clear, architecture will be wrong

🧩 Identify CORE COMPONENTS: Define what blocks exist
  📱 Clients: mobile apps, web clients sending/receiving messages
  💬 Message service: handle send, receive, delivery status
  📨 Message queue: Kafka/RabbitMQ for reliable delivery
  💾 Message store: database for message history and metadata
  🔔 Presence service: track online/offline status, push notifications
  ⚠️ Rule: Name boxes before wiring arrows

🔄 Data FLOW: Describe how data moves end-to-end
  ✍️ Send: sender → message service → queue → store → push to recipient
  📖 Receive: recipient → message service → fetch from store → deliver
  ⏳ Async: offline message delivery, read receipts, typing indicators
  ❌ Failure: message retry, dead letter queue, delivery status tracking
  ⚠️ Rule: Always describe the happy path first

🚧 Boundaries & CONSTRAINTS: Identify what limits us
  ⏱️ Latency: message delivery <1s for online users
  🔒 Consistency: at-least-once delivery guarantee, message ordering
  📈 Throughput: 1M messages/sec, handle message bursts
  💰 Cost: optimize storage (message retention policies)
  ⚠️ Rule: Constraints shape architecture more than features

📈 Scale & FAILURE MODES: Consider what breaks at 10×
  🐌 Bottlenecks: message queue, message store, push notification service
  ⚠️ Single points: message queue, database, push service
  🚦 Backpressure: queue messages, rate limit sends, batch notifications
  💨 Caching: cache recent messages, user presence, connection state
  🔀 Sharding: shard by user_id, partition message queues
  ⚠️ Rule: Talk about failure BEFORE optimization"
256,"Design a banking system to facilitate account creation, deposits, transfers, and listing the most active accounts by total monetary activity, with commands entered via parsing CSV/JSON.",🟡,L14_General,System Design - General,Components → Data Flow → Boundaries → Scale Considerations,Banking system design; technical architecture,"🎯 Define the GOAL: Clarify what problem we're solving
  👥 Primary user goal: what is the main user need or business objective?
  📊 Success metric: latency, reliability, accuracy, cost, what defines success?
  🚫 Non-goals: explicitly say what's out of scope, what we're NOT building
  ⚠️ Rule: If the goal isn't clear, architecture will be wrong

🧩 Identify CORE COMPONENTS: Define what blocks exist
  📱 Clients: web, mobile, internal tools, what are the entry points?
  📥 Ingestion: APIs, SDKs, event collectors, how does data enter?
  ⚙️ Processing: sync vs async, how is data processed?
  💾 Storage: hot / warm / cold, where is data stored?
  🖥️ Compute: stateless vs stateful, how is computation handled?
  ⚠️ Rule: Name boxes before wiring arrows

🔄 Data FLOW: Describe how data moves end-to-end
  📖 Request path (read): how do read requests flow through the system?
  ✍️ Write path (create/update): how do write requests flow through?
  ⏳ Async paths: queues, streams, retries, how are async ops handled?
  ❌ Failure paths: timeouts, backpressure, how are failures handled?
  ⚠️ Rule: Always describe the happy path first

🚧 Boundaries & CONSTRAINTS: Identify what limits us
  ⏱️ Latency SLOs: what are the latency requirements?
  🔒 Consistency: strong vs eventual consistency?
  📈 Throughput: how many requests per second must we handle?
  💰 Cost ceilings: what are the budget constraints?
  ⚠️ Rule: Constraints shape architecture more than features

📈 Scale & FAILURE MODES: Consider what breaks at 10×
  🐌 Bottlenecks: DB, network, fan-out, where will it slow down?
  ⚠️ Single points of failure: what components have no redundancy?
  🚦 Backpressure: how do we handle overload?
  💨 Caching: where can we cache to reduce load?
  🔀 Sharding / partitioning: how do we distribute data?
  ⚠️ Rule: Talk about failure BEFORE optimization"
283,Design a currency exchange system.,🟡,L14_General,System Design - General,Components → Data Flow → Boundaries → Scale Considerations,System design; currency exchange,"🎯 Define the GOAL: Clarify what problem we're solving
  👥 Primary user goal: what is the main user need or business objective?
  📊 Success metric: latency, reliability, accuracy, cost, what defines success?
  🚫 Non-goals: explicitly say what's out of scope, what we're NOT building
  ⚠️ Rule: If the goal isn't clear, architecture will be wrong

🧩 Identify CORE COMPONENTS: Define what blocks exist
  📱 Clients: web, mobile, internal tools, what are the entry points?
  📥 Ingestion: APIs, SDKs, event collectors, how does data enter?
  ⚙️ Processing: sync vs async, how is data processed?
  💾 Storage: hot / warm / cold, where is data stored?
  🖥️ Compute: stateless vs stateful, how is computation handled?
  ⚠️ Rule: Name boxes before wiring arrows

🔄 Data FLOW: Describe how data moves end-to-end
  📖 Request path (read): how do read requests flow through the system?
  ✍️ Write path (create/update): how do write requests flow through?
  ⏳ Async paths: queues, streams, retries, how are async ops handled?
  ❌ Failure paths: timeouts, backpressure, how are failures handled?
  ⚠️ Rule: Always describe the happy path first

🚧 Boundaries & CONSTRAINTS: Identify what limits us
  ⏱️ Latency SLOs: what are the latency requirements?
  🔒 Consistency: strong vs eventual consistency?
  📈 Throughput: how many requests per second must we handle?
  💰 Cost ceilings: what are the budget constraints?
  ⚠️ Rule: Constraints shape architecture more than features

📈 Scale & FAILURE MODES: Consider what breaks at 10×
  🐌 Bottlenecks: DB, network, fan-out, where will it slow down?
  ⚠️ Single points of failure: what components have no redundancy?
  🚦 Backpressure: how do we handle overload?
  💨 Caching: where can we cache to reduce load?
  🔀 Sharding / partitioning: how do we distribute data?
  ⚠️ Rule: Talk about failure BEFORE optimization"
