question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
149,Can you introduce yourself?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Self-introduction; communication
243,Describe your communication style when working with C-suite executives.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Executive communication; behavioral question
246,Describe your experience with board meeting preparation and follow-up.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Board communication; behavioral question
791,Explain Deep Learning to a non-technical audience.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Technical communication; explanation
814,Explain precision and recall to a non technical stakeholder,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Technical communication; explanation
844,Explain what a blockchain is as if to a five-year-old.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Technical communication; explanation
845,Explain what Twitter is and its benefits to someone who isn't familiar with technology and social media.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Product communication; explanation
1064,How do you communicate technical project needs to non-technical teams?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Technical communication; cross-functional
1098,How do you explain difficult technical concepts to layman?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Technical communication; explanation
1136,How do you present insights to non-technical stakeholders?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Insight presentation; communication
1147,"How do you sell an idea to senior management, and what would be included in the slide content?",🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Idea pitching; executive communication
1278,How would you convey insights and the methods used to a non-technical audience?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Insight communication; executive communication
1280,How would you convince leadership to build a wristwatch for the elderly?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Leadership communication; executive communication
1284,How would you create a messaging framework for a new product?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Messaging framework; communication
1298,How would you demonstrate success without concrete results to share?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Success demonstration; communication
1299,How would you describe what our company does to your grandmother?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Simplification; communication
1349,How would you explain a sudden drop in revenue to leadership?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Revenue explanation; executive communication
1350,How would you explain a technical concept to a non-technical person?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Technical communication; executive communication
1351,How would you explain computer vision to your grandmother?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Simplification; communication
1352,How would you explain cricket to someone who has never encountered the sport?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Simplification; communication
1353,How would you explain machine learning to a five-year-old?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Simplification; communication
1354,How would you explain machine learning to your grandmother?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Simplification; communication
1355,How would you explain the role of a product manager to a 4-year-old child?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Simplification; communication
1356,How would you explain the value of Capital One Shopping to a new business stakeholder at Capital One?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Value communication; stakeholder management
1357,How would you explain web cookies to someone non-technical?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Technical communication; executive communication
1358,How would you explain what an OS is to your grandmother?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Simplification; communication
1524,How would you pitch a new database product to a venture capital firm specializing in databases and analytics?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,VC pitch; executive communication
1528,"How would you prepare a presentation for the CEO, within two weeks, on Microsoft Shifts' current performance and potential improvements?",🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,CEO presentation; executive communication
1530,How would you prepare for and conduct a final presentation for a client?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Client presentation; executive communication
1566,How would you share experiment results internally so it's digestible by different stakeholders?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Results communication; executive communication
1567,"How would you simplify a technical concept for a business user, and how would you explain a business concept to a technical user?",🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Concept simplification; communication
1767,Prepare a presentation about a complex project you led from start to finish.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Project presentation; executive communication
1768,Present a past AI-focused solution that you've worked on.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,AI solution presentation; executive communication
1769,Present a recent project with big scale and cross-functional involvement.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Project presentation; executive communication
1770,Present a shipped project you led end-to-end.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Project presentation; executive communication
1771,Present slides on a past project you've worked on.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Project presentation; executive communication
1850,Take a technical project you worked on and explain it to a product marketing manager.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Technical communication; executive communication
1869,Tell me about a project when you had to translate data into insights for the team/client you were working with.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Data translation; executive communication
1918,Tell me about a time when you failed to pitch something to leadership.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Pitch failure; behavioral question
1929,Tell me about a time when you had to break a complex problem down for different cross-functional teams.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Problem breakdown; behavioral question
1947,Tell me about a time when you had to present financial results to non-financial stakeholders.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Financial presentation; behavioral question
2001,Tell me about a time when you used data to convince stakeholders.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Data persuasion; behavioral question
2002,Tell me about a time when you used data to persuade higher leadership to change a decision they had already made.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Leadership persuasion; behavioral question
2057,Tell me about a time you had to deliver difficult feedback to a senior leader.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Senior feedback; behavioral question
2058,Tell me about a time you had to give someone bad news.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Bad news delivery; behavioral question
2193,What approach would you take to convince senior stakeholders?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Stakeholder persuasion; executive communication
2514,What's your process for preparing the CEO for important meetings or presentations?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,CEO preparation; behavioral question
2515,What's something interesting you could teach me in just a few minutes?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Teaching; behavioral question
2696,You meet the VP of Product in an elevator who suggests Indeed.com should change its results page to infinite scrolling. What would be your next steps?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Executive suggestion; executive communication
2732,You're a PM at Fivetran. Prepare a presentation explaining one of Fivetran's connectors.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Executive communication
2852,You're the CEO of a healthtech startup with technology that can detect 20 deadly diseases. How would you approach this?,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Executive communication
2874,You're the PM of a startup for remote-controlled shower water heaters. Define a problem statement and plan an MVP.,🟢,P10,Executive Communication,Context → Insight → Recommendation → Next Steps,Executive communication
