question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
23,"Among the following PM traits, which is your greatest strength and which is your greatest weakness: working with engineering, execution, ideation and visioning, working with design, working with metrics?",🔴,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Behavioral self-assessment
29,"Are you familiar with AI prototyping? Which tools or platforms have you used, and what has your experience been with them so far?",🔴,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Behavioral; tool familiarity
36,"As a manager, how do you handle trade-offs?",🔴,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Abstract behavioral; no specific scenario
1612,"If you could go to anywhere in the world, where would you go?",🔴,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Personal question; not relevant
1862,Tell me about a machine learning research topic you find interesting.,🔴,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),ML research; technical question
2116,Tell me about your day as a software engineer.,🔴,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Technical role description; not relevant for data analyst
2152,Tell us about one of your trips.,🔴,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Personal question; not relevant
2191,What activities or strategies do you use to keep yourself motivated and interested in coding?,🔴,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Coding motivation; not relevant for data analyst
2561,Why did you become a Software Engineer?,🔴,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Career choice; not relevant for data analyst
2562,Why did you become an engineer?,🔴,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Career choice; not relevant for data analyst
2737,"You're a PM at Instacart responsible for growing the Business Customers segment. What strategies would you implement to attract and retain businesses such as restaurants, retailers, and offices?",🔴,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Coding/algorithm/ML; implementation required
2846,You're leading a geographically dispersed team. What strategies and practices would you implement to ensure clear and effective communication?,🔴,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Coding/algorithm/ML; implementation required
1888,Tell me about a technical debt you introduced and its consequences. What trade-off options did you have?,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Technical debt; tradeoff analysis
149,Can you introduce yourself?,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Self-introduction; communication
243,Describe your communication style when working with C-suite executives.,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Executive communication; behavioral question
1299,How would you describe what our company does to your grandmother?,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Simplification; communication
154,Can you talk us through a product you've scoped and built? Include the goal and your specific role.,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Product case study; behavioral question
203,Describe a complex technical problem you solved in a simple way.,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Problem-solving case study; technical communication
205,"Describe a program you led from start to finish, including challenges, conflict resolution, and its overall impact.",🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Program leadership; behavioral question
212,Describe a situation where you learned something from media and successfully applied it to your work.,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Learning and application; behavioral question
214,"Describe a situation where, in hindsight, you would have done things differently.",🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Reflection and learning; behavioral question
241,Describe to me what your typical day would be like in Amazon as a Technical Program Manager.,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),TPM role; day-to-day operations
719,Discuss a broken process in your organization and how you addressed it.,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Process improvement; behavioral question
901,Give an example of when the program manager managed headcount and budgeting for a project.,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Project management; behavioral question
1003,"Have you done any vibe coding"" or built anything outside work that shows AI-first product thinking?""",🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Side projects; behavioral question
1004,Have you ever faced a project deadline that was earlier than expected? How did you handle it and what was the outcome?,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Deadline management; behavioral question
1005,Have you ever failed to meet your commitments?,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Accountability; behavioral question
1009,Have you ever worked on something without waiting for your manager's go-ahead? What made you decide to do that?,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Initiative; behavioral question
1037,How did your last project end?,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Project closure; behavioral question
1056,How do you build and manage a project schedule?,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Project scheduling; operational excellence
1068,How do you cope with dynamically-changing environments?,🟢,P15D,Yes/No & General Behavioral,Situation → Task → Action → Result (STAR),Adaptability; behavioral question
