question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,design_subtype
45,"As a PM at Meta, design a product for making restaurant reservations.",🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; reservations,P13D_Marketplace_TwoSided
83,"As a product manager for Meta, design a product for volunteers.",🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; volunteer platform,P13D_Marketplace_TwoSided
133,"Build a product automating a three-way matching system for the Procure-to-Pay process, including exceptions handling.",🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; B2B automation,P13B_Digital_Consumer
262,Design a betting/auction platform for auction houses.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; auction platform,P13D_Marketplace_TwoSided
264,Design a bike-sharing system for your city.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; bike sharing,P13D_Marketplace_TwoSided
344,Design a kayak rental service.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; rental service,P13B_Digital_Consumer
351,Design a lending library for communities.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; library service,P13B_Digital_Consumer
391,Design a physical product for Airbnb.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; physical product,P13A_Conceptual_Consumer
395,Design a platform that matches people wanting to learn skills with relevant mentors.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; education marketplace,P13B_Digital_Consumer
403,Design a product for borrowing and lending.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; lending platform,P13B_Digital_Consumer
488,Design a solution for borrowing and lending goods among neighbors on Facebook.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; neighborhood platform,P13B_Digital_Consumer
489,Design a solution for borrowing and lending on Facebook.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; lending platform,P13B_Digital_Consumer
535,Design a video sharing app that verifies the authenticity of videos.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; video verification,P13D_Marketplace_TwoSided
553,Design Airbnb for work.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; B2B accommodation,P13B_Digital_Consumer
615,Design an image sharing product.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design; image sharing,P13D_Marketplace_TwoSided
2721,You're a PM at Airbnb. Design furniture.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design,
2748,You're a PM at Meta. Design a product for skill sharing.,🟢,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,Product design,
146,Can you explain how 15-minute speedy delivery apps operate?,🟡,P13D_Marketplace,Marketplace / Two-Sided Platforms,Sides → Value Exchange → Liquidity Risks → MVP → Balancing Levers,System explanation; delivery app architecture,
