question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,short_answer
117,"As the PM for Lyft, what dashboard would you build to track the health of the app?",🟡,L5,Observability,Key Metrics → Alerts → Dashboards → Escalation,Health monitoring; dashboard design,"Key Metrics: Define what we measure. Golden signals: Latency: p50 / p95 / p99 response times. Error rate: percentage of failed requests, errors per second. Throughput / volume: requests per second, transactions per minute. Saturation: CPU, memory, queue depth, resource utilization. Business metrics: Conversions / success rate: business outcome metrics. Drops / failures: user-facing failures, drop-off rates. Revenue-impacting events: payment failures, checkout issues. Data quality (if data system): Freshness: data update frequency, latency. Completeness: missing records, coverage. Anomalies: unexpected patterns, outliers.

Alerts: Define when to wake someone. Symptom-based (preferred): User-visible errors: alerts on issues users experience. SLO burn rate: alert when SLO error budget is being consumed. Missed business outcomes: conversion drops, revenue impact. Thresholds: Static: known limits (e.g., error rate > 1%). Dynamic: baseline deviation (e.g., 3-sigma from normal). Alert hygiene: Actionable: alert tells us what to do. Low noise: only alerts on real issues, not false positives. Clear owner: who responds to this alert.

Dashboards: Enable fast debugging. Overview: Health at a glance: red / yellow / green status. Key metrics visible immediately. Drill-down: By service: isolate which service has issues. By region / segment: geographic or user segment breakdown. By time: historical trends, time-series analysis. Correlation: Deploys: link metrics to deployment events. Traffic spikes: correlate with traffic patterns. Feature flags: see impact of feature toggles. Remember: Dashboards are for debugging, alerts are for action.

Escalation: Define response and learning. Ownership: On-call rotation: clear ownership, rotation schedule. Clear runbooks: documented response procedures. Response: Mitigate first: stop the bleeding, restore service. Roll back / degrade: revert changes or disable features. Learning: Postmortem: document what happened, why, and how to prevent. Fix root cause: address underlying issue, not just symptoms. Improve signals: update metrics, alerts, dashboards based on learnings. Remember: If you can't answer 'Are users hurting right now?' in 10 seconds, your observability is broken."
181,"Create geographic and demographic dashboards for weekly, monthly, and yearly analytics using order data (100M daily records for 5 years) and customer data (1B customers).",🟡,L5,Observability,Key Metrics → Alerts → Dashboards → Escalation,Dashboard design; analytics at scale,"Key Metrics: Define what we measure. Golden signals: Latency: p50 / p95 / p99 response times. Error rate: percentage of failed requests, errors per second. Throughput / volume: requests per second, transactions per minute. Saturation: CPU, memory, queue depth, resource utilization. Business metrics: Conversions / success rate: business outcome metrics. Drops / failures: user-facing failures, drop-off rates. Revenue-impacting events: payment failures, checkout issues. Data quality (if data system): Freshness: data update frequency, latency. Completeness: missing records, coverage. Anomalies: unexpected patterns, outliers.

Alerts: Define when to wake someone. Symptom-based (preferred): User-visible errors: alerts on issues users experience. SLO burn rate: alert when SLO error budget is being consumed. Missed business outcomes: conversion drops, revenue impact. Thresholds: Static: known limits (e.g., error rate > 1%). Dynamic: baseline deviation (e.g., 3-sigma from normal). Alert hygiene: Actionable: alert tells us what to do. Low noise: only alerts on real issues, not false positives. Clear owner: who responds to this alert.

Dashboards: Enable fast debugging. Overview: Health at a glance: red / yellow / green status. Key metrics visible immediately. Drill-down: By service: isolate which service has issues. By region / segment: geographic or user segment breakdown. By time: historical trends, time-series analysis. Correlation: Deploys: link metrics to deployment events. Traffic spikes: correlate with traffic patterns. Feature flags: see impact of feature toggles. Remember: Dashboards are for debugging, alerts are for action.

Escalation: Define response and learning. Ownership: On-call rotation: clear ownership, rotation schedule. Clear runbooks: documented response procedures. Response: Mitigate first: stop the bleeding, restore service. Roll back / degrade: revert changes or disable features. Learning: Postmortem: document what happened, why, and how to prevent. Fix root cause: address underlying issue, not just symptoms. Improve signals: update metrics, alerts, dashboards based on learnings. Remember: If you can't answer 'Are users hurting right now?' in 10 seconds, your observability is broken."
285,Design a dashboard that helps sales leaders monitor their product's performance.,🟡,L5,Observability,Key Metrics → Alerts → Dashboards → Escalation,Dashboard design; sales monitoring,"Key Metrics: Define what we measure. Golden signals: Latency: p50 / p95 / p99 response times. Error rate: percentage of failed requests, errors per second. Throughput / volume: requests per second, transactions per minute. Saturation: CPU, memory, queue depth, resource utilization. Business metrics: Conversions / success rate: business outcome metrics. Drops / failures: user-facing failures, drop-off rates. Revenue-impacting events: payment failures, checkout issues. Data quality (if data system): Freshness: data update frequency, latency. Completeness: missing records, coverage. Anomalies: unexpected patterns, outliers.

Alerts: Define when to wake someone. Symptom-based (preferred): User-visible errors: alerts on issues users experience. SLO burn rate: alert when SLO error budget is being consumed. Missed business outcomes: conversion drops, revenue impact. Thresholds: Static: known limits (e.g., error rate > 1%). Dynamic: baseline deviation (e.g., 3-sigma from normal). Alert hygiene: Actionable: alert tells us what to do. Low noise: only alerts on real issues, not false positives. Clear owner: who responds to this alert.

Dashboards: Enable fast debugging. Overview: Health at a glance: red / yellow / green status. Key metrics visible immediately. Drill-down: By service: isolate which service has issues. By region / segment: geographic or user segment breakdown. By time: historical trends, time-series analysis. Correlation: Deploys: link metrics to deployment events. Traffic spikes: correlate with traffic patterns. Feature flags: see impact of feature toggles. Remember: Dashboards are for debugging, alerts are for action.

Escalation: Define response and learning. Ownership: On-call rotation: clear ownership, rotation schedule. Clear runbooks: documented response procedures. Response: Mitigate first: stop the bleeding, restore service. Roll back / degrade: revert changes or disable features. Learning: Postmortem: document what happened, why, and how to prevent. Fix root cause: address underlying issue, not just symptoms. Improve signals: update metrics, alerts, dashboards based on learnings. Remember: If you can't answer 'Are users hurting right now?' in 10 seconds, your observability is broken."
361,Design a metrics and logging service.,🟡,L5,Observability,Key Metrics → Alerts → Dashboards → Escalation,System design; metrics service,"Key Metrics: Define what we measure. Golden signals: Latency: p50 / p95 / p99 response times. Error rate: percentage of failed requests, errors per second. Throughput / volume: requests per second, transactions per minute. Saturation: CPU, memory, queue depth, resource utilization. Business metrics: Conversions / success rate: business outcome metrics. Drops / failures: user-facing failures, drop-off rates. Revenue-impacting events: payment failures, checkout issues. 

Alerts: Define when to wake someone. Symptom-based (preferred): User-visible errors: alerts on issues users experience. SLO burn rate: alert when SLO error budget is being consumed. Missed business outcomes: conversion drops, revenue impact. Thresholds: Static: known limits (e.g., error rate > 1%). Dynamic: baseline deviation (e.g., 3-sigma from normal). Alert hygiene: Actionable: alert tells us what to do. Low noise: only alerts on real issues, not false positives. Clear owner: who responds to this alert.

Dashboards: Enable fast debugging. Overview: Health at a glance: red / yellow / green status. Key metrics visible immediately. Drill-down: By service: isolate which service has issues. By region / segment: geographic or user segment breakdown. By time: historical trends, time-series analysis. Correlation: Deploys: link metrics to deployment events. Traffic spikes: correlate with traffic patterns. Feature flags: see impact of feature toggles. Remember: Dashboards are for debugging, alerts are for action.

Escalation: Define response and learning. Ownership: On-call rotation: clear ownership, rotation schedule. Clear runbooks: documented response procedures. Response: Mitigate first: stop the bleeding, restore service. Roll back / degrade: revert changes or disable features. Learning: Postmortem: document what happened, why, and how to prevent. Fix root cause: address underlying issue, not just symptoms. Improve signals: update metrics, alerts, dashboards based on learnings. Remember: If you can't answer 'Are users hurting right now?' in 10 seconds, your observability is broken."
362,Design a metrics service.,🟡,L5,Observability,Key Metrics → Alerts → Dashboards → Escalation,System design; metrics service,"Key Metrics: Define what we measure. Golden signals: Latency: p50 / p95 / p99 response times. Error rate: percentage of failed requests, errors per second. Throughput / volume: requests per second, transactions per minute. Saturation: CPU, memory, queue depth, resource utilization. Business metrics: Conversions / success rate: business outcome metrics. Drops / failures: user-facing failures, drop-off rates. Revenue-impacting events: payment failures, checkout issues. 

Alerts: Define when to wake someone. Symptom-based (preferred): User-visible errors: alerts on issues users experience. SLO burn rate: alert when SLO error budget is being consumed. Missed business outcomes: conversion drops, revenue impact. Thresholds: Static: known limits (e.g., error rate > 1%). Dynamic: baseline deviation (e.g., 3-sigma from normal). Alert hygiene: Actionable: alert tells us what to do. Low noise: only alerts on real issues, not false positives. Clear owner: who responds to this alert.

Dashboards: Enable fast debugging. Overview: Health at a glance: red / yellow / green status. Key metrics visible immediately. Drill-down: By service: isolate which service has issues. By region / segment: geographic or user segment breakdown. By time: historical trends, time-series analysis. Correlation: Deploys: link metrics to deployment events. Traffic spikes: correlate with traffic patterns. Feature flags: see impact of feature toggles. Remember: Dashboards are for debugging, alerts are for action.

Escalation: Define response and learning. Ownership: On-call rotation: clear ownership, rotation schedule. Clear runbooks: documented response procedures. Response: Mitigate first: stop the bleeding, restore service. Roll back / degrade: revert changes or disable features. Learning: Postmortem: document what happened, why, and how to prevent. Fix root cause: address underlying issue, not just symptoms. Improve signals: update metrics, alerts, dashboards based on learnings. Remember: If you can't answer 'Are users hurting right now?' in 10 seconds, your observability is broken."
367,Design a monitoring system for 1000 web servers.,🟡,L5,Observability,Key Metrics → Alerts → Dashboards → Escalation,System design; monitoring,"Key Metrics: Define what we measure. Golden signals: Latency: p50 / p95 / p99 response times. Error rate: percentage of failed requests, errors per second. Throughput / volume: requests per second, transactions per minute. Saturation: CPU, memory, queue depth, resource utilization. Business metrics: Conversions / success rate: business outcome metrics. Drops / failures: user-facing failures, drop-off rates. Revenue-impacting events: payment failures, checkout issues. Data quality (if data system): Freshness: data update frequency, latency. Completeness: missing records, coverage. Anomalies: unexpected patterns, outliers.

Alerts: Define when to wake someone. Symptom-based (preferred): User-visible errors: alerts on issues users experience. SLO burn rate: alert when SLO error budget is being consumed. Missed business outcomes: conversion drops, revenue impact. Thresholds: Static: known limits (e.g., error rate > 1%). Dynamic: baseline deviation (e.g., 3-sigma from normal). Alert hygiene: Actionable: alert tells us what to do. Low noise: only alerts on real issues, not false positives. Clear owner: who responds to this alert.

Dashboards: Enable fast debugging. Overview: Health at a glance: red / yellow / green status. Key metrics visible immediately. Drill-down: By service: isolate which service has issues. By region / segment: geographic or user segment breakdown. By time: historical trends, time-series analysis. Correlation: Deploys: link metrics to deployment events. Traffic spikes: correlate with traffic patterns. Feature flags: see impact of feature toggles. Remember: Dashboards are for debugging, alerts are for action.

Escalation: Define response and learning. Ownership: On-call rotation: clear ownership, rotation schedule. Clear runbooks: documented response procedures. Response: Mitigate first: stop the bleeding, restore service. Roll back / degrade: revert changes or disable features. Learning: Postmortem: document what happened, why, and how to prevent. Fix root cause: address underlying issue, not just symptoms. Improve signals: update metrics, alerts, dashboards based on learnings. Remember: If you can't answer 'Are users hurting right now?' in 10 seconds, your observability is broken."
368,Design a monitoring system for TikTok.,🟡,L5,Observability,Key Metrics → Alerts → Dashboards → Escalation,System design; monitoring,"Key Metrics: Define what we measure. Golden signals: Latency: p50 / p95 / p99 response times. Error rate: percentage of failed requests, errors per second. Throughput / volume: requests per second, transactions per minute. Saturation: CPU, memory, queue depth, resource utilization. Business metrics: Conversions / success rate: business outcome metrics. Drops / failures: user-facing failures, drop-off rates. Revenue-impacting events: payment failures, checkout issues. Data quality (if data system): Freshness: data update frequency, latency. Completeness: missing records, coverage. Anomalies: unexpected patterns, outliers.

Alerts: Define when to wake someone. Symptom-based (preferred): User-visible errors: alerts on issues users experience. SLO burn rate: alert when SLO error budget is being consumed. Missed business outcomes: conversion drops, revenue impact. Thresholds: Static: known limits (e.g., error rate > 1%). Dynamic: baseline deviation (e.g., 3-sigma from normal). Alert hygiene: Actionable: alert tells us what to do. Low noise: only alerts on real issues, not false positives. Clear owner: who responds to this alert.

Dashboards: Enable fast debugging. Overview: Health at a glance: red / yellow / green status. Key metrics visible immediately. Drill-down: By service: isolate which service has issues. By region / segment: geographic or user segment breakdown. By time: historical trends, time-series analysis. Correlation: Deploys: link metrics to deployment events. Traffic spikes: correlate with traffic patterns. Feature flags: see impact of feature toggles. Remember: Dashboards are for debugging, alerts are for action.

Escalation: Define response and learning. Ownership: On-call rotation: clear ownership, rotation schedule. Clear runbooks: documented response procedures. Response: Mitigate first: stop the bleeding, restore service. Roll back / degrade: revert changes or disable features. Learning: Postmortem: document what happened, why, and how to prevent. Fix root cause: address underlying issue, not just symptoms. Improve signals: update metrics, alerts, dashboards based on learnings. Remember: If you can't answer 'Are users hurting right now?' in 10 seconds, your observability is broken."
479,"Design a smart electric meter software system for an apartment building featuring separate dashboards for tenants and the owner, showing electricity usage by specific units and floors.",🟡,L5,Observability,Key Metrics → Alerts → Dashboards → Escalation,System design; energy monitoring,"Key Metrics: Define what we measure. Golden signals: Latency: p50 / p95 / p99 response times. Error rate: percentage of failed requests, errors per second. Throughput / volume: requests per second, transactions per minute. Saturation: CPU, memory, queue depth, resource utilization. Business metrics: Conversions / success rate: business outcome metrics. Drops / failures: user-facing failures, drop-off rates. Revenue-impacting events: payment failures, checkout issues. Data quality (if data system): Freshness: data update frequency, latency. Completeness: missing records, coverage. Anomalies: unexpected patterns, outliers.

Alerts: Define when to wake someone. Symptom-based (preferred): User-visible errors: alerts on issues users experience. SLO burn rate: alert when SLO error budget is being consumed. Missed business outcomes: conversion drops, revenue impact. Thresholds: Static: known limits (e.g., error rate > 1%). Dynamic: baseline deviation (e.g., 3-sigma from normal). Alert hygiene: Actionable: alert tells us what to do. Low noise: only alerts on real issues, not false positives. Clear owner: who responds to this alert.

Dashboards: Enable fast debugging. Overview: Health at a glance: red / yellow / green status. Key metrics visible immediately. Drill-down: By service: isolate which service has issues. By region / segment: geographic or user segment breakdown. By time: historical trends, time-series analysis. Correlation: Deploys: link metrics to deployment events. Traffic spikes: correlate with traffic patterns. Feature flags: see impact of feature toggles. Remember: Dashboards are for debugging, alerts are for action.

Escalation: Define response and learning. Ownership: On-call rotation: clear ownership, rotation schedule. Clear runbooks: documented response procedures. Response: Mitigate first: stop the bleeding, restore service. Roll back / degrade: revert changes or disable features. Learning: Postmortem: document what happened, why, and how to prevent. Fix root cause: address underlying issue, not just symptoms. Improve signals: update metrics, alerts, dashboards based on learnings. Remember: If you can't answer 'Are users hurting right now?' in 10 seconds, your observability is broken."
565,Design an alarm system for streaming metrics.,🟡,L5,Observability,Key Metrics → Alerts → Dashboards → Escalation,System design; monitoring alerts,"Key Metrics: Define what we measure. Golden signals: Latency: p50 / p95 / p99 response times. Error rate: percentage of failed requests, errors per second. Throughput / volume: requests per second, transactions per minute. Saturation: CPU, memory, queue depth, resource utilization. Business metrics: Conversions / success rate: business outcome metrics. Drops / failures: user-facing failures, drop-off rates. Revenue-impacting events: payment failures, checkout issues. 

Alerts: Define when to wake someone. Symptom-based (preferred): User-visible errors: alerts on issues users experience. SLO burn rate: alert when SLO error budget is being consumed. Missed business outcomes: conversion drops, revenue impact. Thresholds: Static: known limits (e.g., error rate > 1%). Dynamic: baseline deviation (e.g., 3-sigma from normal). Alert hygiene: Actionable: alert tells us what to do. Low noise: only alerts on real issues, not false positives. Clear owner: who responds to this alert.

Dashboards: Enable fast debugging. Overview: Health at a glance: red / yellow / green status. Key metrics visible immediately. Drill-down: By service: isolate which service has issues. By region / segment: geographic or user segment breakdown. By time: historical trends, time-series analysis. Correlation: Deploys: link metrics to deployment events. Traffic spikes: correlate with traffic patterns. Feature flags: see impact of feature toggles. Remember: Dashboards are for debugging, alerts are for action.

Escalation: Define response and learning. Ownership: On-call rotation: clear ownership, rotation schedule. Clear runbooks: documented response procedures. Response: Mitigate first: stop the bleeding, restore service. Roll back / degrade: revert changes or disable features. Learning: Postmortem: document what happened, why, and how to prevent. Fix root cause: address underlying issue, not just symptoms. Improve signals: update metrics, alerts, dashboards based on learnings. Remember: If you can't answer 'Are users hurting right now?' in 10 seconds, your observability is broken."
568,Design an analytics platform.,🟡,L5,Observability,Key Metrics → Alerts → Dashboards → Escalation,System design; analytics platform,"Key Metrics: Define what we measure. Golden signals: Latency: p50 / p95 / p99 response times. Error rate: percentage of failed requests, errors per second. Throughput / volume: requests per second, transactions per minute. Saturation: CPU, memory, queue depth, resource utilization. Business metrics: Conversions / success rate: business outcome metrics. Drops / failures: user-facing failures, drop-off rates. Revenue-impacting events: payment failures, checkout issues. Data quality (if data system): Freshness: data update frequency, latency. Completeness: missing records, coverage. Anomalies: unexpected patterns, outliers.

Alerts: Define when to wake someone. Symptom-based (preferred): User-visible errors: alerts on issues users experience. SLO burn rate: alert when SLO error budget is being consumed. Missed business outcomes: conversion drops, revenue impact. Thresholds: Static: known limits (e.g., error rate > 1%). Dynamic: baseline deviation (e.g., 3-sigma from normal). Alert hygiene: Actionable: alert tells us what to do. Low noise: only alerts on real issues, not false positives. Clear owner: who responds to this alert.

Dashboards: Enable fast debugging. Overview: Health at a glance: red / yellow / green status. Key metrics visible immediately. Drill-down: By service: isolate which service has issues. By region / segment: geographic or user segment breakdown. By time: historical trends, time-series analysis. Correlation: Deploys: link metrics to deployment events. Traffic spikes: correlate with traffic patterns. Feature flags: see impact of feature toggles. Remember: Dashboards are for debugging, alerts are for action.

Escalation: Define response and learning. Ownership: On-call rotation: clear ownership, rotation schedule. Clear runbooks: documented response procedures. Response: Mitigate first: stop the bleeding, restore service. Roll back / degrade: revert changes or disable features. Learning: Postmortem: document what happened, why, and how to prevent. Fix root cause: address underlying issue, not just symptoms. Improve signals: update metrics, alerts, dashboards based on learnings. Remember: If you can't answer 'Are users hurting right now?' in 10 seconds, your observability is broken."
625,Design an ML experiment tracking and analysis platform.,🟡,L5,Observability,Key Metrics → Alerts → Dashboards → Escalation,System design; ML platform,"Key Metrics: Define what we measure. Golden signals: Latency: p50 / p95 / p99 response times. Error rate: percentage of failed requests, errors per second. Throughput / volume: requests per second, transactions per minute. Saturation: CPU, memory, queue depth, resource utilization. Business metrics: Conversions / success rate: business outcome metrics. Drops / failures: user-facing failures, drop-off rates. Revenue-impacting events: payment failures, checkout issues. Data quality (for ML systems): Freshness: data recency, model staleness. Completeness: missing features, null rates. Anomalies: drift detection, outlier rates.

Alerts: Define when to wake someone. Symptom-based (preferred): User-visible errors: alerts on issues users experience. SLO burn rate: alert when SLO error budget is being consumed. Missed business outcomes: conversion drops, revenue impact. Thresholds: Static: known limits (e.g., error rate > 1%). Dynamic: baseline deviation (e.g., 3-sigma from normal). Alert hygiene: Actionable: alert tells us what to do. Low noise: only alerts on real issues, not false positives. Clear owner: who responds to this alert.

Dashboards: Enable fast debugging. Overview: Health at a glance: red / yellow / green status. Key metrics visible immediately. Drill-down: By service: isolate which service has issues. By region / segment: geographic or user segment breakdown. By time: historical trends, time-series analysis. Correlation: Deploys: link metrics to deployment events. Traffic spikes: correlate with traffic patterns. Feature flags: see impact of feature toggles. Remember: Dashboards are for debugging, alerts are for action.

Escalation: Define response and learning. Ownership: On-call rotation: clear ownership, rotation schedule. Clear runbooks: documented response procedures. Response: Mitigate first: stop the bleeding, restore service. Roll back / degrade: revert changes or disable features. Learning: Postmortem: document what happened, why, and how to prevent. Fix root cause: address underlying issue, not just symptoms. Improve signals: update metrics, alerts, dashboards based on learnings. Remember: If you can't answer 'Are users hurting right now?' in 10 seconds, your observability is broken."
626,"Design an ML monitoring system for a fantasy sports app, focusing on drift, performance, outliers, and quality.",🟡,L5,Observability,Key Metrics → Alerts → Dashboards → Escalation,System design; ML monitoring,"Key Metrics: Define what we measure. Golden signals: Latency: p50 / p95 / p99 response times. Error rate: percentage of failed requests, errors per second. Throughput / volume: requests per second, transactions per minute. Saturation: CPU, memory, queue depth, resource utilization. Business metrics: Conversions / success rate: business outcome metrics. Drops / failures: user-facing failures, drop-off rates. Revenue-impacting events: payment failures, checkout issues. Data quality (for ML systems): Freshness: data recency, model staleness. Completeness: missing features, null rates. Anomalies: drift detection, outlier rates.

Alerts: Define when to wake someone. Symptom-based (preferred): User-visible errors: alerts on issues users experience. SLO burn rate: alert when SLO error budget is being consumed. Missed business outcomes: conversion drops, revenue impact. Thresholds: Static: known limits (e.g., error rate > 1%). Dynamic: baseline deviation (e.g., 3-sigma from normal). Alert hygiene: Actionable: alert tells us what to do. Low noise: only alerts on real issues, not false positives. Clear owner: who responds to this alert.

Dashboards: Enable fast debugging. Overview: Health at a glance: red / yellow / green status. Key metrics visible immediately. Drill-down: By service: isolate which service has issues. By region / segment: geographic or user segment breakdown. By time: historical trends, time-series analysis. Correlation: Deploys: link metrics to deployment events. Traffic spikes: correlate with traffic patterns. Feature flags: see impact of feature toggles. Remember: Dashboards are for debugging, alerts are for action.

Escalation: Define response and learning. Ownership: On-call rotation: clear ownership, rotation schedule. Clear runbooks: documented response procedures. Response: Mitigate first: stop the bleeding, restore service. Roll back / degrade: revert changes or disable features. Learning: Postmortem: document what happened, why, and how to prevent. Fix root cause: address underlying issue, not just symptoms. Improve signals: update metrics, alerts, dashboards based on learnings. Remember: If you can't answer 'Are users hurting right now?' in 10 seconds, your observability is broken."
