question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,design_subtype
39,"As a PM at a vending machine company, design a new line of vending machines for hotels and motels.",🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; vending machines,P13A_Conceptual_Consumer
257,Design a better alarm clock.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; alarm clock,P13A_Conceptual_Consumer
258,Design a better dog bowl.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; pet product,P13A_Conceptual_Consumer
259,Design a better dog collar.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; pet product,P13B_Digital_Consumer
267,Design a bookshelf for children.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; furniture,P13A_Conceptual_Consumer
268,Design a bookshelf for elderly people.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; furniture for elderly,P13A_Conceptual_Consumer
269,Design a bookshelf.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; furniture,P13A_Conceptual_Consumer
275,Design a cereal dispenser.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; kitchen appliance,P13B_Digital_Consumer
276,Design a chair for the disabled.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; accessibility,P13A_Conceptual_Consumer
278,Design a clock for children.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; clock,P13B_Digital_Consumer
346,Design a kitchen.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; kitchen,P13A_Conceptual_Consumer
349,Design a lawn mower.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; lawn mower,P13A_Conceptual_Consumer
381,Design a next-generation elevator.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; elevator,P13A_Conceptual_Consumer
532,Design a vending machine for a hotel lobby.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; vending machine,P13A_Conceptual_Consumer
534,Design a vending machine for use in airports.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; vending machine,P13A_Conceptual_Consumer
564,Design an alarm clock for children 100 years in the future.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; futuristic alarm clock,P13A_Conceptual_Consumer
604,Design an elevator for a skyscraper and estimate the number of elevators needed.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; elevator with estimation,P13A_Conceptual_Consumer
605,Design an elevator for blind users.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; accessibility,P13A_Conceptual_Consumer
606,Design an elevator.,🟢,P13A_Consumer_SingleUser,Consumer / Single-User Products,User Context → Pain Points → Core Design → Tradeoffs → Risks,Product design; elevator,P13A_Conceptual_Consumer
