question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,salvageable,simple_explanation,bucket,short_answer
3.2,How would you do a database migration?,🔴,N/A,N/A,N/A,Technical implementation; likely coding,YES,"Understand the concept, break into steps, use appropriate data structure (hash map, array, tree, etc.)",A,
14,A PM at Google asked you to describe the distribution of daily search queries per user. How would you describe it?,🔴,N/A,N/A,N/A,Statistics theory; distribution description,YES,"Distribution = how values are spread. Describe shape: normal (bell curve), skewed, uniform, etc.",A,
15,A PM at Meta asked you to describe the distribution of daily minutes spent on Facebook per user. How would you describe it?,🔴,N/A,N/A,N/A,Statistics theory; distribution description,YES,"Distribution = how values are spread. Describe shape: normal (bell curve), skewed, uniform, etc.",A,
18,Abbreviate an array of strings.,🔴,N/A,N/A,N/A,Coding problem; string manipulation,YES,"Work with text. Compare characters, find patterns, extract parts",A,
27,Analyze Monthly Customer Transactions,🔴,N/A,N/A,N/A,Vague; likely SQL or coding task,NO,N/A - Too complex or not relevant,A,
28,Apply the quadratic formula to a sorted array such that the resulting array is still sorted.,🔴,N/A,N/A,N/A,Algorithm problem; math + sorting,YES,"Binary search: cut problem in half each time. Compare middle with target, eliminate half",A,
30,"Array Manipulation: Given an array, implement functions to perform add, remove, update operations and return the resulting array.",🔴,N/A,N/A,N/A,Coding problem; array operations,YES,"Loop through items, check conditions, collect results. Basic: for each item → if condition → act",A,
128,Build a Basic Regex Parser,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,NO,N/A - Too complex or not relevant,A,
129,Build a Calculator,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,Break into steps. Identify data structures needed. Write functions for each operation,A,
131,Build a hash tree algorithm.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,Use a lookup table - store things by name so you can find them instantly. Like a phone book: name → number,A,
137,Build a web crawler with multi-threading.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,NO,N/A - Too complex or not relevant,A,
139,Calculate Test Scores,🔴,N/A,N/A,N/A,Math calculation; coding question,NO,N/A - Too complex or not relevant,A,
140,Calculate the height of a binary tree.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,Visit nodes in order (left → root → right or root → left → right). Use recursion or stack,A,
141,Calculate the number of times a pattern appears in a string.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,"Work with text. Compare characters, find patterns, extract parts",A,
142,Calculate the result of a mathematical expression written as a string.,🔴,N/A,N/A,N/A,Algorithm implementation; coding question,YES,"Work with text. Compare characters, find patterns, extract parts",A,
143,Calculate the trapped rainwater between bars in a given array.,🔴,N/A,N/A,N/A,Algorithm implementation; LeetCode problem,YES,"Loop through items, check conditions, collect results. Basic: for each item → if condition → act",A,
