question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
11,"A large enterprise customer wants to integrate Sierra, what would you build first and why?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Enterprise customer request; prioritization + strategy
37,"As a member of the product team at Scribe who receives user research indicating some users use the platform to build help centers, explain how you would assess building end-to-end help center functionality?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Feature assessment; user research signal
90,"As a TPM, how would you handle a project with unchanged deliverables but a cut in the time period by half?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Resource constraint; timeline compression
92,"As a YouTube PM, how would you evaluate the suggestion to develop a tool for content creators to generate ideas with scripts automatically?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Feature evaluation; creator tools
94,"As an OpenTable PM, how would you prioritize improving the worst post-reservation experiences?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Prioritization; post-reservation UX
158,Choose a product and tell me how you would prioritize new features for it.,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Feature prioritization; product strategy
221,"Describe a time when you worked on a project that wasn't initially on the roadmap. What prompted this project, and how did you decide it was worth pursuing?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Roadmap flexibility; behavioral question
1025,How can TikTok double its revenue next year? What percentage of the new revenue should be derived from existing advertisers versus new advertisers?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Revenue growth; prioritization
1052,How do you balance engineering foundational work with building new features?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Engineering prioritization; tradeoff
1073,How do you decide what to delegate vs. what to handle personally?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Delegation; prioritization
1106,How do you handle conflicting priorities and tight deadlines?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Priority management; behavioral question
1137,"How do you prioritize and structure roadmaps, deciding what to build and when?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Roadmap prioritization; planning
1138,How do you prioritize competing features?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Feature prioritization; decision making
1139,How do you prioritize features for a product launch?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Launch prioritization; product management
1140,How do you prioritize strategic initiatives when resources are limited?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Strategic prioritization; resource allocation
1141,"How do you prioritize tasks across the engineering team, product bugs, the product roadmap, and suggestions from leadership?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Task prioritization; multi-stakeholder
1142,How do you prioritize tasks?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Task prioritization; general
1143,How do you prioritize when everything is urgent?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Urgent prioritization; crisis management
1144,"How do you resolve conflicting product requirements, and who determines which requirement takes priority?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Requirement conflict; prioritization
1148,How do you set priorities with limited resources?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Resource-constrained prioritization; planning
1244,"How would you approach a situation where your business users are pushing for a new business requirement and your engineering team has found 3 bugs, which are repetitive in nature?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Priority conflict; stakeholder management
1247,How would you approach creating a product roadmap without prior knowledge of the product?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Roadmap creation; prioritization
1252,How would you approach product planning?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Product planning; prioritization
1285,"How would you create a short-term roadmap when production issues, sales pressure, and customer demands conflict?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Roadmap prioritization; conflict resolution
1286,How would you create a three-year roadmap as head of product?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Strategic roadmap; prioritization
1323,How would you determine which features to include in a Minimum Viable Product (MVP)?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,MVP prioritization; feature selection
1523,How would you organize multiple projects that must be delivered on specified dates?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Project organization; prioritization
1536,How would you prioritize between fixing a bug or shipping a new feature?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Bug vs feature; prioritization
1537,How would you prioritize features in a content moderation tool?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Feature prioritization; prioritization
1538,"How would you prioritize features on TikTok to improve, and how would you approach improving the features you've identified?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Feature prioritization; prioritization
1539,How would you prioritize multiple requests from different teams?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Multi-team prioritization; prioritization
1540,How would you prioritize solving the worst post booking experience for Google flights?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Experience prioritization; prioritization
1541,How would you prioritize solving the worst post-booking experience for TaskRabbit?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Experience prioritization; prioritization
1571,How would you structure the CEO's calendar and priorities?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Calendar management; prioritization
1590,"If a company's top product is dish soap but it plans to launch laptops, how would you decide where to allocate resources?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Resource allocation; prioritization
1607,"If there is one Google product you would sunset, what would it be and why?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Product sunset; prioritization
1617,"If you had $1M to allocate to grow market share in the city, what would you focus on?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Budget allocation; prioritization
1621,"If you had to work on five different projects, how would you prioritize them?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Project prioritization; prioritization
1623,"If you have 2 clients requesting very different features for the same product, how would you prioritize them?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Client prioritization; prioritization
1859,Tell me about a feature you shipped and how you influenced its priority.,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Feature prioritization; behavioral question
1873,Tell me about a project where you prioritized the customer.,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Customer prioritization; behavioral question
1939,Tell me about a time when you had to make a decision quickly.,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Quick decision; behavioral question
1942,Tell me about a time when you had to make a significant decision without your manager.,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Independent decision; behavioral question
1948,Tell me about a time when you had to say no to someone.,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Saying no; behavioral question
1951,Tell me about a time when you had two deadlines at the same time. How did you manage the situation?,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Deadline management; behavioral question
