question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
6,A competitor is gaining market share. How would you investigate why?,🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Market share = metric; competitive analysis
9,A key metric is declining—what would you investigate first and how would you prioritize what to build?,🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Metric declining = classic P1; includes prioritization
22,Amazon orders are down 25% - what do you do?,🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Classic metric drop; 25% decline
40,"As a PM at Airbnb, how would you increase bookings?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Growth question; increase bookings metric
51,"As a PM at Open Table, how would you resolve their biggest booking experience issue?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Problem diagnosis; booking experience
62,"As a PM for Instagram Shops, how would you increase the number of transactions?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Growth question; increase transactions
68,"As a PM for Netflix, how would you increase watch time on TVs?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Growth question; increase watch time
69,"As a PM for Spotify Podcasts, what success metrics would you define? If engagement on Spotify Music is down while engagement on Spotify Podcasts is up, what actions would you take?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Metric definition + tradeoff analysis; cannibalization
81,"As a product manager for a meditation app for kids with a 3 to 5 star average rating in the Play Store, how would you improve that rating?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Rating improvement; app store optimization
105,"As the data scientist, interpreting a significant increase in revenue from a new feature in one of 20 countries, what would you recommend?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Revenue increase analysis; geographic segmentation
106,"As the head of product at a children's museum, what would you do to address the feedback that engagement is down?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Engagement drop; museum context
110,"As the owner of a gas station observing a sudden surge in customers, reaching four times the usual capacity during peak times, how would you investigate, diagnose, and resolve this issue?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Capacity surge; operational diagnosis
111,"As the owner of a supermarket, what would you do after experiencing 500% revenue growth?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Revenue growth; scale planning
112,"As the PM at Airbnb, how would you enhance the discovery of listings over the next six months?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Discovery improvement; listing optimization
115,"As the PM for Hangouts, what would be your next steps after it launched in 2013 with a 3-star rating and polarized reviews?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Product recovery; low rating response
120,"As the PM responsible for the ride experience at Lyft, what would be the most effective solution to address the major issues occurring after the driver-rider match process?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Ride experience issues; post-match problems
121,"As the Product Manager for Google Docs, facing a 10% decrease in the 'Open' metrics, what steps would you take to investigate and address this decline?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Metric drop; Open metrics decline
160,Choose your favorite product and explain how you would improve it.,🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Product improvement; optimization
161,"Choosing a mobile app, how would you increase user engagement by 100x?",🟢,P1,Metric Drop Diagnosis,Clarify Metric → Segment → Hypothesize → Data Check → Action,Engagement growth; 100x increase
