question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,design_subtype
3.3,How would you improve the LinkedIn home page?,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product improvement; homepage optimization,P13B_Digital_Consumer
31,"As a Facebook PM, what would you do to design a product for hobbies?",🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; hobbies focus,P13B_Digital_Consumer
71,"As a PM for TikTok, design the user journey for third-party services (e.g., restaurants and shops) integrated into the app.",🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,User journey design; third-party integration,P13B_Digital_Consumer
265,Design a birthday app for Facebook.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; social app,P13B_Digital_Consumer
270,Design a camera for Instagram users.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; camera,P13B_Digital_Consumer
308,Design a Facebook app to connect users with handymen.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; marketplace platform,P13B_Digital_Consumer
310,Design a fashion product for Facebook.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; fashion platform,P13B_Digital_Consumer
318,Design a fitness app for Facebook.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; fitness app,P13B_Digital_Consumer
352,Design a LinkedIn for blue collar workers.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; professional network,P13B_Digital_Consumer
371,Design a music streaming service for Facebook.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; music streaming,P13B_Digital_Consumer
377,Design a new volunteer feature in the Facebook app.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature design; social platform,P13B_Digital_Consumer
396,Design a podcast app for Facebook.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; podcast app,P13B_Digital_Consumer
399,Design a product at Facebook to improve the layover experience.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; travel experience,P13B_Digital_Consumer
409,Design a product for Facebook for the Olympics.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; Olympics,P13B_Digital_Consumer
410,Design a product for Facebook to enable charity.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; charity platform,P13B_Digital_Consumer
416,Design a product for job search on Facebook.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; job search,P13B_Digital_Consumer
424,"Design a product for parking, not related to Facebook.",🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; parking,P13B_Digital_Consumer
430,Design a product or feature for new or expecting parents on Facebook.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; parenting feature,P13B_Digital_Consumer
442,Design a product to gather user feedback from various other products or services.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; feedback platform,P13B_Digital_Consumer
443,Design a product to help Facebook employees enhance their learning.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; employee learning,P13B_Digital_Consumer
485,Design a social crypto bank.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; fintech,P13B_Digital_Consumer
486,Design a social media application for introverts.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; social media,P13B_Digital_Consumer
527,Design a travel product for Instagram.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; travel feature,P13B_Digital_Consumer
588,Design an art solution for Instagram.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; art platform,P13B_Digital_Consumer
599,Design an educational product for Instagram.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; education platform,P13B_Digital_Consumer
649,Design Instagram's Explore page.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature design; discovery,P13B_Digital_Consumer
651,Design LinkedIn for students.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; professional network,P13B_Digital_Consumer
666,Design the 'For You' page on TikTok.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature design; recommendation feed,P13B_Digital_Consumer
682,Design TikTok for the elderly.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; social media for seniors,P13B_Digital_Consumer
979,"Given the increase in travel-related content and the trend of 'revenge travel' post-COVID, design a new product for the travel space.",🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; travel industry,P13B_Digital_Consumer
1022,How can Facebook improve preparing for another pandemic?,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product improvement; crisis preparedness,P13B_Digital_Consumer
1212,How might you improve Spotify using social features?,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product improvement; social features,
1261,How would you build a product for disabled users on LinkedIn?,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; accessibility,
1303,How would you design a hyperlocal feature for Facebook?,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature design; product improvement,
1336,How would you enhance the Facebook Birthdays feature?,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature enhancement; product improvement,
1471,How would you integrate social features into the Coinbase platform?,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature integration; product design,
1545,How would you redesign Instagram's DM feature?,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature redesign; product design,
1646,Imagine you're a PM for Facebook. Design a product for teens.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; new product,
1683,Improve Facebook's Crisis Alert feature.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature improvement; product design,
2665,"You are an editor managing a voice-dubbing project currently tracked in Excel. Design a new interface to review progress, manage feedback, and collaborate with voice actors.",🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; new product,
2740,You're a PM at Instagram responsible for building the Reels feature. How would you define and measure its success?,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design,
2743,You're a PM at LinkedIn. Design features to support India's growing startup ecosystem.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design,
2841,You're designing an A/B test to evaluate the impact of showing content from non-friends in users' feeds. How would you test this with proper randomization?,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design,
2869,You're the PM for Meta's Social Good team. Design a new product to encourage more volunteering.,🟢,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design,
724,Display job postings to users in the same city based on their previous searches.,🟡,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,System design; job matching,
1266,How would you build a tool to authenticate products sold on TikTok Shop?,🟡,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product authentication; system design,
1470,How would you integrate LinkedIn with Cisco Webex to display user profiles on Webex during meetings?,🟡,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Integration design; system design,
2331,What is the difference between a POST request and a GET request?,🟡,P13B_Social_Community,Consumer Platforms - Social/Community,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,HTTP methods; system design,
