question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
179,Create a simple model to forecast our headcount needs for the next 12-weeks as we scale up.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Headcount forecasting; scaling model
473,"Design a scalable system for a token-generation service used by an LLM that needs to handle up to 100,000 requests per second.",🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,System design; high-scale token service
742,Estimate how much bandwidth is needed for launching YouTube TV.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Bandwidth estimation; capacity planning
745,Estimate the amount of storage needed for Google Photos.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Storage estimation; capacity planning
747,Estimate the bandwidth (bits/s) of a 747 crossing the Atlantic filled with CDROMs.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Bandwidth estimation; capacity planning
748,Estimate the bandwidth required to support Spotify.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Bandwidth estimation; capacity planning
749,Estimate the bandwidth requirements for Google Maps.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Bandwidth estimation; capacity planning
760,Estimate the number of Instagram posts per day.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Volume estimation; capacity planning
772,Estimate the time to move 100 petabytes of data from the East Coast to the West Coast.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Data transfer estimation; capacity planning
773,Estimate the total internet bandwidth required for a campus of 1000 graduate students.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Bandwidth estimation; capacity planning
776,Estimate the total storage used by Dropbox.,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Storage estimation; capacity planning
934,"Given a list with response time for each server, calculate how long time it will take to process n requests.",🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Performance calculation; capacity planning
942,"Given a string that doesn't fit into a machine's memory, split it at each space and count the number of spaces.",🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Streaming processing; memory constraints
968,"Given arrays of varying lengths, how would you pad them efficiently?",🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Data preprocessing; efficiency
1183,How many 'likes' happen on Facebook each day?,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Volume estimation; capacity planning
1184,How many 'likes' happen on Instagram each day?,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Volume estimation; capacity planning
1185,How many bikes are needed to launch a bike-sharing service in NYC?,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Capacity estimation; launch planning
1188,How many calls are received per day?,🟡,L2,Scale & Capacity,Current Load → 10× Projection → Bottlenecks → Mitigation,Volume estimation; capacity planning
