question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,salvageable,simple_explanation,bucket
190,Define hallucinations in LLMs.,🔴,N/A,N/A,N/A,Technical definition; ML theory,NO,N/A - Too complex or not relevant,C
233,Describe how the split in a decision tree works.,🔴,N/A,N/A,N/A,ML theory explanation; technical definition,YES,Visit nodes in order (left → root → right or root → left → right). Use recursion or stack,C
783,Explain auto-regression.,🔴,N/A,N/A,N/A,ML theory explanation; technical definition,NO,N/A - Too complex or not relevant,C
785,Explain BERT.,🔴,N/A,N/A,N/A,ML theory explanation; NLP,NO,N/A - Too complex or not relevant,C
786,Explain bias-variance tradeoff.,🔴,N/A,N/A,N/A,ML theory explanation; model evaluation,YES,Bias = too simple (underfitting). Variance = too complex (overfitting). Need balance,C
788,Explain cross entropy.,🔴,N/A,N/A,N/A,ML theory explanation; loss function,NO,N/A - Too complex or not relevant,C
789,Explain cross-validation and testing in logistic regression.,🔴,N/A,N/A,N/A,ML theory explanation; model validation,YES,"Split data into parts. Train on some, test on others. Rotate to check if model works well",C
792,Explain deep reinforcement learning.,🔴,N/A,N/A,N/A,ML theory explanation; RL,NO,N/A - Too complex or not relevant,C
806,Explain how you would fit data using logistic regression.,🔴,N/A,N/A,N/A,ML theory explanation; model fitting,NO,N/A - Too complex or not relevant,C
809,Explain Mask R-CNN.,🔴,N/A,N/A,N/A,ML theory explanation; computer vision,NO,N/A - Too complex or not relevant,C
812,Explain overfitting.,🔴,N/A,N/A,N/A,ML theory explanation; model evaluation,YES,"Model memorizes training data too well, fails on new data. Fix: more data, simpler model, regularization",C
816,Explain regularization.,🔴,N/A,N/A,N/A,ML theory explanation; model optimization,YES,Penalize complex models. Add cost for complexity to prevent overfitting,C
817,Explain semantic segmentation.,🔴,N/A,N/A,N/A,ML theory explanation; computer vision,NO,N/A - Too complex or not relevant,C
818,Explain semi-supervised learning.,🔴,N/A,N/A,N/A,ML theory explanation; learning paradigm,NO,N/A - Too complex or not relevant,C
819,Explain TF-IDF.,🔴,N/A,N/A,N/A,ML theory explanation; NLP,NO,N/A - Too complex or not relevant,C
820,Explain the difference between Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs).,🔴,N/A,N/A,N/A,ML theory explanation; neural networks,YES,CNN = good for images (spatial patterns). RNN = good for sequences (time patterns),C
822,Explain the differences between L1 and L2 regression.,🔴,N/A,N/A,N/A,ML theory explanation; regularization,YES,"Understand the concept, break into steps, use appropriate data structure (hash map, array, tree, etc.)",C
823,Explain the differences between linear and logistic regression.,🔴,N/A,N/A,N/A,ML theory explanation; regression,NO,N/A - Too complex or not relevant,C
824,Explain the differences between LSTM and traditional neural networks.,🔴,N/A,N/A,N/A,ML theory explanation; neural networks,YES,CNN = good for images (spatial patterns). RNN = good for sequences (time patterns),C
828,Explain the differences between ReLU and Sigmoid.,🔴,N/A,N/A,N/A,ML theory explanation; activation functions,NO,N/A - Too complex or not relevant,C
837,Explain the relationship between the log-likelihood loss function for logistic regression and maximum likelihood estimation.,🔴,N/A,N/A,N/A,ML theory explanation; mathematical proof,NO,N/A - Too complex or not relevant,C
843,Explain transformers.,🔴,N/A,N/A,N/A,ML theory explanation; NLP,YES,Attention mechanism: focus on important parts. Like reading - pay attention to key words,C
971,"Given imbalanced training data, how do you prevent overfitting?",🔴,N/A,N/A,N/A,ML theory explanation; model training,YES,"Use a stack - last opened must be first closed. Like stacking plates: last in, first out",C
