question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,salvageable,simple_explanation,bucket
5,A $5 discount coupon is given to N riders. The probability of using a coupon is P. What is the expected cost for the company?,🔴,N/A,N/A,N/A,Math calculation; probability theory,YES,"Expected value = sum of (probability × value). For each outcome, multiply chance by cost, add them up",D
8,A discount coupon is given to N riders. The probability of using a coupon is P. What is the probability that one of the coupons will be used?,🔴,N/A,N/A,N/A,Math calculation; probability theory,YES,Probability = favorable outcomes / total outcomes. Calculate chance of something happening,D
10,A knapsack has a maximum capacity C and there are n items each with weight w[i] and value v[i]. Maximize the knapsack value without exceeding capacity.,🔴,N/A,N/A,N/A,Algorithm puzzle; classic knapsack problem,YES,"DP: For each item, decide take or skip. Build table: capacity × items. Remember best value for each capacity",D
237,Describe the distribution between the 5th and 6th points in an interval from 0 to 1 containing ten uniformly distributed points.,🔴,N/A,N/A,N/A,Math calculation; probability theory,YES,"Distribution = how values are spread. Describe shape: normal (bell curve), skewed, uniform, etc.",D
750,Estimate the circumference of the Earth at the Equator.,🔴,N/A,N/A,N/A,Math calculation; brain teaser,YES,"Break into parts, estimate each, multiply. Show your thinking: assumptions → calculations → answer",D
763,Estimate the number of pieces of candy given out in your city.,🔴,N/A,N/A,N/A,Math estimation; brain teaser,YES,"Break into parts, estimate each, multiply. Show your thinking: assumptions → calculations → answer",D
764,Estimate the number of potholes in continental USA.,🔴,N/A,N/A,N/A,Math estimation; brain teaser,YES,"Break into parts, estimate each, multiply. Show your thinking: assumptions → calculations → answer",D
768,Estimate the number of trees in the city of Delhi.,🔴,N/A,N/A,N/A,Math estimation; brain teaser,YES,Visit nodes in order (left → root → right or root → left → right). Use recursion or stack,D
774,Estimate the total miles run by joggers in Central Park.,🔴,N/A,N/A,N/A,Math estimation; brain teaser,YES,"Break into parts, estimate each, multiply. Show your thinking: assumptions → calculations → answer",D
784,Explain Bayes' theorem.,🔴,N/A,N/A,N/A,Math theory explanation; probability,YES,"Understand the concept, break into steps, use appropriate data structure (hash map, array, tree, etc.)",D
811,Explain normalization and Bayes' theorem.,🔴,N/A,N/A,N/A,ML theory explanation; probability,YES,"Understand the concept, break into steps, use appropriate data structure (hash map, array, tree, etc.)",D
815,Explain prime numbers to a five-year-old.,🔴,N/A,N/A,N/A,Math explanation; brain teaser,NO,N/A - Too complex or not relevant,D
825,Explain the differences between multithreading and multiprocessing.,🔴,N/A,N/A,N/A,Technical explanation; concurrency,NO,N/A - Too complex or not relevant,D
842,Explain tic tac toe end games.,🔴,N/A,N/A,N/A,Game theory explanation; brain teaser,NO,N/A - Too complex or not relevant,D
1163,How does a graphics processing unit (GPU) work?,🔴,N/A,N/A,N/A,Technical explanation; hardware,NO,N/A - Too complex or not relevant,D
1181,How long would 100 cars stopped at a traffic light take to all pass the light?,🔴,N/A,N/A,N/A,Math estimation; brain teaser,NO,N/A - Too complex or not relevant,D
1182,How long would it take to fill an Olympic swimming pool with water from a garden hose?,🔴,N/A,N/A,N/A,Math estimation; brain teaser,NO,N/A - Too complex or not relevant,D
1186,How many bottles of wine are opened per day?,🔴,N/A,N/A,N/A,Math estimation; brain teaser,NO,N/A - Too complex or not relevant,D
1187,How many breaths do we take each day?,🔴,N/A,N/A,N/A,Math estimation; brain teaser,NO,N/A - Too complex or not relevant,D
