question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
1860,Tell me about a machine learning project you worked on and its outcome.,🔴,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),ML project; technical question
1861,Tell me about a machine learning project you worked on.,🔴,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),ML project; technical question
1870,Tell me about a project where you applied the CAP theorem.,🔴,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),System design theory; technical question
1885,Tell me about a system design problem you solved with machine learning.,🔴,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),ML system design; technical question
2119,Tell me about your experience with computer vision.,🔴,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),ML specialization; technical question
2121,Tell me about your experience with Java.,🔴,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),Programming language; technical question
2122,Tell me about your experience with JavaScript.,🔴,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),Programming language; technical question
2123,Tell me about your experience with natural language processing.,🔴,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),ML specialization; technical question
2125,Tell me about your experience with React.,🔴,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),Programming framework; technical question
2126,Tell me about your experience with RxJava.,🔴,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),Programming framework; technical question
2127,Tell me about your experience with TypeScript.,🔴,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),Programming language; technical question
1859,Tell me about a feature you shipped and how you influenced its priority.,🟢,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),Feature prioritization; behavioral question
1873,Tell me about a project where you prioritized the customer.,🟢,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),Customer prioritization; behavioral question
206,"Describe a SaaS pricing and packaging strategy project you managed, detailing the objectives, challenges, methodology, data and tools used, and outcomes.",🟢,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),Pricing strategy case study; behavioral question
1889,Tell me about a technical decision you made and its impact on your project.,🟢,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),Technical decision; tradeoff analysis
246,Describe your experience with board meeting preparation and follow-up.,🟢,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),Board communication; behavioral question
1767,Prepare a presentation about a complex project you led from start to finish.,🟢,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),Project presentation; executive communication
1768,Present a past AI-focused solution that you've worked on.,🟢,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),AI solution presentation; executive communication
1769,Present a recent project with big scale and cross-functional involvement.,🟢,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),Project presentation; executive communication
1770,Present a shipped project you led end-to-end.,🟢,P15C,Experience Storytelling,Situation → Task → Action → Result (STAR),Project presentation; executive communication
