question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,short_answer
11,"A large enterprise customer wants to integrate Sierra, what would you build first and why?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Enterprise customer request; prioritization + strategy,"List Candidates: Identify all options to prioritize. List all features, improvements, or initiatives under consideration. Include: new features, improvements to existing features, technical debt, and foundational work.

Score Each Candidate: Evaluate using RICE framework (Impact × Confidence × Ease). Impact (How big is the upside?): 3 = massive user/business impact, 2 = meaningful but local, 1 = minor improvement. Confidence (How sure are we?): 1.0 = strong data/past proof, 0.7 = some data/informed guess, 0.4 = mostly hypothesis. Ease (How hard is it?): 3 = very easy/quick win, 2 = medium effort, 1 = hard/long-term. For each candidate, assign scores for Impact, Confidence, and Ease.

Compute RICE: Calculate score for each candidate. RICE = Impact × Confidence × Ease. Example: Impact 3 × Confidence 0.9 × Ease 3 = RICE 8.1. Higher RICE score = higher priority. Calculate RICE for all candidates to enable objective comparison.

Rank by RICE Score: Sort candidates from highest to lowest RICE. Top candidates: highest RICE scores get priority. Review the ranking: does it align with strategic goals? Consider adjustments: if strategic importance differs from RICE, note why.

Decide + Communicate: Make clear decisions and explain tradeoffs. What we do first: highest RICE items that maximize impact. What we delay: lower RICE items that can wait for next cycle. Why: explain RICE scores and strategic rationale to stakeholders."
37,"As a member of the product team at Scribe who receives user research indicating some users use the platform to build help centers, explain how you would assess building end-to-end help center functionality?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Feature assessment; user research signal,"List Candidates: Identify all options to prioritize. List all features, improvements, or initiatives under consideration. Include: new features, improvements to existing features, technical debt, and foundational work.

Score Each Candidate: Evaluate using RICE framework (Impact × Confidence × Ease). Impact (How big is the upside?): 3 = massive user/business impact, 2 = meaningful but local, 1 = minor improvement. Confidence (How sure are we?): 1.0 = strong data/past proof, 0.7 = some data/informed guess, 0.4 = mostly hypothesis. Ease (How hard is it?): 3 = very easy/quick win, 2 = medium effort, 1 = hard/long-term. For each candidate, assign scores for Impact, Confidence, and Ease.

Compute RICE: Calculate score for each candidate. RICE = Impact × Confidence × Ease. Example: Impact 3 × Confidence 0.9 × Ease 3 = RICE 8.1. Higher RICE score = higher priority. Calculate RICE for all candidates to enable objective comparison.

Rank by RICE Score: Sort candidates from highest to lowest RICE. Top candidates: highest RICE scores get priority. Review the ranking: does it align with strategic goals? Consider adjustments: if strategic importance differs from RICE, note why.

Decide + Communicate: Make clear decisions and explain tradeoffs. What we do first: highest RICE items that maximize impact. What we delay: lower RICE items that can wait for next cycle. Why: explain RICE scores and strategic rationale to stakeholders."
90,"As a TPM, how would you handle a project with unchanged deliverables but a cut in the time period by half?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Resource constraint; timeline compression,"List Candidates: Identify all options to prioritize. List all options given the resource constraint. Consider: what can be cut, what must stay, and what can be delayed.

Score Each Candidate: Evaluate using RICE framework (Impact × Confidence × Ease). Impact (How big is the upside?): 3 = massive user/business impact, 2 = meaningful but local, 1 = minor improvement. Confidence (How sure are we?): 1.0 = strong data/past proof, 0.7 = some data/informed guess, 0.4 = mostly hypothesis. Ease (How hard is it?): 3 = very easy/quick win, 2 = medium effort, 1 = hard/long-term. For each candidate, assign scores for Impact, Confidence, and Ease.

Compute RICE: Calculate score for each candidate. RICE = Impact × Confidence × Ease. Example: Impact 3 × Confidence 0.9 × Ease 3 = RICE 8.1. Higher RICE score = higher priority. Calculate RICE for all candidates to enable objective comparison.

Rank by RICE Score: Sort candidates from highest to lowest RICE. Top candidates: highest RICE scores get priority. Review the ranking: does it align with strategic goals? Consider adjustments: if strategic importance differs from RICE, note why.

Decide + Communicate: Make clear decisions and explain tradeoffs. What we do first: highest RICE items that fit within constraints. What we delay: lower RICE items that can wait. What we cut: lowest RICE items or items that don't fit constraints. Why: explain the RICE rationale and resource limitations clearly to stakeholders."
92,"As a YouTube PM, how would you evaluate the suggestion to develop a tool for content creators to generate ideas with scripts automatically?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Feature evaluation; creator tools,"List Candidates: Identify all options to prioritize. List all features, improvements, or initiatives under consideration. Include: new features, improvements to existing features, technical debt, and foundational work.

Score Each Candidate: Evaluate using RICE framework (Impact × Confidence × Ease). Impact (How big is the upside?): 3 = massive user/business impact, 2 = meaningful but local, 1 = minor improvement. Confidence (How sure are we?): 1.0 = strong data/past proof, 0.7 = some data/informed guess, 0.4 = mostly hypothesis. Ease (How hard is it?): 3 = very easy/quick win, 2 = medium effort, 1 = hard/long-term. For each candidate, assign scores for Impact, Confidence, and Ease.

Compute RICE: Calculate score for each candidate. RICE = Impact × Confidence × Ease. Example: Impact 3 × Confidence 0.9 × Ease 3 = RICE 8.1. Higher RICE score = higher priority. Calculate RICE for all candidates to enable objective comparison.

Rank by RICE Score: Sort candidates from highest to lowest RICE. Top candidates: highest RICE scores get priority. Review the ranking: does it align with strategic goals? Consider adjustments: if strategic importance differs from RICE, note why.

Decide + Communicate: Make clear decisions and explain tradeoffs. What we do first: highest RICE items that maximize impact. What we delay: lower RICE items that can wait for next cycle. Why: explain RICE scores and strategic rationale to stakeholders."
94,"As an OpenTable PM, how would you prioritize improving the worst post-reservation experiences?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Prioritization; post-reservation UX,"List Candidates: Identify all options to prioritize. List all tasks, projects, or initiatives competing for resources. Include: product roadmap items, engineering tasks, bugs, and leadership requests.

Score Each Candidate: Evaluate using RICE framework (Impact × Confidence × Ease). Impact (How big is the upside?): 3 = massive user/business impact, 2 = meaningful but local, 1 = minor improvement. Confidence (How sure are we?): 1.0 = strong data/past proof, 0.7 = some data/informed guess, 0.4 = mostly hypothesis. Ease (How hard is it?): 3 = very easy/quick win, 2 = medium effort, 1 = hard/long-term. For each candidate, assign scores for Impact, Confidence, and Ease.

Compute RICE: Calculate score for each candidate. RICE = Impact × Confidence × Ease. Example: Impact 3 × Confidence 0.9 × Ease 3 = RICE 8.1. Higher RICE score = higher priority. Calculate RICE for all candidates to enable objective comparison.

Rank by RICE Score: Sort candidates from highest to lowest RICE. Top candidates: highest RICE scores get priority. Review the ranking: does it align with strategic goals? Consider adjustments: if strategic importance differs from RICE, note why.

Decide + Communicate: Make clear decisions and explain tradeoffs. What we do first: highest RICE items that maximize impact. What we delay: lower RICE items that can wait for next cycle. Why: explain RICE scores and strategic rationale to stakeholders."
107,"As the Head of Product for a travel incubator, what would you build?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Product ideation; travel industry,"NSM: Define one North Star metric that best represents user + business value. Choose a single metric that captures both user value and business outcomes.

Input KPIs: Break NSM into 3-5 controllable drivers. User behavior drivers (engagement, activation). Supply/quality drivers (content, inventory, features). Monetization drivers (conversion, retention, LTV).

Leading Indicators: Add early signals that predict NSM movement. Short-term behaviors: first-session actions, early engagement patterns. Funnel entry signals: activation rate, feature discovery. Quality proxies: user satisfaction, retention hooks, content signals.

Guardrails: Define what must NOT break while optimizing NSM. User trust, long-term health, cost/abuse prevention, compliance. Set thresholds that trigger alerts if breached.

Dashboard: Design simple monitoring structure. NSM at top (always visible, weekly trend). Input KPIs (weekly review, track drivers). Leading indicators (daily monitoring, early signals). Guardrails (alerts only, no daily noise)."
111,"As the owner of a supermarket, what would you do after experiencing 500% revenue growth?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Revenue growth; scale planning,"Clarify: Define success metric and target. Current revenue rate? Target growth? Scope: which segments, surfaces, or user types?

Data Check: Rule out instrumentation changes, pipeline delays, or denominator shifts. Confirm measurement is accurate and not inflated by bots or data quality issues.

Segment: Slice by platform (iOS/Android/Web), geography, user cohort (new vs returning), funnel step, acquisition channel, and user segment to find the hot spot.

Hypothesize: Search relevance, pricing optimization, trust signals, supply quality, feature adoption, or user experience improvements.

Validate: Check correlation with launches, counter-metrics, funnel drop-offs, and test hypotheses with A/B tests or targeted experiments. Compare conversion rates by segment.

Action: Focus on highest-impact segments. Implement fixes: improve search/ranking, optimize pricing, add trust signals, or enhance UX. Measure impact and iterate."
112,"As the PM at Airbnb, how would you enhance the discovery of listings over the next six months?",🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Discovery improvement; listing optimization,"Clarify: Define success metric and target. Scope: which segments, surfaces, or user types?

Data Check: Rule out instrumentation changes, pipeline delays, or denominator shifts. Confirm measurement is accurate and not inflated by bots or data quality issues.

Segment: Slice by platform (iOS/Android/Web), geography, user cohort (new vs returning), funnel step, acquisition channel, and user segment to find the hot spot.

Hypothesize: Search relevance, pricing optimization, trust signals, supply quality, feature adoption, or user experience improvements.

Validate: Check correlation with launches, counter-metrics, funnel drop-offs, and test hypotheses with A/B tests or targeted experiments. Compare conversion rates by segment.

Action: Focus on highest-impact segments. Implement fixes: improve search/ranking, optimize pricing, add trust signals, or enhance UX. Measure impact and iterate."
158,Choose a product and tell me how you would prioritize new features for it.,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Feature prioritization; product strategy,"List Candidates: Identify all options to prioritize. List all features, improvements, or initiatives under consideration. Include: new features, improvements to existing features, technical debt, and foundational work.

Score Each Candidate: Evaluate using RICE framework (Impact × Confidence × Ease). Impact (How big is the upside?): 3 = massive user/business impact, 2 = meaningful but local, 1 = minor improvement. Confidence (How sure are we?): 1.0 = strong data/past proof, 0.7 = some data/informed guess, 0.4 = mostly hypothesis. Ease (How hard is it?): 3 = very easy/quick win, 2 = medium effort, 1 = hard/long-term. For each candidate, assign scores for Impact, Confidence, and Ease.

Compute RICE: Calculate score for each candidate. RICE = Impact × Confidence × Ease. Example: Impact 3 × Confidence 0.9 × Ease 3 = RICE 8.1. Higher RICE score = higher priority. Calculate RICE for all candidates to enable objective comparison.

Rank by RICE Score: Sort candidates from highest to lowest RICE. Top candidates: highest RICE scores get priority. Review the ranking: does it align with strategic goals? Consider adjustments: if strategic importance differs from RICE, note why.

Decide + Communicate: Make clear decisions and explain tradeoffs. What we do first: highest RICE items that maximize impact. What we delay: lower RICE items that can wait for next cycle. Why: explain RICE scores and strategic rationale to stakeholders."
160,Choose your favorite product and explain how you would improve it.,🟢,P6,Prioritization,Impact × Confidence × Ease → RICE Score → Decide + Communicate,Product improvement; optimization,"Clarify: Define success metric and target. Scope: which segments, surfaces, or user types?

Data Check: Rule out instrumentation changes, pipeline delays, or denominator shifts. Confirm measurement is accurate and not inflated by bots or data quality issues.

Segment: Slice by platform (iOS/Android/Web), geography, user cohort (new vs returning), funnel step, acquisition channel, and user segment to find the hot spot.

Hypothesize: Search relevance, pricing optimization, trust signals, supply quality, feature adoption, or user experience improvements.

Validate: Check correlation with launches, counter-metrics, funnel drop-offs, and test hypotheses with A/B tests or targeted experiments. Compare conversion rates by segment.

Action: Focus on highest-impact segments. Implement fixes: improve search/ranking, optimize pricing, add trust signals, or enhance UX. Measure impact and iterate."
