question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,design_subtype
50,"As a PM at Netflix, design something for kids.",🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; kids focus,P13B_Digital_Consumer
277,Design a chess board and a Netflix recommendation engine.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; mixed question,P13B_Digital_Consumer
375,Design a new feature for YouTube.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature design; video platform,P13B_Digital_Consumer
397,Design a podcast platform.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; podcast platform,P13B_Digital_Consumer
408,Design a product for collaborative audio transcription and dubbing tool?,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; audio tools,P13B_Digital_Consumer
418,Design a product for learning to play musical instruments.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; education,P13B_Digital_Consumer
438,Design a product that helps people learn to play musical instruments.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; music education,P13B_Digital_Consumer
494,Design a streaming service like Netflix.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; streaming service,P13B_Digital_Consumer
536,Design a video streaming app for senior citizens.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; video streaming for seniors,P13B_Digital_Consumer
537,Design a video streaming product for senior citizens.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; video streaming for seniors,P13B_Digital_Consumer
554,Design Amazon Prime video.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; streaming service,P13B_Digital_Consumer
601,Design an educational product for YouTube.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; education platform,P13B_Digital_Consumer
656,Design Netflix for dogs.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; streaming for pets,P13B_Digital_Consumer
657,Design Netflix for kids.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; streaming for kids,P13B_Digital_Consumer
667,Design the 'Top Picks' feature for Netflix.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature design; recommendation,P13B_Digital_Consumer
676,Design the Netflix ads platform.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; ad platform,P13B_Digital_Consumer
691,Design YouTube advertising.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; ad platform,P13B_Digital_Consumer
1302,How would you design a game for a popular Netflix reality show?,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; game design,
1312,How would you design the YouTube landing page?,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; UX design,
2194,What are 4 features you would build for Netflix?,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature ideation; product design,
2659,"You are a PM at Netflix, design a podcast for Netflix.",🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; new product,
2747,You're a PM at Meta. Design a product for musicians.,🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design,
2811,"You're a PM for Max, HBO's video streaming service. Roku wants to include an HBO button on their new remote control. How much should HBO pay for this feature?",🟢,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design,
439,Design a product that provides podcast recommendations.,🟡,P13B_Content_Media,Consumer Platforms - Content/Media,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,System design; recommendation system,
