question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
2884,"Your largest customer is advocating for a new feature not in your roadmap. What do you do?",🟢,P6,Prioritization,"Impact × Confidence × Ease → RICE Score → Decide + Communicate","Customer advocacy = high signal but check broader impact"
2885,"Your recently launched feature isn't meeting customer expectations, but your engineering team and roadmap are at capacity. How would you address this?",🟢,P6,Prioritization,"Assess Gap → Quick Wins vs Deep Fix → Resource Trade-off → Decide","Capacity constraint = force rank ruthlessly"
2886,"YouTube's average video buffering time has increased by 10%. How would you address this issue?",🟢,P1,Metric Drop Diagnosis,"Clarify Metric → Segment (geo/device/content) → Hypothesize → Data Check → Action","Latency metric; likely infra or CDN issue"
2887,"You're a PM at CarGurus. You launched in Canada 8 months ago and conversions are lower in Canada than the US. What would you do?",🟢,P1,Metric Drop Diagnosis,"Clarify Metric → Segment (Canada vs US) → Hypothesize (product-market fit) → Validate → Fix","Geographic comparison = localization or market fit"
2888,"You're asked to identify high-value customers—how would you approach this using data?",🟢,P5,Segmentation,"(Persona × Behavior × Value) → Rank → Focus Top Segments","Value = LTV or revenue proxy"
2889,"You're given product adoption data across regions—how would you determine where the rollout was most successful and why?",🟢,P5,Segmentation,"Define Success Metric → Segment by Region → Compare → Root Cause (why) → Replicate","Regional comparison = look for adoption patterns"
2890,"You're launching a new feature—how would you measure its strategic impact on growth?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Growth impact = tie to business goal clearly"
2891,"You're told engagement is flat even though new users are increasing—what questions would you ask and what data would you look at?",🟢,P1,Metric Drop Diagnosis,"Clarify Engagement → Cohort Analysis (new vs old) → Activation vs Retention → Diagnose","Flat engagement + new users = activation or dilution issue"
2892,"You've been asked to analyze the performance of a newly launched onboarding experience. What steps would you take?",🟢,P3,Funnel Analysis,"Define Funnel Steps → Measure Drop-off → Identify Friction → Hypothesize Fix → Test","Onboarding = activation funnel; focus on biggest drop"
2893,"You've joined a program that has gone through many changes. How would you restructure it to get it back on track?",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Program recovery = stabilize then optimize"
