question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,design_subtype
32,"As a Google PM, how would you design a solution to enhance financial savviness for users?",🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; financial education,P13B_Digital_Consumer
38,"As a PM at a teleconferencing company, design a product for working from home.",🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; WFH focus,P13B_Digital_Consumer
70,"As a PM for the health team at Meta, design a product for tissue donation.",🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; healthcare focus,P13B_Digital_Consumer
126,"Based on the latest AI news, what ideas do you have that are one step beyond what exists today?",🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product ideation; AI innovation,P13B_Digital_Consumer
127,Brainstorm a product idea with the help of AI.,🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product ideation; AI-assisted brainstorming,P13B_Digital_Consumer
134,Build a product for art lovers.,🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product ideation; art platform,P13B_Digital_Consumer
136,Build a table management system.,🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; restaurant system,P13B_Digital_Consumer
138,Build your own customer service AI agent for a hypothetical outdoors company.,🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; AI customer service,P13B_Digital_Consumer
180,Create an app to increase reading.,🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product ideation; reading app,P13B_Digital_Consumer
253,Design a 'maker-checker' feature in a finance platform where each manual action requires two individuals: the executor and the approver.,🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Feature design; finance platform,P13B_Digital_Consumer
255,Design a banking app for kids.,🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; banking for kids,P13B_Digital_Consumer
260,Design a better experience for attending large events. How would you implement and test it? What would the user experience look like?,🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; event experience,P13B_Digital_Consumer
263,Design a bike program for Google's Mountain View campus.,🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; campus program,P13B_Digital_Consumer
266,Design a birthday app.,🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; birthday app,P13B_Digital_Consumer
271,Design a camera for the elderly.,🟢,P13B_General,Consumer Platforms - General,Users → Jobs → Core Loop → Key Features → Tradeoffs → Success Metrics,Product design; camera for elderly,P13B_Digital_Consumer
