question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,short_answer
41,"As a PM at Amazon, how would you decide if the company should enter the smartphone market?",🟢,P7,Tradeoff Framing,Define Options → Winners/Losers → Guardrails → Decide + Communicate,Market entry decision; strategic tradeoff,"Define Options: Clearly state the choices. Option A: Enter the market / expand. Option B: Stay focused / don't enter. Consider: timing, resources, competitive landscape.

Winners / Losers: Analyze impact by stakeholder for each option. For each option, evaluate: Users: who benefits, who loses, experience impact. Business: revenue impact, cost impact, strategic value. Engineering / Ops: effort, complexity, maintenance burden. Long-term Strategy: competitive position, market dynamics, future flexibility. Be explicit about tradeoffs: what each option gains and gives up.

Guardrails: Define non-negotiables and constraints. Must not break: brand reputation, core business, financial health. Must stay within: budget, resource capacity, risk tolerance. Must protect: existing customers, competitive position, long-term viability.

Decide + Communicate: Make clear decision and explain rationale. Pick option: choose based on winners/losers analysis and guardrails. Why this option: explain primary rationale (revenue, user value, strategic fit). What we're giving up: acknowledge tradeoffs explicitly. How we'll monitor risk: define metrics to track guardrails and success. Communicate clearly: explain decision, tradeoffs, and monitoring plan to stakeholders."
46,"As a PM at Meta, how would you make users feel less guilty about using Instagram while also increasing revenue?",🟢,P7,Tradeoff Framing,Define Options → Winners/Losers → Guardrails → Decide + Communicate,Dual objective; user wellbeing vs revenue tradeoff,"Define Options: Clearly state the choices. Option A: Introduce monetization (ads, premium, etc.). Option B: Keep free / current model. Consider: user experience, revenue potential, market position.

Winners / Losers: Analyze impact by stakeholder for each option. For each option, evaluate: Users: who benefits, who loses, experience impact. Business: revenue impact, cost impact, strategic value. Engineering / Ops: effort, complexity, maintenance burden. Long-term Strategy: competitive position, market dynamics, future flexibility. Be explicit about tradeoffs: what each option gains and gives up.

Guardrails: Define non-negotiables and constraints. Must not break: user trust, core experience, brand integrity. Must stay within: acceptable UX degradation, user expectations. Must protect: user privacy, data security, long-term relationship.

Decide + Communicate: Make clear decision and explain rationale. Pick option: choose based on winners/losers analysis and guardrails. Why this option: explain primary rationale (revenue, user value, strategic fit). What we're giving up: acknowledge tradeoffs explicitly. How we'll monitor risk: define metrics to track guardrails and success. Communicate clearly: explain decision, tradeoffs, and monitoring plan to stakeholders."
54,"As a PM at Uber in 2015, how would you decide whether to implement cash payments?",🟢,P7,Tradeoff Framing,Define Options → Winners/Losers → Guardrails → Decide + Communicate,Payment method tradeoff; emerging market consideration,"Define Options: Clearly state the choices. Option A: Launch / implement the feature. Option B: Don't launch / delay. Consider: user need, effort, strategic fit.

Winners / Losers: Analyze impact by stakeholder for each option. For each option, evaluate: Users: who benefits, who loses, experience impact. Business: revenue impact, cost impact, strategic value. Engineering / Ops: effort, complexity, maintenance burden. Long-term Strategy: competitive position, market dynamics, future flexibility. Be explicit about tradeoffs: what each option gains and gives up.

Guardrails: Define non-negotiables and constraints. Must not break: core product experience, user trust, performance. Must stay within: technical constraints, resource limits. Must protect: user data, platform stability, strategic goals.

Decide + Communicate: Make clear decision and explain rationale. Pick option: choose based on winners/losers analysis and guardrails. Why this option: explain primary rationale (revenue, user value, strategic fit). What we're giving up: acknowledge tradeoffs explicitly. How we'll monitor risk: define metrics to track guardrails and success. Communicate clearly: explain decision, tradeoffs, and monitoring plan to stakeholders."
56,"As a PM at Zomato, how would you decide if Zomato should integrate with Amazon Alexa?",🟢,P7,Tradeoff Framing,Define Options → Winners/Losers → Guardrails → Decide + Communicate,Integration decision; voice platform,"Define Options: Clearly state the choices. Option A: First choice / approach. Option B: Alternative choice / approach. Option C: Third option if applicable. Clearly define what each option entails.

Winners / Losers: Analyze impact by stakeholder for each option. For each option, evaluate: Users: who benefits, who loses, experience impact. Business: revenue impact, cost impact, strategic value. Engineering / Ops: effort, complexity, maintenance burden. Long-term Strategy: competitive position, market dynamics, future flexibility. Be explicit about tradeoffs: what each option gains and gives up.

Guardrails: Define non-negotiables and constraints. Must not break: core user experience, business fundamentals, trust. Must stay within: resource constraints, risk tolerance, strategic boundaries. Must protect: key stakeholders, long-term goals, competitive position.

Decide + Communicate: Make clear decision and explain rationale. Pick option: choose based on winners/losers analysis and guardrails. Why this option: explain primary rationale (revenue, user value, strategic fit). What we're giving up: acknowledge tradeoffs explicitly. How we'll monitor risk: define metrics to track guardrails and success. Communicate clearly: explain decision, tradeoffs, and monitoring plan to stakeholders."
58,"As a PM for an automotive company interested in exploring the generative AI space, how would you evaluate whether this technology is suitable and beneficial for the business?",🟢,P7,Tradeoff Framing,Define Options → Winners/Losers → Guardrails → Decide + Communicate,Technology evaluation; AI adoption decision,"Define Options: Clearly state the choices. Option A: First choice / approach. Option B: Alternative choice / approach. Option C: Third option if applicable. Clearly define what each option entails.

Winners / Losers: Analyze impact by stakeholder for each option. For each option, evaluate: Users: who benefits, who loses, experience impact. Business: revenue impact, cost impact, strategic value. Engineering / Ops: effort, complexity, maintenance burden. Long-term Strategy: competitive position, market dynamics, future flexibility. Be explicit about tradeoffs: what each option gains and gives up.

Guardrails: Define non-negotiables and constraints. Must not break: core user experience, business fundamentals, trust. Must stay within: resource constraints, risk tolerance, strategic boundaries. Must protect: key stakeholders, long-term goals, competitive position.

Decide + Communicate: Make clear decision and explain rationale. Pick option: choose based on winners/losers analysis and guardrails. Why this option: explain primary rationale (revenue, user value, strategic fit). What we're giving up: acknowledge tradeoffs explicitly. How we'll monitor risk: define metrics to track guardrails and success. Communicate clearly: explain decision, tradeoffs, and monitoring plan to stakeholders."
72,"As a PM for Uber when it was a ride-hailing app, would you expand into Uber Eats?",🟢,P7,Tradeoff Framing,Define Options → Winners/Losers → Guardrails → Decide + Communicate,Market expansion decision; strategic tradeoff,"Define Options: Clearly state the choices. Option A: Enter the market / expand. Option B: Stay focused / don't enter. Consider: timing, resources, competitive landscape.

Winners / Losers: Analyze impact by stakeholder for each option. For each option, evaluate: Users: who benefits, who loses, experience impact. Business: revenue impact, cost impact, strategic value. Engineering / Ops: effort, complexity, maintenance burden. Long-term Strategy: competitive position, market dynamics, future flexibility. Be explicit about tradeoffs: what each option gains and gives up.

Guardrails: Define non-negotiables and constraints. Must not break: brand reputation, core business, financial health. Must stay within: budget, resource capacity, risk tolerance. Must protect: existing customers, competitive position, long-term viability.

Decide + Communicate: Make clear decision and explain rationale. Pick option: choose based on winners/losers analysis and guardrails. Why this option: explain primary rationale (revenue, user value, strategic fit). What we're giving up: acknowledge tradeoffs explicitly. How we'll monitor risk: define metrics to track guardrails and success. Communicate clearly: explain decision, tradeoffs, and monitoring plan to stakeholders."
79,"As a Product Manager at TikTok, how would you address user concerns regarding the platform's algorithms being excessively addictive?",🟢,P7,Tradeoff Framing,Define Options → Winners/Losers → Guardrails → Decide + Communicate,User wellbeing vs engagement tradeoff,"Define Options: Clearly state the choices. Option A: Launch / implement the feature. Option B: Don't launch / delay. Consider: user need, effort, strategic fit.

Winners / Losers: Analyze impact by stakeholder for each option. For each option, evaluate: Users: who benefits, who loses, experience impact. Business: revenue impact, cost impact, strategic value. Engineering / Ops: effort, complexity, maintenance burden. Long-term Strategy: competitive position, market dynamics, future flexibility. Be explicit about tradeoffs: what each option gains and gives up.

Guardrails: Define non-negotiables and constraints. Must not break: core product experience, user trust, performance. Must stay within: technical constraints, resource limits. Must protect: user data, platform stability, strategic goals.

Decide + Communicate: Make clear decision and explain rationale. Pick option: choose based on winners/losers analysis and guardrails. Why this option: explain primary rationale (revenue, user value, strategic fit). What we're giving up: acknowledge tradeoffs explicitly. How we'll monitor risk: define metrics to track guardrails and success. Communicate clearly: explain decision, tradeoffs, and monitoring plan to stakeholders."
125,Azure provides HPC and wants to maximize its usage in the energy sector. What would be your strategy to ensure all energy sector clients move to HPC instead of AWS services?,🟢,P7,Tradeoff Framing,Define Options → Winners/Losers → Guardrails → Decide + Communicate,Market displacement strategy; cloud migration,"Define Options: Clearly state the choices. Option A: First choice / approach. Option B: Alternative choice / approach. Option C: Third option if applicable. Clearly define what each option entails.

Winners / Losers: Analyze impact by stakeholder for each option. For each option, evaluate: Users: who benefits, who loses, experience impact. Business: revenue impact, cost impact, strategic value. Engineering / Ops: effort, complexity, maintenance burden. Long-term Strategy: competitive position, market dynamics, future flexibility. Be explicit about tradeoffs: what each option gains and gives up.

Guardrails: Define non-negotiables and constraints. Must not break: core user experience, business fundamentals, trust. Must stay within: resource constraints, risk tolerance, strategic boundaries. Must protect: key stakeholders, long-term goals, competitive position.

Decide + Communicate: Make clear decision and explain rationale. Pick option: choose based on winners/losers analysis and guardrails. Why this option: explain primary rationale (revenue, user value, strategic fit). What we're giving up: acknowledge tradeoffs explicitly. How we'll monitor risk: define metrics to track guardrails and success. Communicate clearly: explain decision, tradeoffs, and monitoring plan to stakeholders."
151,"Can you provide an example of a strategy you developed to address a technology gap at your company, and explain how you decided between build, buy, or partnership?",🟢,P7,Tradeoff Framing,Define Options → Winners/Losers → Guardrails → Decide + Communicate,Build vs buy vs partner; strategic decision,"Define Options: Clearly state the choices. Option A: Launch / implement the feature. Option B: Don't launch / delay. Consider: user need, effort, strategic fit.

Winners / Losers: Analyze impact by stakeholder for each option. For each option, evaluate: Users: who benefits, who loses, experience impact. Business: revenue impact, cost impact, strategic value. Engineering / Ops: effort, complexity, maintenance burden. Long-term Strategy: competitive position, market dynamics, future flexibility. Be explicit about tradeoffs: what each option gains and gives up.

Guardrails: Define non-negotiables and constraints. Must not break: core product experience, user trust, performance. Must stay within: technical constraints, resource limits. Must protect: user data, platform stability, strategic goals.

Decide + Communicate: Make clear decision and explain rationale. Pick option: choose based on winners/losers analysis and guardrails. Why this option: explain primary rationale (revenue, user value, strategic fit). What we're giving up: acknowledge tradeoffs explicitly. How we'll monitor risk: define metrics to track guardrails and success. Communicate clearly: explain decision, tradeoffs, and monitoring plan to stakeholders."
178,Create a product strategy to displace MS Teams with Slack.,🟢,P7,Tradeoff Framing,Define Options → Winners/Losers → Guardrails → Decide + Communicate,Market displacement; competitive strategy,"Define Options: Clearly state the choices. Option A: First choice / approach. Option B: Alternative choice / approach. Option C: Third option if applicable. Clearly define what each option entails.

Winners / Losers: Analyze impact by stakeholder for each option. For each option, evaluate: Users: who benefits, who loses, experience impact. Business: revenue impact, cost impact, strategic value. Engineering / Ops: effort, complexity, maintenance burden. Long-term Strategy: competitive position, market dynamics, future flexibility. Be explicit about tradeoffs: what each option gains and gives up.

Guardrails: Define non-negotiables and constraints. Must not break: core user experience, business fundamentals, trust. Must stay within: resource constraints, risk tolerance, strategic boundaries. Must protect: key stakeholders, long-term goals, competitive position.

Decide + Communicate: Make clear decision and explain rationale. Pick option: choose based on winners/losers analysis and guardrails. Why this option: explain primary rationale (revenue, user value, strategic fit). What we're giving up: acknowledge tradeoffs explicitly. How we'll monitor risk: define metrics to track guardrails and success. Communicate clearly: explain decision, tradeoffs, and monitoring plan to stakeholders."
325,Design a free product. How would you monetize it?,🟢,P7,Tradeoff Framing,Define Options → Winners/Losers → Guardrails → Decide + Communicate,Monetization strategy; freemium model,"Define Options: Clearly state the choices. Option A: Introduce monetization (ads, premium, etc.). Option B: Keep free / current model. Consider: user experience, revenue potential, market position.

Winners / Losers: Analyze impact by stakeholder for each option. For each option, evaluate: Users: who benefits, who loses, experience impact. Business: revenue impact, cost impact, strategic value. Engineering / Ops: effort, complexity, maintenance burden. Long-term Strategy: competitive position, market dynamics, future flexibility. Be explicit about tradeoffs: what each option gains and gives up.

Guardrails: Define non-negotiables and constraints. Must not break: user trust, core experience, brand integrity. Must stay within: acceptable UX degradation, user expectations. Must protect: user privacy, data security, long-term relationship.

Decide + Communicate: Make clear decision and explain rationale. Pick option: choose based on winners/losers analysis and guardrails. Why this option: explain primary rationale (revenue, user value, strategic fit). What we're giving up: acknowledge tradeoffs explicitly. How we'll monitor risk: define metrics to track guardrails and success. Communicate clearly: explain decision, tradeoffs, and monitoring plan to stakeholders."
493,Design a strategy for Google to enter the TV business.,🟢,P7,Tradeoff Framing,Define Options → Winners/Losers → Guardrails → Decide + Communicate,Market entry strategy; TV business,"Define Options: Clearly state the choices. Option A: Enter the market / expand. Option B: Stay focused / don't enter. Consider: timing, resources, competitive landscape.

Winners / Losers: Analyze impact by stakeholder for each option. For each option, evaluate: Users: who benefits, who loses, experience impact. Business: revenue impact, cost impact, strategic value. Engineering / Ops: effort, complexity, maintenance burden. Long-term Strategy: competitive position, market dynamics, future flexibility. Be explicit about tradeoffs: what each option gains and gives up.

Guardrails: Define non-negotiables and constraints. Must not break: brand reputation, core business, financial health. Must stay within: budget, resource capacity, risk tolerance. Must protect: existing customers, competitive position, long-term viability.

Decide + Communicate: Make clear decision and explain rationale. Pick option: choose based on winners/losers analysis and guardrails. Why this option: explain primary rationale (revenue, user value, strategic fit). What we're giving up: acknowledge tradeoffs explicitly. How we'll monitor risk: define metrics to track guardrails and success. Communicate clearly: explain decision, tradeoffs, and monitoring plan to stakeholders."
