question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,short_answer
61,"As a PM for Instacart, what potential issues do you foresee after a customer places an order?",🟡,L11,Risk Mitigation,Enumerate Risks → Blast Radius → Mitigations → Monitor,Risk enumeration; operational issues,"Enumerate Risks: List all potential risks before judging. Technical: bugs, downtime, data loss, performance degradation, system failures. Data: quality issues, drift, leakage, bias, completeness, freshness. Operational: on-call load, handoffs, manual processes, capacity limits. Legal / Compliance: PII exposure, regulatory violations, privacy breaches. Business: revenue loss, user trust erosion, reputation damage, competitive disadvantage. Rule: If you can't name it, you can't manage it. Be comprehensive: don't skip categories.

Assess Blast Radius: Evaluate how bad each risk is. Users affected: 1% vs 100%, specific segments vs all users. Duration: minutes vs hours vs weeks, temporary vs permanent. Reversibility: easy rollback vs permanent damage, recoverable vs irreversible. Visibility: internal vs public, contained vs widespread. Output: Risk = Probability × Impact. Rank risks: High impact + high probability → critical. High impact + low probability → plan for. Low impact + high probability → automate handling. Low impact + low probability → accept.

Mitigate: Reduce impact or probability of risks. Prevent: guardrails, validation, limits, access controls. Detect: monitoring, alerts, anomaly detection, early warning systems. Contain: rate limits, feature flags, circuit breakers, isolation. Recover: rollback procedures, backups, runbooks, incident response. Layered approach: multiple mitigations for high-risk items. Remember: You don't eliminate risk — you bound it.

Monitor: Assume failure will happen and prepare detection. Early warning metrics: leading indicators that predict problems. Alert thresholds: when to trigger alerts, escalation criteria. Clear owner + escalation path: who responds, how to escalate. Detection speed matters more than perfection. Output: 'If X happens, we detect in Y mins and recover in Z.' Test monitoring: verify alerts work, runbooks are current, owners are reachable."
796,Explain how LLMs might be susceptible to adversarial attacks.,🟡,L11,Risk Mitigation,Enumerate Risks → Blast Radius → Mitigations → Monitor,Security explanation; risk analysis,"Enumerate Risks: List all potential risks before judging. Technical: bugs, downtime, data loss, performance degradation, system failures. Data: quality issues, drift, leakage, bias, completeness, freshness. Operational: on-call load, handoffs, manual processes, capacity limits. Legal / Compliance: PII exposure, regulatory violations, privacy breaches. Business: revenue loss, user trust erosion, reputation damage, competitive disadvantage. AI-specific: model drift, bias, adversarial attacks, hallucination, misuse. Rule: If you can't name it, you can't manage it. Be comprehensive: don't skip categories.

Assess Blast Radius: Evaluate how bad each risk is. Users affected: 1% vs 100%, specific segments vs all users. Duration: minutes vs hours vs weeks, temporary vs permanent. Reversibility: easy rollback vs permanent damage, recoverable vs irreversible. Visibility: internal vs public, contained vs widespread. Output: Risk = Probability × Impact. Rank risks: High impact + high probability → critical. High impact + low probability → plan for. Low impact + high probability → automate handling. Low impact + low probability → accept.

Mitigate: Reduce impact or probability of risks. Prevent: guardrails, validation, limits, access controls. Detect: monitoring, alerts, anomaly detection, early warning systems. Contain: rate limits, feature flags, circuit breakers, isolation. Recover: rollback procedures, backups, runbooks, incident response. AI-specific: shadow deploys, canary rollouts, drift monitoring, bias testing, output filtering. Layered approach: multiple mitigations for high-risk items. Remember: You don't eliminate risk — you bound it.

Monitor: Assume failure will happen and prepare detection. Early warning metrics: leading indicators that predict problems. Alert thresholds: when to trigger alerts, escalation criteria. Clear owner + escalation path: who responds, how to escalate. Detection speed matters more than perfection. Output: 'If X happens, we detect in Y mins and recover in Z.' Test monitoring: verify alerts work, runbooks are current, owners are reachable."
1026,How can we prevent users under 18 years old from lying about their age during signup?,🟡,L11,Risk Mitigation,Enumerate Risks → Blast Radius → Mitigations → Monitor,Age verification; risk mitigation,"Enumerate Risks: List all potential risks before judging. Technical: bugs, downtime, data loss, performance degradation, system failures. Data: quality issues, drift, leakage, bias, completeness, freshness. Operational: on-call load, handoffs, manual processes, capacity limits. Legal / Compliance: PII exposure, regulatory violations, privacy breaches. Business: revenue loss, user trust erosion, reputation damage, competitive disadvantage. Rule: If you can't name it, you can't manage it. Be comprehensive: don't skip categories.

Assess Blast Radius: Evaluate how bad each risk is. Users affected: 1% vs 100%, specific segments vs all users. Duration: minutes vs hours vs weeks, temporary vs permanent. Reversibility: easy rollback vs permanent damage, recoverable vs irreversible. Visibility: internal vs public, contained vs widespread. Output: Risk = Probability × Impact. Rank risks: High impact + high probability → critical. High impact + low probability → plan for. Low impact + high probability → automate handling. Low impact + low probability → accept.

Mitigate: Reduce impact or probability of risks. Prevent: guardrails, validation, limits, access controls. Detect: monitoring, alerts, anomaly detection, early warning systems. Contain: rate limits, feature flags, circuit breakers, isolation. Recover: rollback procedures, backups, runbooks, incident response. Layered approach: multiple mitigations for high-risk items. Remember: You don't eliminate risk — you bound it.

Monitor: Assume failure will happen and prepare detection. Early warning metrics: leading indicators that predict problems. Alert thresholds: when to trigger alerts, escalation criteria. Clear owner + escalation path: who responds, how to escalate. Detection speed matters more than perfection. Output: 'If X happens, we detect in Y mins and recover in Z.' Test monitoring: verify alerts work, runbooks are current, owners are reachable."
1116,How do you identify and account for risks in a program?,🟡,L11,Risk Mitigation,Enumerate Risks → Blast Radius → Mitigations → Monitor,Risk management; program management,"Enumerate Risks: List all potential risks before judging. Technical: bugs, downtime, data loss, performance degradation, system failures. Data: quality issues, drift, leakage, bias, completeness, freshness. Operational: on-call load, handoffs, manual processes, capacity limits. Legal / Compliance: PII exposure, regulatory violations, privacy breaches. Business: revenue loss, user trust erosion, reputation damage, competitive disadvantage. Rule: If you can't name it, you can't manage it. Be comprehensive: don't skip categories.

Assess Blast Radius: Evaluate how bad each risk is. Users affected: 1% vs 100%, specific segments vs all users. Duration: minutes vs hours vs weeks, temporary vs permanent. Reversibility: easy rollback vs permanent damage, recoverable vs irreversible. Visibility: internal vs public, contained vs widespread. Output: Risk = Probability × Impact. Rank risks: High impact + high probability → critical. High impact + low probability → plan for. Low impact + high probability → automate handling. Low impact + low probability → accept.

Mitigate: Reduce impact or probability of risks. Prevent: guardrails, validation, limits, access controls. Detect: monitoring, alerts, anomaly detection, early warning systems. Contain: rate limits, feature flags, circuit breakers, isolation. Recover: rollback procedures, backups, runbooks, incident response. Layered approach: multiple mitigations for high-risk items. Remember: You don't eliminate risk — you bound it.

Monitor: Assume failure will happen and prepare detection. Early warning metrics: leading indicators that predict problems. Alert thresholds: when to trigger alerts, escalation criteria. Clear owner + escalation path: who responds, how to escalate. Detection speed matters more than perfection. Output: 'If X happens, we detect in Y mins and recover in Z.' Test monitoring: verify alerts work, runbooks are current, owners are reachable."
1120,How do you keep users' data safe and private when building AI systems?,🟡,L11,Risk Mitigation,Enumerate Risks → Blast Radius → Mitigations → Monitor,Data privacy; risk mitigation,"Enumerate Risks: List all potential risks before judging. Technical: bugs, downtime, data loss, performance degradation, system failures. Data: quality issues, drift, leakage, bias, completeness, freshness. Operational: on-call load, handoffs, manual processes, capacity limits. Legal / Compliance: PII exposure, regulatory violations, privacy breaches. Business: revenue loss, user trust erosion, reputation damage, competitive disadvantage. AI-specific: model drift, bias, adversarial attacks, hallucination, misuse. Rule: If you can't name it, you can't manage it. Be comprehensive: don't skip categories.

Assess Blast Radius: Evaluate how bad each risk is. Users affected: 1% vs 100%, specific segments vs all users. Duration: minutes vs hours vs weeks, temporary vs permanent. Reversibility: easy rollback vs permanent damage, recoverable vs irreversible. Visibility: internal vs public, contained vs widespread. Output: Risk = Probability × Impact. Rank risks: High impact + high probability → critical. High impact + low probability → plan for. Low impact + high probability → automate handling. Low impact + low probability → accept.

Mitigate: Reduce impact or probability of risks. Prevent: guardrails, validation, limits, access controls. Detect: monitoring, alerts, anomaly detection, early warning systems. Contain: rate limits, feature flags, circuit breakers, isolation. Recover: rollback procedures, backups, runbooks, incident response. AI-specific: shadow deploys, canary rollouts, drift monitoring, bias testing, output filtering. Data-specific: encryption, access controls, audit logs, data minimization, anonymization. Layered approach: multiple mitigations for high-risk items. Remember: You don't eliminate risk — you bound it.

Monitor: Assume failure will happen and prepare detection. Early warning metrics: leading indicators that predict problems. Alert thresholds: when to trigger alerts, escalation criteria. Clear owner + escalation path: who responds, how to escalate. Detection speed matters more than perfection. Output: 'If X happens, we detect in Y mins and recover in Z.' Test monitoring: verify alerts work, runbooks are current, owners are reachable."
1131,How do you mitigate risk on high-visibility projects?,🟡,L11,Risk Mitigation,Enumerate Risks → Blast Radius → Mitigations → Monitor,Risk mitigation; project management,"Enumerate Risks: List all potential risks before judging. Technical: bugs, downtime, data loss, performance degradation, system failures. Data: quality issues, drift, leakage, bias, completeness, freshness. Operational: on-call load, handoffs, manual processes, capacity limits. Legal / Compliance: PII exposure, regulatory violations, privacy breaches. Business: revenue loss, user trust erosion, reputation damage, competitive disadvantage. Rule: If you can't name it, you can't manage it. Be comprehensive: don't skip categories.

Assess Blast Radius: Evaluate how bad each risk is. Users affected: 1% vs 100%, specific segments vs all users. Duration: minutes vs hours vs weeks, temporary vs permanent. Reversibility: easy rollback vs permanent damage, recoverable vs irreversible. Visibility: internal vs public, contained vs widespread. Output: Risk = Probability × Impact. Rank risks: High impact + high probability → critical. High impact + low probability → plan for. Low impact + high probability → automate handling. Low impact + low probability → accept.

Mitigate: Reduce impact or probability of risks. Prevent: guardrails, validation, limits, access controls. Detect: monitoring, alerts, anomaly detection, early warning systems. Contain: rate limits, feature flags, circuit breakers, isolation. Recover: rollback procedures, backups, runbooks, incident response. Layered approach: multiple mitigations for high-risk items. Remember: You don't eliminate risk — you bound it.

Monitor: Assume failure will happen and prepare detection. Early warning metrics: leading indicators that predict problems. Alert thresholds: when to trigger alerts, escalation criteria. Clear owner + escalation path: who responds, how to escalate. Detection speed matters more than perfection. Output: 'If X happens, we detect in Y mins and recover in Z.' Test monitoring: verify alerts work, runbooks are current, owners are reachable."
1175,How have you managed risk in a project?,🟡,L11,Risk Mitigation,Enumerate Risks → Blast Radius → Mitigations → Monitor,Risk management; behavioral question,"Enumerate Risks: List all potential risks before judging. Technical: bugs, downtime, data loss, performance degradation, system failures. Data: quality issues, drift, leakage, bias, completeness, freshness. Operational: on-call load, handoffs, manual processes, capacity limits. Legal / Compliance: PII exposure, regulatory violations, privacy breaches. Business: revenue loss, user trust erosion, reputation damage, competitive disadvantage. Rule: If you can't name it, you can't manage it. Be comprehensive: don't skip categories.

Assess Blast Radius: Evaluate how bad each risk is. Users affected: 1% vs 100%, specific segments vs all users. Duration: minutes vs hours vs weeks, temporary vs permanent. Reversibility: easy rollback vs permanent damage, recoverable vs irreversible. Visibility: internal vs public, contained vs widespread. Output: Risk = Probability × Impact. Rank risks: High impact + high probability → critical. High impact + low probability → plan for. Low impact + high probability → automate handling. Low impact + low probability → accept.

Mitigate: Reduce impact or probability of risks. Prevent: guardrails, validation, limits, access controls. Detect: monitoring, alerts, anomaly detection, early warning systems. Contain: rate limits, feature flags, circuit breakers, isolation. Recover: rollback procedures, backups, runbooks, incident response. Layered approach: multiple mitigations for high-risk items. Remember: You don't eliminate risk — you bound it.

Monitor: Assume failure will happen and prepare detection. Early warning metrics: leading indicators that predict problems. Alert thresholds: when to trigger alerts, escalation criteria. Clear owner + escalation path: who responds, how to escalate. Detection speed matters more than perfection. Output: 'If X happens, we detect in Y mins and recover in Z.' Test monitoring: verify alerts work, runbooks are current, owners are reachable."
1253,How would you approach the process of decommissioning a service or system?,🟡,L11,Risk Mitigation,Enumerate Risks → Blast Radius → Mitigations → Monitor,Decommissioning; risk management,"Enumerate Risks: List all potential risks before judging. Technical: bugs, downtime, data loss, performance degradation, system failures. Data: quality issues, drift, leakage, bias, completeness, freshness. Operational: on-call load, handoffs, manual processes, capacity limits. Legal / Compliance: PII exposure, regulatory violations, privacy breaches. Business: revenue loss, user trust erosion, reputation damage, competitive disadvantage. Rule: If you can't name it, you can't manage it. Be comprehensive: don't skip categories.

Assess Blast Radius: Evaluate how bad each risk is. Users affected: 1% vs 100%, specific segments vs all users. Duration: minutes vs hours vs weeks, temporary vs permanent. Reversibility: easy rollback vs permanent damage, recoverable vs irreversible. Visibility: internal vs public, contained vs widespread. Output: Risk = Probability × Impact. Rank risks: High impact + high probability → critical. High impact + low probability → plan for. Low impact + high probability → automate handling. Low impact + low probability → accept.

Mitigate: Reduce impact or probability of risks. Prevent: guardrails, validation, limits, access controls. Detect: monitoring, alerts, anomaly detection, early warning systems. Contain: rate limits, feature flags, circuit breakers, isolation. Recover: rollback procedures, backups, runbooks, incident response. Layered approach: multiple mitigations for high-risk items. Remember: You don't eliminate risk — you bound it.

Monitor: Assume failure will happen and prepare detection. Early warning metrics: leading indicators that predict problems. Alert thresholds: when to trigger alerts, escalation criteria. Clear owner + escalation path: who responds, how to escalate. Detection speed matters more than perfection. Output: 'If X happens, we detect in Y mins and recover in Z.' Test monitoring: verify alerts work, runbooks are current, owners are reachable."
1371,How would you handle an API migration where customers need to do some development work?,🟡,L11,Risk Mitigation,Enumerate Risks → Blast Radius → Mitigations → Monitor,API migration; risk management,"Enumerate Risks: List all potential risks before judging. Technical: bugs, downtime, data loss, performance degradation, system failures. Data: quality issues, drift, leakage, bias, completeness, freshness. Operational: on-call load, handoffs, manual processes, capacity limits. Legal / Compliance: PII exposure, regulatory violations, privacy breaches. Business: revenue loss, user trust erosion, reputation damage, competitive disadvantage. Rule: If you can't name it, you can't manage it. Be comprehensive: don't skip categories.

Assess Blast Radius: Evaluate how bad each risk is. Users affected: 1% vs 100%, specific segments vs all users. Duration: minutes vs hours vs weeks, temporary vs permanent. Reversibility: easy rollback vs permanent damage, recoverable vs irreversible. Visibility: internal vs public, contained vs widespread. Output: Risk = Probability × Impact. Rank risks: High impact + high probability → critical. High impact + low probability → plan for. Low impact + high probability → automate handling. Low impact + low probability → accept.

Mitigate: Reduce impact or probability of risks. Prevent: guardrails, validation, limits, access controls. Detect: monitoring, alerts, anomaly detection, early warning systems. Contain: rate limits, feature flags, circuit breakers, isolation. Recover: rollback procedures, backups, runbooks, incident response. Layered approach: multiple mitigations for high-risk items. Remember: You don't eliminate risk — you bound it.

Monitor: Assume failure will happen and prepare detection. Early warning metrics: leading indicators that predict problems. Alert thresholds: when to trigger alerts, escalation criteria. Clear owner + escalation path: who responds, how to escalate. Detection speed matters more than perfection. Output: 'If X happens, we detect in Y mins and recover in Z.' Test monitoring: verify alerts work, runbooks are current, owners are reachable."
1381,How would you implement a GDPR program for Google Services?,🟡,L11,Risk Mitigation,Enumerate Risks → Blast Radius → Mitigations → Monitor,GDPR compliance; risk management,"Enumerate Risks: List all potential risks before judging. Technical: bugs, downtime, data loss, performance degradation, system failures. Data: quality issues, drift, leakage, bias, completeness, freshness. Operational: on-call load, handoffs, manual processes, capacity limits. Legal / Compliance: PII exposure, regulatory violations, privacy breaches. Business: revenue loss, user trust erosion, reputation damage, competitive disadvantage. Rule: If you can't name it, you can't manage it. Be comprehensive: don't skip categories.

Assess Blast Radius: Evaluate how bad each risk is. Users affected: 1% vs 100%, specific segments vs all users. Duration: minutes vs hours vs weeks, temporary vs permanent. Reversibility: easy rollback vs permanent damage, recoverable vs irreversible. Visibility: internal vs public, contained vs widespread. Output: Risk = Probability × Impact. Rank risks: High impact + high probability → critical. High impact + low probability → plan for. Low impact + high probability → automate handling. Low impact + low probability → accept.

Mitigate: Reduce impact or probability of risks. Prevent: guardrails, validation, limits, access controls. Detect: monitoring, alerts, anomaly detection, early warning systems. Contain: rate limits, feature flags, circuit breakers, isolation. Recover: rollback procedures, backups, runbooks, incident response. Data-specific: encryption, access controls, audit logs, data minimization, anonymization. Layered approach: multiple mitigations for high-risk items. Remember: You don't eliminate risk — you bound it.

Monitor: Assume failure will happen and prepare detection. Early warning metrics: leading indicators that predict problems. Alert thresholds: when to trigger alerts, escalation criteria. Clear owner + escalation path: who responds, how to escalate. Detection speed matters more than perfection. Output: 'If X happens, we detect in Y mins and recover in Z.' Test monitoring: verify alerts work, runbooks are current, owners are reachable."
