question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
1801,"Serialize and deserialize binary tree",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1802,"Session Data Analysis.",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Session analysis; metrics definition"
1803,"Set goals and metrics for Instagram Store. What if purchases increase but engagement drops in other app areas?",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Goal setting; tradeoff analysis"
1804,"Set Matrix Zeroes",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1805,"Set the success metrics for Google Maps.",🟢,P2,NSM + KPI Ladder,"Define NSM → Input KPIs → Leading Indicators → Guardrails → Dashboard","Success metrics; metrics definition"
1806,"Share your experience around launching a product from 0 to 1.",🟢,P12,Operational Excellence,"Assess Current State → Identify Risks → Prioritize Fixes → Communicate Plan → Monitor","Product launch; behavioral question"
1807,"Should Agoda launch a subscription service called 'Agoda Prime'?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Subscription decision; tradeoff analysis"
1808,"Should Capital One continue to invest in developing markets?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Investment decision; tradeoff analysis"
1809,"Should Capital One invest in a new mobile app?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Investment decision; tradeoff analysis"
1810,"Should Facebook launch a 2D gaming product?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Product launch decision; tradeoff analysis"
1811,"Should Facebook launch a group video calling feature? How would you make this determination using a dataset of call logs for current 1:1 calling?",🟢,P8,Experimentation,"Hypothesis → Design → Run → Analyze → Decide","Feature decision; experimentation"
1812,"Should Facebook remove the mandatory profile picture upload during initial setup?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Feature decision; tradeoff analysis"
1813,"Should Google create a new GCP region in Portugal?",🟡,L3,Cost / ROI,"Cost Drivers → Benefits → Breakeven → Decide","Infrastructure decision; cost analysis"
1814,"Should Google create a Slack competitor?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Competitive decision; tradeoff analysis"
1815,"Should Google enter into the online furniture-selling market?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Market entry decision; tradeoff analysis"
1816,"Should Google enter the furniture market?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Market entry decision; tradeoff analysis"
1817,"Should Google enter the Metaverse space? If so, how?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Market entry; product strategy"
1818,"Should Google invest in developing a capability to assess WiFi quality in various locations? If so, how would you approach building it?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Investment decision; tradeoff analysis"
1819,"Should Google maintain both Chrome OS and Android OS?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Product strategy; tradeoff analysis"
1820,"Should Google offer an Airbnb competitor?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Competitive decision; tradeoff analysis"
1821,"Should Google provide Google Home devices to hotel room guests?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Partnership decision; tradeoff analysis"
1822,"Should LinkedIn acquire Discord? Why or why not?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Acquisition decision; tradeoff analysis"
1823,"Should LinkedIn develop live video features?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Feature decision; tradeoff analysis"
1824,"Should Meta build it?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Build decision; tradeoff analysis"
1825,"Should Meta sell movie tickets to leverage its massive user base?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Product expansion; tradeoff analysis"
1826,"Should Microsoft Azure build a data center in space?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Infrastructure decision; tradeoff analysis"
1827,"Should Microsoft change its pricing models?",🟢,P9,Revenue Optimization,"Levers (Price, Volume, Mix) → Test → Measure → Iterate","Pricing strategy; revenue optimization"
1828,"Should Slack enter the education market by launching Slack for education?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Market entry; tradeoff analysis"
1829,"Should Uber Eats be a separate app from Uber Rides?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Product strategy; tradeoff analysis"
1830,"Should Uber enter the e-scooter space in SFO, given a timeline from 7-8 years ago?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Market entry; tradeoff analysis"
1831,"Should Uber launch an 'Uber for Kids' service? If so, how would you design it?",🟢,P4,Product Design,"User Needs → Jobs-to-be-Done → Features → Prioritize → Test","Product design; new product"
1832,"Should we build a product for borrowing and lending money on Facebook?",🟢,P7,Tradeoff Framing,"Define Options → Winners/Losers → Guardrails → Decide + Communicate","Product decision; tradeoff analysis"
1833,"Sliding Window Maximum",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1834,"Solve a Rummy Deck (12-card hand).",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
1835,"Solve John Conway's ""Game of Life"".",🔴,N/A,N/A,N/A,"Coding implementation; algorithm"
