question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,short_answer
3.1,What is the cost for a new Facebook customer acquisition?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,CAC calculation; financial analysis,"Cost Drivers: Identify what we pay. Build cost: Eng time: people × weeks (engineering effort). Opportunity cost: what we don't build (tradeoffs). One-time infra setup: initial infrastructure investment. Run cost: Compute / storage / bandwidth: ongoing infrastructure costs. Third-party APIs: external service fees. Support & ops: operational overhead, maintenance. Risk cost: Reliability risk: potential downtime, service degradation. Compliance / legal: regulatory, legal exposure. Brand damage: reputation risk, user trust impact.

Benefits: Quantify what we gain. Revenue: New users: user acquisition, market expansion. Higher conversion: improved conversion rates. ARPU / LTV lift: average revenue per user, lifetime value increase. Cost savings: Automation: reduce manual work, operational efficiency. Infra reduction: lower infrastructure costs. Support deflection: fewer support tickets, self-service. Strategic: Learning: knowledge, insights, experimentation value. Moat / differentiation: competitive advantage. Risk reduction: mitigate existing risks.

Breakeven: Calculate when it pays back. Simple math: Monthly benefit: recurring value (revenue or savings). Monthly cost: ongoing operational costs. Payback period: build cost / monthly net benefit. Sensitivity: Best case: optimistic scenario (high adoption, high value). Base case: realistic scenario (expected outcomes). Worst case: pessimistic scenario (low adoption, high costs). Sanity checks: Unit economics (does usage scale cost?), Reversibility (can we undo this?), Fixed vs variable (what grows with scale?).

Decide: Choose path forward. Greenlight: Short payback: < 6-12 months typically acceptable. Asymmetric upside: high potential reward vs risk. Scope down: MVP first: build minimal version to test assumptions. Cheaper experiment: validate with lower investment. Kill / Defer: Long breakeven: payback period too long (> 18-24 months). High downside: significant risk, low confidence. Remember: ROI is not 'big upside.' It's 'good outcomes even if we're wrong.'"
108,"As the new CEO of Blue Origin, what actions would you take to make the company break even?",🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Financial strategy; break-even analysis,"Cost Drivers: Identify what we pay. Build cost: Eng time: people × weeks (engineering effort). Opportunity cost: what we don't build (tradeoffs). One-time infra setup: initial infrastructure investment. Run cost: Compute / storage / bandwidth: ongoing infrastructure costs. Third-party APIs: external service fees. Support & ops: operational overhead, maintenance. Risk cost: Reliability risk: potential downtime, service degradation. Compliance / legal: regulatory, legal exposure. Brand damage: reputation risk, user trust impact.

Benefits: Quantify what we gain. Revenue: New users: user acquisition, market expansion. Higher conversion: improved conversion rates. ARPU / LTV lift: average revenue per user, lifetime value increase. Cost savings: Automation: reduce manual work, operational efficiency. Infra reduction: lower infrastructure costs. Support deflection: fewer support tickets, self-service. Strategic: Learning: knowledge, insights, experimentation value. Moat / differentiation: competitive advantage. Risk reduction: mitigate existing risks.

Breakeven: Calculate when it pays back. Simple math: Monthly benefit: recurring value (revenue or savings). Monthly cost: ongoing operational costs. Payback period: build cost / monthly net benefit. Sensitivity: Best case: optimistic scenario (high adoption, high value). Base case: realistic scenario (expected outcomes). Worst case: pessimistic scenario (low adoption, high costs). Sanity checks: Unit economics (does usage scale cost?), Reversibility (can we undo this?), Fixed vs variable (what grows with scale?).

Decide: Choose path forward. Greenlight: Short payback: < 6-12 months typically acceptable. Asymmetric upside: high potential reward vs risk. Scope down: MVP first: build minimal version to test assumptions. Cheaper experiment: validate with lower investment. Kill / Defer: Long breakeven: payback period too long (> 18-24 months). High downside: significant risk, low confidence. Remember: ROI is not 'big upside.' It's 'good outcomes even if we're wrong.'"
124,"Assuming AR-enabled glasses exist in 2031, how many do you think will ship that year? What factors will you consider in your estimation?",🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; AR adoption forecast,"Cost Drivers: Identify what we pay. Build cost: Eng time: people × weeks (engineering effort). Opportunity cost: what we don't build (tradeoffs). One-time infra setup: initial infrastructure investment. Run cost: Compute / storage / bandwidth: ongoing infrastructure costs. Third-party APIs: external service fees. Support & ops: operational overhead, maintenance. Risk cost: Reliability risk: potential downtime, service degradation. Compliance / legal: regulatory, legal exposure. Brand damage: reputation risk, user trust impact.

Benefits: Quantify what we gain. Revenue: New users: user acquisition, market expansion. Higher conversion: improved conversion rates. ARPU / LTV lift: average revenue per user, lifetime value increase. Cost savings: Automation: reduce manual work, operational efficiency. Infra reduction: lower infrastructure costs. Support deflection: fewer support tickets, self-service. Strategic: Learning: knowledge, insights, experimentation value. Moat / differentiation: competitive advantage. Risk reduction: mitigate existing risks.

Breakeven: Calculate when it pays back. Simple math: Monthly benefit: recurring value (revenue or savings). Monthly cost: ongoing operational costs. Payback period: build cost / monthly net benefit. Sensitivity: Best case: optimistic scenario (high adoption, high value). Base case: realistic scenario (expected outcomes). Worst case: pessimistic scenario (low adoption, high costs). Sanity checks: Unit economics (does usage scale cost?), Reversibility (can we undo this?), Fixed vs variable (what grows with scale?).

Decide: Choose path forward. Greenlight: Short payback: < 6-12 months typically acceptable. Asymmetric upside: high potential reward vs risk. Scope down: MVP first: build minimal version to test assumptions. Cheaper experiment: validate with lower investment. Kill / Defer: Long breakeven: payback period too long (> 18-24 months). High downside: significant risk, low confidence. Remember: ROI is not 'big upside.' It's 'good outcomes even if we're wrong.'"
219,Describe a time when you identified a cost-saving opportunity.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Cost optimization; behavioral question,"Cost Drivers: Identify what we pay. Build cost: Eng time: people × weeks (engineering effort). Opportunity cost: what we don't build (tradeoffs). One-time infra setup: initial infrastructure investment. Run cost: Compute / storage / bandwidth: ongoing infrastructure costs. Third-party APIs: external service fees. Support & ops: operational overhead, maintenance. Risk cost: Reliability risk: potential downtime, service degradation. Compliance / legal: regulatory, legal exposure. Brand damage: reputation risk, user trust impact.

Benefits: Quantify what we gain. Revenue: New users: user acquisition, market expansion. Higher conversion: improved conversion rates. ARPU / LTV lift: average revenue per user, lifetime value increase. Cost savings: Automation: reduce manual work, operational efficiency. Infra reduction: lower infrastructure costs. Support deflection: fewer support tickets, self-service. Strategic: Learning: knowledge, insights, experimentation value. Moat / differentiation: competitive advantage. Risk reduction: mitigate existing risks.

Breakeven: Calculate when it pays back. Simple math: Monthly benefit: recurring value (revenue or savings). Monthly cost: ongoing operational costs. Payback period: build cost / monthly net benefit. Sensitivity: Best case: optimistic scenario (high adoption, high value). Base case: realistic scenario (expected outcomes). Worst case: pessimistic scenario (low adoption, high costs). Sanity checks: Unit economics (does usage scale cost?), Reversibility (can we undo this?), Fixed vs variable (what grows with scale?).

Decide: Choose path forward. Greenlight: Short payback: < 6-12 months typically acceptable. Asymmetric upside: high potential reward vs risk. Scope down: MVP first: build minimal version to test assumptions. Cheaper experiment: validate with lower investment. Kill / Defer: Long breakeven: payback period too long (> 18-24 months). High downside: significant risk, low confidence. Remember: ROI is not 'big upside.' It's 'good outcomes even if we're wrong.'"
739,Estimate Airbnb's Revenue,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Revenue estimation; market sizing,"Cost Drivers: Identify what we pay. Build cost: Eng time: people × weeks (engineering effort). Opportunity cost: what we don't build (tradeoffs). One-time infra setup: initial infrastructure investment. Run cost: Compute / storage / bandwidth: ongoing infrastructure costs. Third-party APIs: external service fees. Support & ops: operational overhead, maintenance. Risk cost: Reliability risk: potential downtime, service degradation. Compliance / legal: regulatory, legal exposure. Brand damage: reputation risk, user trust impact.

Benefits: Quantify what we gain. Revenue: New users: user acquisition, market expansion. Higher conversion: improved conversion rates. ARPU / LTV lift: average revenue per user, lifetime value increase. Cost savings: Automation: reduce manual work, operational efficiency. Infra reduction: lower infrastructure costs. Support deflection: fewer support tickets, self-service. Strategic: Learning: knowledge, insights, experimentation value. Moat / differentiation: competitive advantage. Risk reduction: mitigate existing risks.

Breakeven: Calculate when it pays back. Simple math: Monthly benefit: recurring value (revenue or savings). Monthly cost: ongoing operational costs. Payback period: build cost / monthly net benefit. Sensitivity: Best case: optimistic scenario (high adoption, high value). Base case: realistic scenario (expected outcomes). Worst case: pessimistic scenario (low adoption, high costs). Sanity checks: Unit economics (does usage scale cost?), Reversibility (can we undo this?), Fixed vs variable (what grows with scale?).

Decide: Choose path forward. Greenlight: Short payback: < 6-12 months typically acceptable. Asymmetric upside: high potential reward vs risk. Scope down: MVP first: build minimal version to test assumptions. Cheaper experiment: validate with lower investment. Kill / Defer: Long breakeven: payback period too long (> 18-24 months). High downside: significant risk, low confidence. Remember: ROI is not 'big upside.' It's 'good outcomes even if we're wrong.'"
740,Estimate Facebook's yearly advertising revenue.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Revenue estimation; market sizing,"Cost Drivers: Identify what we pay. Build cost: Eng time: people × weeks (engineering effort). Opportunity cost: what we don't build (tradeoffs). One-time infra setup: initial infrastructure investment. Run cost: Compute / storage / bandwidth: ongoing infrastructure costs. Third-party APIs: external service fees. Support & ops: operational overhead, maintenance. Risk cost: Reliability risk: potential downtime, service degradation. Compliance / legal: regulatory, legal exposure. Brand damage: reputation risk, user trust impact.

Benefits: Quantify what we gain. Revenue: New users: user acquisition, market expansion. Higher conversion: improved conversion rates. ARPU / LTV lift: average revenue per user, lifetime value increase. Cost savings: Automation: reduce manual work, operational efficiency. Infra reduction: lower infrastructure costs. Support deflection: fewer support tickets, self-service. Strategic: Learning: knowledge, insights, experimentation value. Moat / differentiation: competitive advantage. Risk reduction: mitigate existing risks.

Breakeven: Calculate when it pays back. Simple math: Monthly benefit: recurring value (revenue or savings). Monthly cost: ongoing operational costs. Payback period: build cost / monthly net benefit. Sensitivity: Best case: optimistic scenario (high adoption, high value). Base case: realistic scenario (expected outcomes). Worst case: pessimistic scenario (low adoption, high costs). Sanity checks: Unit economics (does usage scale cost?), Reversibility (can we undo this?), Fixed vs variable (what grows with scale?).

Decide: Choose path forward. Greenlight: Short payback: < 6-12 months typically acceptable. Asymmetric upside: high potential reward vs risk. Scope down: MVP first: build minimal version to test assumptions. Cheaper experiment: validate with lower investment. Kill / Defer: Long breakeven: payback period too long (> 18-24 months). High downside: significant risk, low confidence. Remember: ROI is not 'big upside.' It's 'good outcomes even if we're wrong.'"
741,Estimate how many productivity hours are lost per year due to traffic.,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Productivity estimation; cost analysis,"Cost Drivers: Identify what we pay. Build cost: Eng time: people × weeks (engineering effort). Opportunity cost: what we don't build (tradeoffs). One-time infra setup: initial infrastructure investment. Run cost: Compute / storage / bandwidth: ongoing infrastructure costs. Third-party APIs: external service fees. Support & ops: operational overhead, maintenance. Risk cost: Reliability risk: potential downtime, service degradation. Compliance / legal: regulatory, legal exposure. Brand damage: reputation risk, user trust impact.

Benefits: Quantify what we gain. Revenue: New users: user acquisition, market expansion. Higher conversion: improved conversion rates. ARPU / LTV lift: average revenue per user, lifetime value increase. Cost savings: Automation: reduce manual work, operational efficiency. Infra reduction: lower infrastructure costs. Support deflection: fewer support tickets, self-service. Strategic: Learning: knowledge, insights, experimentation value. Moat / differentiation: competitive advantage. Risk reduction: mitigate existing risks.

Breakeven: Calculate when it pays back. Simple math: Monthly benefit: recurring value (revenue or savings). Monthly cost: ongoing operational costs. Payback period: build cost / monthly net benefit. Sensitivity: Best case: optimistic scenario (high adoption, high value). Base case: realistic scenario (expected outcomes). Worst case: pessimistic scenario (low adoption, high costs). Sanity checks: Unit economics (does usage scale cost?), Reversibility (can we undo this?), Fixed vs variable (what grows with scale?).

Decide: Choose path forward. Greenlight: Short payback: < 6-12 months typically acceptable. Asymmetric upside: high potential reward vs risk. Scope down: MVP first: build minimal version to test assumptions. Cheaper experiment: validate with lower investment. Kill / Defer: Long breakeven: payback period too long (> 18-24 months). High downside: significant risk, low confidence. Remember: ROI is not 'big upside.' It's 'good outcomes even if we're wrong.'"
743,Estimate how much it costs to run Youtube for a day,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Cost estimation; infrastructure,"Cost Drivers: Identify what we pay. Build cost: Eng time: people × weeks (engineering effort). Opportunity cost: what we don't build (tradeoffs). One-time infra setup: initial infrastructure investment. Run cost: Compute / storage / bandwidth: ongoing infrastructure costs. Third-party APIs: external service fees. Support & ops: operational overhead, maintenance. Risk cost: Reliability risk: potential downtime, service degradation. Compliance / legal: regulatory, legal exposure. Brand damage: reputation risk, user trust impact.

Benefits: Quantify what we gain. Revenue: New users: user acquisition, market expansion. Higher conversion: improved conversion rates. ARPU / LTV lift: average revenue per user, lifetime value increase. Cost savings: Automation: reduce manual work, operational efficiency. Infra reduction: lower infrastructure costs. Support deflection: fewer support tickets, self-service. Strategic: Learning: knowledge, insights, experimentation value. Moat / differentiation: competitive advantage. Risk reduction: mitigate existing risks.

Breakeven: Calculate when it pays back. Simple math: Monthly benefit: recurring value (revenue or savings). Monthly cost: ongoing operational costs. Payback period: build cost / monthly net benefit. Sensitivity: Best case: optimistic scenario (high adoption, high value). Base case: realistic scenario (expected outcomes). Worst case: pessimistic scenario (low adoption, high costs). Sanity checks: Unit economics (does usage scale cost?), Reversibility (can we undo this?), Fixed vs variable (what grows with scale?).

Decide: Choose path forward. Greenlight: Short payback: < 6-12 months typically acceptable. Asymmetric upside: high potential reward vs risk. Scope down: MVP first: build minimal version to test assumptions. Cheaper experiment: validate with lower investment. Kill / Defer: Long breakeven: payback period too long (> 18-24 months). High downside: significant risk, low confidence. Remember: ROI is not 'big upside.' It's 'good outcomes even if we're wrong.'"
744,Estimate Self-Driving Cars,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Market estimation; technology adoption,"Cost Drivers: Identify what we pay. Build cost: Eng time: people × weeks (engineering effort). Opportunity cost: what we don't build (tradeoffs). One-time infra setup: initial infrastructure investment. Run cost: Compute / storage / bandwidth: ongoing infrastructure costs. Third-party APIs: external service fees. Support & ops: operational overhead, maintenance. Risk cost: Reliability risk: potential downtime, service degradation. Compliance / legal: regulatory, legal exposure. Brand damage: reputation risk, user trust impact.

Benefits: Quantify what we gain. Revenue: New users: user acquisition, market expansion. Higher conversion: improved conversion rates. ARPU / LTV lift: average revenue per user, lifetime value increase. Cost savings: Automation: reduce manual work, operational efficiency. Infra reduction: lower infrastructure costs. Support deflection: fewer support tickets, self-service. Strategic: Learning: knowledge, insights, experimentation value. Moat / differentiation: competitive advantage. Risk reduction: mitigate existing risks.

Breakeven: Calculate when it pays back. Simple math: Monthly benefit: recurring value (revenue or savings). Monthly cost: ongoing operational costs. Payback period: build cost / monthly net benefit. Sensitivity: Best case: optimistic scenario (high adoption, high value). Base case: realistic scenario (expected outcomes). Worst case: pessimistic scenario (low adoption, high costs). Sanity checks: Unit economics (does usage scale cost?), Reversibility (can we undo this?), Fixed vs variable (what grows with scale?).

Decide: Choose path forward. Greenlight: Short payback: < 6-12 months typically acceptable. Asymmetric upside: high potential reward vs risk. Scope down: MVP first: build minimal version to test assumptions. Cheaper experiment: validate with lower investment. Kill / Defer: Long breakeven: payback period too long (> 18-24 months). High downside: significant risk, low confidence. Remember: ROI is not 'big upside.' It's 'good outcomes even if we're wrong.'"
746,Estimate the annual cost of managing Google Photos. What factors would you consider in your calculation?,🟡,L3,Cost / ROI,Cost Drivers → Benefits → Breakeven → Decide,Cost estimation; infrastructure,"Cost Drivers: Identify what we pay. Build cost: Eng time: people × weeks (engineering effort). Opportunity cost: what we don't build (tradeoffs). One-time infra setup: initial infrastructure investment. Run cost: Compute / storage / bandwidth: ongoing infrastructure costs. Third-party APIs: external service fees. Support & ops: operational overhead, maintenance. Risk cost: Reliability risk: potential downtime, service degradation. Compliance / legal: regulatory, legal exposure. Brand damage: reputation risk, user trust impact.

Benefits: Quantify what we gain. Revenue: New users: user acquisition, market expansion. Higher conversion: improved conversion rates. ARPU / LTV lift: average revenue per user, lifetime value increase. Cost savings: Automation: reduce manual work, operational efficiency. Infra reduction: lower infrastructure costs. Support deflection: fewer support tickets, self-service. Strategic: Learning: knowledge, insights, experimentation value. Moat / differentiation: competitive advantage. Risk reduction: mitigate existing risks.

Breakeven: Calculate when it pays back. Simple math: Monthly benefit: recurring value (revenue or savings). Monthly cost: ongoing operational costs. Payback period: build cost / monthly net benefit. Sensitivity: Best case: optimistic scenario (high adoption, high value). Base case: realistic scenario (expected outcomes). Worst case: pessimistic scenario (low adoption, high costs). Sanity checks: Unit economics (does usage scale cost?), Reversibility (can we undo this?), Fixed vs variable (what grows with scale?).

Decide: Choose path forward. Greenlight: Short payback: < 6-12 months typically acceptable. Asymmetric upside: high potential reward vs risk. Scope down: MVP first: build minimal version to test assumptions. Cheaper experiment: validate with lower investment. Kill / Defer: Long breakeven: payback period too long (> 18-24 months). High downside: significant risk, low confidence. Remember: ROI is not 'big upside.' It's 'good outcomes even if we're wrong.'"
