question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,short_answer,short_answer
82,"As a Product Manager for Clickup, analyze the scenario of low return rate of new users and propose solutions to improve metrics such as return rate, average new user sign-up, and daily average usag...",🟢,P4,Cohort / Retention / Churn,Define Cohorts → Measure Retention → Identify Churn Drivers → Hypothesize → Fix,Retention problem; new user churn,"Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 churn → onboarding/activation problem. Week 1 churn → value not clear. Month 1+ churn → habit/competition issue. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If users churn early (Day 0-1) → activation gap, onboarding friction. If one cohort worse → acquisition mismatch, targeting issue. If usage drops first → value erosion, core loop not engaging. If late churn (Month 1+) → lack of habit, missing retention hooks.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation: simplify first experience, show value faster, reduce friction. Tighten targeting: improve acquisition quality, align messaging with product value. Reinforce core value loop: ensure users complete key action early. Add retention hooks: email, push notifications, content recommendations. Measure cohort again: track if retention curve improved for next cohort.","Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 churn → onboarding/activation problem. Week 1 churn → value not clear. Month 1+ churn → habit/competition issue. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If users churn early (Day 0-1) → activation gap, onboarding friction. If one cohort worse → acquisition mismatch, targeting issue. If usage drops first → value erosion, core loop not engaging. If late churn (Month 1+) → lack of habit, missing retention hooks.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation: simplify first experience, show value faster, reduce friction. Tighten targeting: improve acquisition quality, align messaging with product value. Reinforce core value loop: ensure users complete key action early. Add retention hooks: email, push notifications, content recommendations. Measure cohort again: track if retention curve improved for next cohort."
97,"As part of the Netflix PM team, how would we investigate the issue of one million active subscribers not logging into the platform?",🟢,P4,Cohort / Retention / Churn,Define Cohorts → Measure Retention → Identify Churn Drivers → Hypothesize → Fix,Engagement drop; inactive users,"Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If paying but inactive → value not delivered, product-market fit gap. If specific cohort churns → acquisition quality issue. If gradual decline → habit not formed, engagement loop broken.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements.","Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If paying but inactive → value not delivered, product-market fit gap. If specific cohort churns → acquisition quality issue. If gradual decline → habit not formed, engagement loop broken.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements."
98,"As part of the Netflix PM team, how would you investigate the issue of 1 million inactive but paying users?",🟢,P4,Cohort / Retention / Churn,Define Cohorts → Measure Retention → Identify Churn Drivers → Hypothesize → Fix,Retention problem; paying but not using,"Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If paying but inactive → value not delivered, product-market fit gap. If specific cohort churns → acquisition quality issue. If gradual decline → habit not formed, engagement loop broken.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements.","Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If paying but inactive → value not delivered, product-market fit gap. If specific cohort churns → acquisition quality issue. If gradual decline → habit not formed, engagement loop broken.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements."
715,Diagnose a 35% drop in retention on Salesforce.,🟢,P4,Cohort / Retention / Churn,Define Cohorts → Measure Retention → Identify Churn Drivers → Hypothesize → Fix,Retention drop; churn analysis,"Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements.","Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements."
717,Diagnose a 40% increase in first month churn on HelloFresh.,🟢,P4,Cohort / Retention / Churn,Define Cohorts → Measure Retention → Identify Churn Drivers → Hypothesize → Fix,Churn increase; retention analysis,"Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements.","Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements."
1212,How might you improve Spotify using social features?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product improvement; social features,"Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements.","Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements."
1222,How should Adobe Creative Cloud target small businesses in Singapore?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Market expansion; product strategy,"Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements.","Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements."
1223,How should Google launch a new teleportation product?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product launch; hypothetical product,"Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements.","Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements."
1225,How should WeChat further expand into America?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Market expansion; product strategy,"Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements.","Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements."
1226,How should Yelp expand into Asia?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Market expansion; product strategy,"Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements.","Define Cohorts: Group users by meaningful dimensions. By signup time: week/month cohorts to track lifecycle. By acquisition source: ads vs organic vs referral to identify quality differences. By persona: power users vs casual users vs new users. By behavior: activated vs not activated, feature adopters vs non-adopters.

Measure Retention: Build retention curve and compare cohorts. Track: D1 (day 1), D7 (week 1), D30 (month 1), W4 (week 4), M3 (month 3) retention. Compare cohorts side-by-side to spot differences. Assess: absolute level (how low is retention?) and shape (early cliff vs slow decay).

Identify Churn Drivers: Understand WHEN, WHO, and WHAT. WHEN: Day 0-1 → onboarding/activation gap. Week 1 → value not clear. Month 1+ → habit formation or competition. WHO: Which segments leave more? Specific cohorts, channels, or user types? WHAT: What changes before churn? Drop in key actions, fewer sessions, feature not used, or usage pattern shift.

Hypothesize: Generate hypotheses based on churn timing and patterns. If early drop → activation problem. If one cohort worse → acquisition mismatch. If usage drops first → value erosion. If late churn → lack of habit/reminders.

Fix: Implement targeted solutions based on hypotheses. Improve onboarding/activation for early churn. Tighten targeting if specific cohorts underperform. Reinforce core value loop if usage drops. Add retention hooks (email, push, content) for late churn. Measure cohort again to validate improvements."
