question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
1901,Tell me about a time when you chose one solution from many possible solutions.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Solution selection; behavioral question
215,Describe a time when a project lacked key information.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Information gaps; behavioral question
220,"Describe a time when you played to win, did the right thing, and were entrepreneurial.",🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Entrepreneurship; behavioral question
225,Describe a time you displayed 'Googlyness' in your work.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Company culture; behavioral question
904,Give me an example of a time you used technical judgment.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Technical decision; behavioral question
1893,Tell me about a time the business problem wasn't clearly defined. How did you handle it?,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Ambiguity; behavioral question
1894,Tell me about a time when a program you were managing was not meeting committed timelines. How did you handle it?,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Timeline issue; behavioral question
1895,Tell me about a time when a project did not go as expected.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Project issue; behavioral question
1898,Tell me about a time when project goals changed and how you handled it.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Goal change; behavioral question
1902,Tell me about a time when you conceived an innovative solution to a problem.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Innovation; behavioral question
1909,Tell me about a time when you delivered over and above customer expectations.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Exceeding expectations; behavioral question
1912,Tell me about a time when you encountered obstacles in your plan. How did you address them?,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Obstacles; behavioral question
1914,"Tell me about a time when you faced significant unexpected obstacles while working toward a key goal. How did you overcome them, and what would you do differently now?",🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Unexpected obstacles; behavioral question
1915,Tell me about a time when you faced technical and people challenges simultaneously.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Dual challenges; behavioral question
1920,Tell me about a time when you felt the most challenged.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Challenge; behavioral question
1930,Tell me about a time when you had to change the direction of a project that was 70% complete.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Project pivot; behavioral question
1956,Tell me about a time when you knew you weren't going to meet a goal.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Goal failure; behavioral question
1958,Tell me about a time when you led a project from start to finish.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Project leadership; behavioral question
1963,Tell me about a time when you made a mistake and how you handled it.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Mistake handling; behavioral question
1966,Tell me about a time when you made an error in judgment in the last year or two. What did you do and what was the impact?,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Judgment error; behavioral question
1979,Tell me about a time when you questioned the status quo.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Status quo challenge; behavioral question
1982,Tell me about a time when you redesigned a process and the reasoning behind it.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Process redesign; behavioral question
1986,Tell me about a time when you significantly exceeded expectations on a project or task.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Exceeding expectations; behavioral question
1992,Tell me about a time when you taught yourself a skill.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Self-learning; behavioral question
1993,Tell me about a time when you took on a task outside your job description.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Scope expansion; behavioral question
1994,Tell me about a time when you took on something significant that was out of your area of responsibility. Why was it important and what was the outcome?,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Responsibility expansion; behavioral question
1997,Tell me about a time when you undertook an entrepreneurial endeavor in a personal or professional setting.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Entrepreneurship; behavioral question
2004,Tell me about a time when you went above and beyond for a customer.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Customer service; behavioral question
2005,Tell me about a time when you went above and beyond your job description.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Going beyond; behavioral question
2006,Tell me about a time when you were creative.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Creativity; behavioral question
2009,Tell me about a time when you were more proactive than others.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Proactivity; behavioral question
2012,Tell me about a time when you were unhappy in your job.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Job dissatisfaction; behavioral question
2013,Tell me about a time when you were working on a project but discovered an opportunity to do something bigger and better. Did you pursue it and what was the outcome?,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Opportunity discovery; behavioral question
2016,Tell me about a time when you worked on something you were passionate about.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Passion; behavioral question
2042,Tell me about a time you faced a difficult challenge.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Difficult challenge; behavioral question
2047,Tell me about a time you got a project back on track.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Project recovery; behavioral question
2072,Tell me about a time you made a mistake.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Mistake; behavioral question
2075,Tell me about a time you overcame a challenge to achieve a goal.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Challenge overcoming; behavioral question
2076,Tell me about a time you overcame adversity.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Adversity; behavioral question
2078,Tell me about a time you proposed a non-intuitive solution to a problem and how you identified that it required a different way of thinking.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Non-intuitive solution; behavioral question
2085,Tell me about a time you struggled on a project.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Project struggle; behavioral question
2086,Tell me about a time you successfully delivered a project without a budget or resources.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Resource constraint; behavioral question
2093,Tell me about a time you were confident in a solution and later realized it was wrong.,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Confidence error; behavioral question
2094,"Tell me about a time you worked on a complex program, how you handled it, and its outcomes.",🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Complex program; behavioral question
2496,What's your approach to prompt engineering?,🔴,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Prompt engineering; ML technical question
2498,What's your experience with 3D graphics?,🔴,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),3D graphics; technical question
2499,What's your experience with DirectX?,🔴,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),DirectX; technical question
2500,What's your experience with ray tracing in video games?,🔴,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Ray tracing; technical question
2785,You're a PM for a rideshare app's membership program. How would you identify the most negative member experiences?,🟢,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Operational question
2119,Tell me about your experience with computer vision.,🔴,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),ML specialization; technical question
2121,Tell me about your experience with Java.,🔴,P15A,Personal & Motivation,Situation → Task → Action → Result (STAR),Programming language; technical question
