question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
82,"As a Product Manager for Clickup, analyze the scenario of low return rate of new users and propose solutions to improve metrics such as return rate, average new user sign-up, and daily average usag...",🟢,P4,Cohort / Retention / Churn,Define Cohorts → Measure Retention → Identify Churn Drivers → Hypothesize → Fix,Retention problem; new user churn
97,"As part of the Netflix PM team, how would we investigate the issue of one million active subscribers not logging into the platform?",🟢,P4,Cohort / Retention / Churn,Define Cohorts → Measure Retention → Identify Churn Drivers → Hypothesize → Fix,Engagement drop; inactive users
98,"As part of the Netflix PM team, how would you investigate the issue of 1 million inactive but paying users?",🟢,P4,Cohort / Retention / Churn,Define Cohorts → Measure Retention → Identify Churn Drivers → Hypothesize → Fix,Retention problem; paying but not using
715,Diagnose a 35% drop in retention on Salesforce.,🟢,P4,Cohort / Retention / Churn,Define Cohorts → Measure Retention → Identify Churn Drivers → Hypothesize → Fix,Retention drop; churn analysis
717,Diagnose a 40% increase in first month churn on HelloFresh.,🟢,P4,Cohort / Retention / Churn,Define Cohorts → Measure Retention → Identify Churn Drivers → Hypothesize → Fix,Churn increase; retention analysis
1212,How might you improve Spotify using social features?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product improvement; social features
1222,How should Adobe Creative Cloud target small businesses in Singapore?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Market expansion; product strategy
1223,How should Google launch a new teleportation product?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product launch; hypothetical product
1225,How should WeChat further expand into America?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Market expansion; product strategy
1226,How should Yelp expand into Asia?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Market expansion; product strategy
1230,How would Google enter the food delivery space?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Market entry; product strategy
1231,How would Hoop expand into South America?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Market expansion; product strategy
1232,How would Notion expand into Europe?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Market expansion; product strategy
1233,How would Snapchat expand into Indonesia?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Market expansion; product strategy
1234,How would Uber expand into the bicycle market?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Market expansion; product strategy
1243,How would you approach a rebrand for an established product?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Rebranding; product strategy
1245,How would you approach building a 3-year strategic plan for a new business unit?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Strategic planning; product strategy
1246,How would you approach building proactive AI?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,AI product design; product strategy
1257,How would you build a babysitter service for Facebook?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; new product
1258,How would you build a Facebook product for blood donation?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; new product
1259,How would you build a marketplace for DocuSign apps?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; marketplace
1260,How would you build a monitoring device for elderly people?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; new product
1261,How would you build a product for disabled users on LinkedIn?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; accessibility
1263,How would you build a shared laundry experience?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; new product
1267,How would you build an ad platform for Robinhood?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; ad platform
1268,How would you build an audio product for Facebook?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; new product
1270,How would you build any product using Gen AI?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; AI product
1271,How would you build out a feature for Viva Engage?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Feature design; product improvement
1277,How would you compare Disney+ to Hulu?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product comparison; competitive analysis
1281,How would you create a business around autonomous vehicles?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Business strategy; product design
1301,How would you design a coffee machine for use on the International Space Station?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; space constraints
1302,How would you design a game for a popular Netflix reality show?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; game design
1303,How would you design a hyperlocal feature for Facebook?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Feature design; product improvement
1304,How would you design a password management tool for children?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; security
1306,How would you design a Web browser to increase the sales of your ecommerce company?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; revenue optimization
1310,How would you design parking features on Google Maps?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Feature design; product improvement
1311,How would you design the product experience of an ATM machine at an international airport.,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; UX design
1312,How would you design the YouTube landing page?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product design; UX design
1325,How would you disrupt the car wash industry?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Industry disruption; product strategy
1326,How would you disrupt the film industry using YouTube?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Industry disruption; product strategy
1327,How would you disrupt the travel industry?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Industry disruption; product strategy
1331,How would you enhance Facebook comments?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Feature enhancement; product improvement
1332,How would you enhance Google Maps for individuals with disabilities?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Accessibility; product improvement
1333,How would you enhance Instagram Stories?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Feature enhancement; product improvement
1334,How would you enhance the email notification experience for Facebook users who are tagged in photos?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Feature enhancement; product improvement
1335,How would you enhance the experience for Airbnb users after a negative booking?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,User experience; product improvement
1336,How would you enhance the Facebook Birthdays feature?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Feature enhancement; product improvement
1347,How would you expand Capital One Shopping?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product expansion; growth strategy
1348,How would you expand Fiverr into China?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Market expansion; product strategy
1359,How would you future-proof the organization against industry disruption?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Strategic planning; product strategy
1377,How would you identify and address different types of needs in mobile apps?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,User needs; product design
1382,How would you implement birth date capture for Meta?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Feature implementation; product design
1383,How would you implement safety features for Roblox's private messaging between players?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Safety features; product design
1384,How would you improve a water bottle?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product improvement; product design
1385,How would you improve airport layovers?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Experience improvement; product design
1386,How would you improve airport passengers' experience to address the pain point of time spent at the airport?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Experience improvement; product design
1387,How would you improve Amazon's homepage?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product improvement; product design
1388,How would you improve Apple Music?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product improvement; product design
1389,How would you improve ChatGPT?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product improvement; product design
1390,How would you improve Day One?,🟢,P4,Product Design,User Needs → Jobs-to-be-Done → Features → Prioritize → Test,Product improvement; product design
