question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,short_answer
25,An engineer wants to make a major change to the ranking algorithm. How would you evaluate it?,🟢,P8,Experiment Design,Hypothesis → Metric → Design → Run → Validate → Decide,Algorithm change; A/B test evaluation,"Frame: Clarify decision and constraints. What decision are we making? (launch feature, change algorithm, run campaign, etc.) What constraints matter? (time, risk, traffic volume, legal, UX impact). Define success criteria upfront.

Hypothesis: State clear if-then-because. Format: If we change X for users Y, then outcome Z will change because R. X = treatment (what changes). Y = target population (who gets the change). Z = expected direction + size (if possible). R = mechanism (why it should work).

Metric: Define primary, guardrails, and diagnostics. Primary metric: the 'one number' for decision. Must map to goal (revenue, retention, activation, conversion, engagement). Guardrails: prevent self-own (quality, user harm, churn, latency, errors, complaints). Diagnostics: help explain why (step metrics, funnel steps, latency breakdown, CTR vs CVR).

Design: Make experiment valid and reliable. Unit of randomization: user vs session vs account vs geo vs device. Avoid spillover (users affecting each other). Population / eligibility: new users? returning? specific segment? Variants: Control vs Treatment (or A/B/C). Keep everything else constant. Duration & sample sizing: run full cycles (weekday/weekend). Ensure enough power for expected effect size. Instrumentation: event tracking, logging, exposure definition. 'Who saw treatment?' must be unambiguous.

Run: Execute with careful ramp and monitoring. Ramp: 1% → 10% → 50% → 100% (if safe). Monitor guardrails daily. Freeze conflicting changes during test window. Track exposure and outcomes consistently.

Validate: Check result trustworthiness. A/A or sanity checks (if available). SRM check (sample ratio mismatch - traffic split correct?). Balance check (are groups comparable?). Correct attribution (exposure vs outcome window). Novelty / seasonality / logging changes. Multiple testing / peeking risk.

Decide: Ship, iterate, or rollback. If primary metric up and guardrails stable → ship with gradual rollout. If mixed results → iterate (refine treatment) and re-test. If guardrails worsen → rollback + root-cause analysis. Learnings: mechanism confirmed? which segment moved? Follow-up monitoring plan."
64,"As a PM for Jio Mart, how would you pilot drone delivery?",🟢,P8,Experiment Design,Hypothesis → Metric → Design → Run → Validate → Decide,Pilot program; experiment design,"Frame: Clarify decision and constraints. What decision are we making? (launch feature, change algorithm, run campaign, etc.) What constraints matter? (time, risk, traffic volume, legal, UX impact). Define success criteria upfront.

Hypothesis: State clear if-then-because. Format: If we change X for users Y, then outcome Z will change because R. X = treatment (what changes). Y = target population (who gets the change). Z = expected direction + size (if possible). R = mechanism (why it should work).

Metric: Define primary, guardrails, and diagnostics. Primary metric: the 'one number' for decision. Must map to goal (revenue, retention, activation, conversion, engagement). Guardrails: prevent self-own (quality, user harm, churn, latency, errors, complaints). Diagnostics: help explain why (step metrics, funnel steps, latency breakdown, CTR vs CVR).

Design: Make experiment valid and reliable. Unit of randomization: user vs session vs account vs geo vs device. Avoid spillover (users affecting each other). Population / eligibility: new users? returning? specific segment? Variants: Control vs Treatment (or A/B/C). Keep everything else constant. Duration & sample sizing: run full cycles (weekday/weekend). Ensure enough power for expected effect size. Instrumentation: event tracking, logging, exposure definition. 'Who saw treatment?' must be unambiguous.

Run: Execute with careful ramp and monitoring. Ramp: 1% → 10% → 50% → 100% (if safe). Monitor guardrails daily. Freeze conflicting changes during test window. Track exposure and outcomes consistently.

Validate: Check result trustworthiness. A/A or sanity checks (if available). SRM check (sample ratio mismatch - traffic split correct?). Balance check (are groups comparable?). Correct attribution (exposure vs outcome window). Novelty / seasonality / logging changes. Multiple testing / peeking risk.

Decide: Ship, iterate, or rollback. If primary metric up and guardrails stable → ship with gradual rollout. If mixed results → iterate (refine treatment) and re-test. If guardrails worsen → rollback + root-cause analysis. Learnings: mechanism confirmed? which segment moved? Follow-up monitoring plan."
207,Describe a situation where using an A/B test would be appropriate.,🟢,P8,Experiment Design,Hypothesis → Metric → Design → Run → Validate → Decide,A/B testing scenario; behavioral question,"Frame: Clarify decision and constraints. What decision are we making? (launch feature, change algorithm, run campaign, etc.) What constraints matter? (time, risk, traffic volume, legal, UX impact). Define success criteria upfront.

Hypothesis: State clear if-then-because. Format: If we change X for users Y, then outcome Z will change because R. X = treatment (what changes). Y = target population (who gets the change). Z = expected direction + size (if possible). R = mechanism (why it should work).

Metric: Define primary, guardrails, and diagnostics. Primary metric: the 'one number' for decision. Must map to goal (revenue, retention, activation, conversion, engagement). Guardrails: prevent self-own (quality, user harm, churn, latency, errors, complaints). Diagnostics: help explain why (step metrics, funnel steps, latency breakdown, CTR vs CVR).

Design: Make experiment valid and reliable. Unit of randomization: user vs session vs account vs geo vs device. Avoid spillover (users affecting each other). Population / eligibility: new users? returning? specific segment? Variants: Control vs Treatment (or A/B/C). Keep everything else constant. Duration & sample sizing: run full cycles (weekday/weekend). Ensure enough power for expected effect size. Instrumentation: event tracking, logging, exposure definition. 'Who saw treatment?' must be unambiguous.

Run: Execute with careful ramp and monitoring. Ramp: 1% → 10% → 50% → 100% (if safe). Monitor guardrails daily. Freeze conflicting changes during test window. Track exposure and outcomes consistently.

Validate: Check result trustworthiness. A/A or sanity checks (if available). SRM check (sample ratio mismatch - traffic split correct?). Balance check (are groups comparable?). Correct attribution (exposure vs outcome window). Novelty / seasonality / logging changes. Multiple testing / peeking risk.

Decide: Ship, iterate, or rollback. If primary metric up and guardrails stable → ship with gradual rollout. If mixed results → iterate (refine treatment) and re-test. If guardrails worsen → rollback + root-cause analysis. Learnings: mechanism confirmed? which segment moved? Follow-up monitoring plan."
216,Describe a time when an experiment you conducted yielded unexpected results. How did you react to the outcome?,🟢,P8,Experiment Design,Hypothesis → Metric → Design → Run → Validate → Decide,Experiment results; behavioral question,"Frame: Clarify decision and constraints. What decision are we making? (launch feature, change algorithm, run campaign, etc.) What constraints matter? (time, risk, traffic volume, legal, UX impact). Define success criteria upfront.

Hypothesis: State clear if-then-because. Format: If we change X for users Y, then outcome Z will change because R. X = treatment (what changes). Y = target population (who gets the change). Z = expected direction + size (if possible). R = mechanism (why it should work).

Metric: Define primary, guardrails, and diagnostics. Primary metric: the 'one number' for decision. Must map to goal (revenue, retention, activation, conversion, engagement). Guardrails: prevent self-own (quality, user harm, churn, latency, errors, complaints). Diagnostics: help explain why (step metrics, funnel steps, latency breakdown, CTR vs CVR).

Design: Make experiment valid and reliable. Unit of randomization: user vs session vs account vs geo vs device. Avoid spillover (users affecting each other). Population / eligibility: new users? returning? specific segment? Variants: Control vs Treatment (or A/B/C). Keep everything else constant. Duration & sample sizing: run full cycles (weekday/weekend). Ensure enough power for expected effect size. Instrumentation: event tracking, logging, exposure definition. 'Who saw treatment?' must be unambiguous.

Run: Execute with careful ramp and monitoring. Ramp: 1% → 10% → 50% → 100% (if safe). Monitor guardrails daily. Freeze conflicting changes during test window. Track exposure and outcomes consistently.

Validate: Check result trustworthiness. A/A or sanity checks (if available). SRM check (sample ratio mismatch - traffic split correct?). Balance check (are groups comparable?). Correct attribution (exposure vs outcome window). Novelty / seasonality / logging changes. Multiple testing / peeking risk.

Decide: Ship, iterate, or rollback. If primary metric up and guardrails stable → ship with gradual rollout. If mixed results → iterate (refine treatment) and re-test. If guardrails worsen → rollback + root-cause analysis. Learnings: mechanism confirmed? which segment moved? Follow-up monitoring plan."
849,Facebook is considering adding a 7th reaction. How would you determine its necessity and measure its success?,🟢,P8,Experimentation,Hypothesis → Design → Run → Analyze → Decide,Feature evaluation; experimentation,"Frame: Clarify decision and constraints. What decision are we making? (launch feature, change algorithm, run campaign, etc.) What constraints matter? (time, risk, traffic volume, legal, UX impact). Define success criteria upfront.

Hypothesis: State clear if-then-because. Format: If we change X for users Y, then outcome Z will change because R. X = treatment (what changes). Y = target population (who gets the change). Z = expected direction + size (if possible). R = mechanism (why it should work).

Metric: Define primary, guardrails, and diagnostics. Primary metric: the 'one number' for decision. Must map to goal (revenue, retention, activation, conversion, engagement). Guardrails: prevent self-own (quality, user harm, churn, latency, errors, complaints). Diagnostics: help explain why (step metrics, funnel steps, latency breakdown, CTR vs CVR).

Design: Make experiment valid and reliable. Unit of randomization: user vs session vs account vs geo vs device. Avoid spillover (users affecting each other). Population / eligibility: new users? returning? specific segment? Variants: Control vs Treatment (or A/B/C). Keep everything else constant. Duration & sample sizing: run full cycles (weekday/weekend). Ensure enough power for expected effect size. Instrumentation: event tracking, logging, exposure definition. 'Who saw treatment?' must be unambiguous.

Run: Execute with careful ramp and monitoring. Ramp: 1% → 10% → 50% → 100% (if safe). Monitor guardrails daily. Freeze conflicting changes during test window. Track exposure and outcomes consistently.

Validate: Check result trustworthiness. A/A or sanity checks (if available). SRM check (sample ratio mismatch - traffic split correct?). Balance check (are groups comparable?). Correct attribution (exposure vs outcome window). Novelty / seasonality / logging changes. Multiple testing / peeking risk.

Decide: Ship, iterate, or rollback. If primary metric up and guardrails stable → ship with gradual rollout. If mixed results → iterate (refine treatment) and re-test. If guardrails worsen → rollback + root-cause analysis. Learnings: mechanism confirmed? which segment moved? Follow-up monitoring plan."
969,"Given experiment results, how do you decide whether to ship the feature?",🟢,P8,Experimentation,Hypothesis → Design → Run → Analyze → Decide,Feature launch decision; experimentation,"Frame: Clarify decision and constraints. What decision are we making? (launch feature, change algorithm, run campaign, etc.) What constraints matter? (time, risk, traffic volume, legal, UX impact). Define success criteria upfront.

Hypothesis: State clear if-then-because. Format: If we change X for users Y, then outcome Z will change because R. X = treatment (what changes). Y = target population (who gets the change). Z = expected direction + size (if possible). R = mechanism (why it should work).

Metric: Define primary, guardrails, and diagnostics. Primary metric: the 'one number' for decision. Must map to goal (revenue, retention, activation, conversion, engagement). Guardrails: prevent self-own (quality, user harm, churn, latency, errors, complaints). Diagnostics: help explain why (step metrics, funnel steps, latency breakdown, CTR vs CVR).

Design: Make experiment valid and reliable. Unit of randomization: user vs session vs account vs geo vs device. Avoid spillover (users affecting each other). Population / eligibility: new users? returning? specific segment? Variants: Control vs Treatment (or A/B/C). Keep everything else constant. Duration & sample sizing: run full cycles (weekday/weekend). Ensure enough power for expected effect size. Instrumentation: event tracking, logging, exposure definition. 'Who saw treatment?' must be unambiguous.

Run: Execute with careful ramp and monitoring. Ramp: 1% → 10% → 50% → 100% (if safe). Monitor guardrails daily. Freeze conflicting changes during test window. Track exposure and outcomes consistently.

Validate: Check result trustworthiness. A/A or sanity checks (if available). SRM check (sample ratio mismatch - traffic split correct?). Balance check (are groups comparable?). Correct attribution (exposure vs outcome window). Novelty / seasonality / logging changes. Multiple testing / peeking risk.

Decide: Ship, iterate, or rollback. If primary metric up and guardrails stable → ship with gradual rollout. If mixed results → iterate (refine treatment) and re-test. If guardrails worsen → rollback + root-cause analysis. Learnings: mechanism confirmed? which segment moved? Follow-up monitoring plan."
1041,How do you A/B test a new feature?,🟢,P8,Experimentation,Hypothesis → Design → Run → Analyze → Decide,A/B testing; experimentation,"Frame: Clarify decision and constraints. What decision are we making? (launch feature, change algorithm, run campaign, etc.) What constraints matter? (time, risk, traffic volume, legal, UX impact). Define success criteria upfront.

Hypothesis: State clear if-then-because. Format: If we change X for users Y, then outcome Z will change because R. X = treatment (what changes). Y = target population (who gets the change). Z = expected direction + size (if possible). R = mechanism (why it should work).

Metric: Define primary, guardrails, and diagnostics. Primary metric: the 'one number' for decision. Must map to goal (revenue, retention, activation, conversion, engagement). Guardrails: prevent self-own (quality, user harm, churn, latency, errors, complaints). Diagnostics: help explain why (step metrics, funnel steps, latency breakdown, CTR vs CVR).

Design: Make experiment valid and reliable. Unit of randomization: user vs session vs account vs geo vs device. Avoid spillover (users affecting each other). Population / eligibility: new users? returning? specific segment? Variants: Control vs Treatment (or A/B/C). Keep everything else constant. Duration & sample sizing: run full cycles (weekday/weekend). Ensure enough power for expected effect size. Instrumentation: event tracking, logging, exposure definition. 'Who saw treatment?' must be unambiguous.

Run: Execute with careful ramp and monitoring. Ramp: 1% → 10% → 50% → 100% (if safe). Monitor guardrails daily. Freeze conflicting changes during test window. Track exposure and outcomes consistently.

Validate: Check result trustworthiness. A/A or sanity checks (if available). SRM check (sample ratio mismatch - traffic split correct?). Balance check (are groups comparable?). Correct attribution (exposure vs outcome window). Novelty / seasonality / logging changes. Multiple testing / peeking risk.

Decide: Ship, iterate, or rollback. If primary metric up and guardrails stable → ship with gradual rollout. If mixed results → iterate (refine treatment) and re-test. If guardrails worsen → rollback + root-cause analysis. Learnings: mechanism confirmed? which segment moved? Follow-up monitoring plan."
1042,How do you A/B test product announcement emails?,🟢,P8,Experimentation,Hypothesis → Design → Run → Analyze → Decide,Email testing; experimentation,"Frame: Clarify decision and constraints. What decision are we making? (launch feature, change algorithm, run campaign, etc.) What constraints matter? (time, risk, traffic volume, legal, UX impact). Define success criteria upfront.

Hypothesis: State clear if-then-because. Format: If we change X for users Y, then outcome Z will change because R. X = treatment (what changes). Y = target population (who gets the change). Z = expected direction + size (if possible). R = mechanism (why it should work).

Metric: Define primary, guardrails, and diagnostics. Primary metric: the 'one number' for decision. Must map to goal (revenue, retention, activation, conversion, engagement). Guardrails: prevent self-own (quality, user harm, churn, latency, errors, complaints). Diagnostics: help explain why (step metrics, funnel steps, latency breakdown, CTR vs CVR).

Design: Make experiment valid and reliable. Unit of randomization: user vs session vs account vs geo vs device. Avoid spillover (users affecting each other). Population / eligibility: new users? returning? specific segment? Variants: Control vs Treatment (or A/B/C). Keep everything else constant. Duration & sample sizing: run full cycles (weekday/weekend). Ensure enough power for expected effect size. Instrumentation: event tracking, logging, exposure definition. 'Who saw treatment?' must be unambiguous.

Run: Execute with careful ramp and monitoring. Ramp: 1% → 10% → 50% → 100% (if safe). Monitor guardrails daily. Freeze conflicting changes during test window. Track exposure and outcomes consistently.

Validate: Check result trustworthiness. A/A or sanity checks (if available). SRM check (sample ratio mismatch - traffic split correct?). Balance check (are groups comparable?). Correct attribution (exposure vs outcome window). Novelty / seasonality / logging changes. Multiple testing / peeking risk.

Decide: Ship, iterate, or rollback. If primary metric up and guardrails stable → ship with gradual rollout. If mixed results → iterate (refine treatment) and re-test. If guardrails worsen → rollback + root-cause analysis. Learnings: mechanism confirmed? which segment moved? Follow-up monitoring plan."
1079,How do you design an experiment to avoid common pitfalls in interpreting results?,🟢,P8,Experimentation,Hypothesis → Design → Run → Analyze → Decide,Experiment design; experimentation,"Frame: Clarify decision and constraints. What decision are we making? (launch feature, change algorithm, run campaign, etc.) What constraints matter? (time, risk, traffic volume, legal, UX impact). Define success criteria upfront.

Hypothesis: State clear if-then-because. Format: If we change X for users Y, then outcome Z will change because R. X = treatment (what changes). Y = target population (who gets the change). Z = expected direction + size (if possible). R = mechanism (why it should work).

Metric: Define primary, guardrails, and diagnostics. Primary metric: the 'one number' for decision. Must map to goal (revenue, retention, activation, conversion, engagement). Guardrails: prevent self-own (quality, user harm, churn, latency, errors, complaints). Diagnostics: help explain why (step metrics, funnel steps, latency breakdown, CTR vs CVR).

Design: Make experiment valid and reliable. Unit of randomization: user vs session vs account vs geo vs device. Avoid spillover (users affecting each other). Population / eligibility: new users? returning? specific segment? Variants: Control vs Treatment (or A/B/C). Keep everything else constant. Duration & sample sizing: run full cycles (weekday/weekend). Ensure enough power for expected effect size. Instrumentation: event tracking, logging, exposure definition. 'Who saw treatment?' must be unambiguous.

Run: Execute with careful ramp and monitoring. Ramp: 1% → 10% → 50% → 100% (if safe). Monitor guardrails daily. Freeze conflicting changes during test window. Track exposure and outcomes consistently.

Validate: Check result trustworthiness. A/A or sanity checks (if available). SRM check (sample ratio mismatch - traffic split correct?). Balance check (are groups comparable?). Correct attribution (exposure vs outcome window). Novelty / seasonality / logging changes. Multiple testing / peeking risk.

Decide: Ship, iterate, or rollback. If primary metric up and guardrails stable → ship with gradual rollout. If mixed results → iterate (refine treatment) and re-test. If guardrails worsen → rollback + root-cause analysis. Learnings: mechanism confirmed? which segment moved? Follow-up monitoring plan."
1082,How do you determine the necessary sample size for an A/B test?,🟢,P8,Experimentation,Hypothesis → Design → Run → Analyze → Decide,Sample size; experimentation,"Frame: Clarify decision and constraints. What decision are we making? (launch feature, change algorithm, run campaign, etc.) What constraints matter? (time, risk, traffic volume, legal, UX impact). Define success criteria upfront.

Hypothesis: State clear if-then-because. Format: If we change X for users Y, then outcome Z will change because R. X = treatment (what changes). Y = target population (who gets the change). Z = expected direction + size (if possible). R = mechanism (why it should work).

Metric: Define primary, guardrails, and diagnostics. Primary metric: the 'one number' for decision. Must map to goal (revenue, retention, activation, conversion, engagement). Guardrails: prevent self-own (quality, user harm, churn, latency, errors, complaints). Diagnostics: help explain why (step metrics, funnel steps, latency breakdown, CTR vs CVR).

Design: Make experiment valid and reliable. Unit of randomization: user vs session vs account vs geo vs device. Avoid spillover (users affecting each other). Population / eligibility: new users? returning? specific segment? Variants: Control vs Treatment (or A/B/C). Keep everything else constant. Duration & sample sizing: run full cycles (weekday/weekend). Ensure enough power for expected effect size. Instrumentation: event tracking, logging, exposure definition. 'Who saw treatment?' must be unambiguous.

Run: Execute with careful ramp and monitoring. Ramp: 1% → 10% → 50% → 100% (if safe). Monitor guardrails daily. Freeze conflicting changes during test window. Track exposure and outcomes consistently.

Validate: Check result trustworthiness. A/A or sanity checks (if available). SRM check (sample ratio mismatch - traffic split correct?). Balance check (are groups comparable?). Correct attribution (exposure vs outcome window). Novelty / seasonality / logging changes. Multiple testing / peeking risk.

Decide: Ship, iterate, or rollback. If primary metric up and guardrails stable → ship with gradual rollout. If mixed results → iterate (refine treatment) and re-test. If guardrails worsen → rollback + root-cause analysis. Learnings: mechanism confirmed? which segment moved? Follow-up monitoring plan."
