question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
1942,Tell me about a time when you had to make a significant decision without your manager.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Independent decision; behavioral question
1951,Tell me about a time when you had two deadlines at the same time. How did you manage the situation?,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Deadline management; behavioral question
1954,Tell me about a time when you influenced a product roadmap.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Roadmap influence; behavioral question
1955,Tell me about a time when you influenced the roadmap for a team and brought about a shift in thought.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Roadmap influence; behavioral question
2024,"Tell me about a time when your technical judgment influenced a program, leading to a change in project scope or roadmap.",🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Technical judgment; behavioral question
1929,Tell me about a time when you had to break a complex problem down for different cross-functional teams.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Problem breakdown; behavioral question
226,Describe a time you had a software release that negatively affected another team.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Impact management; behavioral question
1916,Tell me about a time when you failed as a people manager.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Management failure; behavioral question
1969,Tell me about a time when you managed a project without having the title of a project manager.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Project management; behavioral question
1970,Tell me about a time when you managed an end-to-end program.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Program management; behavioral question
1985,Tell me about a time when you resolved a problem that was outside your team's scope.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Scope expansion; behavioral question
1988,Tell me about a time when you solved a difficult problem; managed a project not going well; were unhappy with the status quo; faced competing priorities or had disagreements with management; had to...,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Multiple challenges; behavioral question
1991,Tell me about a time when you succeeded as a product manager.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),PM success; behavioral question
2073,"Tell me about a time you managed a complex, cross-functional project.",🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Complex project; behavioral question
2074,Tell me about a time you managed a crisis or urgent situation.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Crisis management; behavioral question
206,"Describe a SaaS pricing and packaging strategy project you managed, detailing the objectives, challenges, methodology, data and tools used, and outcomes.",🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Pricing strategy case study; behavioral question
1769,Present a recent project with big scale and cross-functional involvement.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Project presentation; executive communication
1856,Tell me about a complex project you managed where there was a lot of pressure to deliver.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Complex project; behavioral question
2141,Tell me about your product management experience.,🟢,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),PM experience; behavioral question
23,"Among the following PM traits, which is your greatest strength and which is your greatest weakness: working with engineering, execution, ideation and visioning, working with design, working with metrics?",🔴,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Behavioral self-assessment
36,"As a manager, how do you handle trade-offs?",🔴,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Abstract behavioral; no specific scenario
2846,You're leading a geographically dispersed team. What strategies and practices would you implement to ensure clear and effective communication?,🔴,P15E,Leadership & Collaboration,Situation → Task → Action → Result (STAR),Coding/algorithm/ML; implementation required
